#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
clone_self_decision;Clone Yourself;Clônez vous vous-même;;;;;;;;;;;;x
EVTDESCCLONE10;This event should only fire for newly decanted clones, so I'm not sure how you're seeing this. In any case, I'm sorry to inform you that you suffer from cloning defects, although the lab might be able to fix them.;;;;;;;;;;;;;x
EVTOPTACLONE10;Goo-gah?;;;;;;;;;;;;;x
EVTTOOLTIPCLONE11;is informed that your defects have been dealt with.;;;;;;;;;;;;;x
EVTTOOLTIPCLONE12;is informed that your defects have not been dealt with.;;;;;;;;;;;;;x
EVTDESCCLONE11;The clone lab informs you that there were some slight errors during your [GetFromRelation] [From.GetFirstName]'s cloning process, but that they were able to smooth them out. The [From.GetLadLass] should be as healthy as can be.;;;;;;;;;;;;;x
EVTDESCCLONE12;The clone lab informs you that, unfortunately, there were some slight errors during your [GetFromRelation] [From.GetFirstName]'s cloning process, and they were unable to correct for all of them.;;;;;;;;;;;;;x
disinherit_decision;Disinherit;;;;;;;;;;;;;x
disinherit_decision_desc;It is the duty of all leaders to ensure that future generations remain strong. In accordance with the [This.GetReligionName], it is possible for you to declare [This.GetFirstName] to be genetically defective, and remove [This.GetHerHim] from the line of succession.;;;;;;;;;;;;;x
EVTDESCCLONE100;You have declared one of your children to be genetically defective, and formally removed them from the line of succession.;;;;;;;;;;;;;x
EVTDESCCLONE101;Your [GetFromRelation] has declared you to be genetically defective, and formally removed you from the line of succession!;;;;;;;;;;;;;x
opinion_disinherited_me;Disinherited Me;;;;;;;;;;;;;x
EVTOOLTIPCLONE300;;;;;;;;;;;;;;x
EVTDESCCLONE302;We can commission a single-donor clone of our courtier for §Y100§W¤. The clone will take approximately nine months to gestate and will share almost all of their DNA.;;;;;;;;;;;;;x
EVTOPTACLONE302;Commission a clone.;;;;;;;;;;;;;x
EVTOPTbCLONE302;On second thought...;;;;;;;;;;;;;x
EVTTOOLTIPCLONE303;;;;;;;;;;;;;;x
