tooltip_me_elector_vote_is_evil;[From.GetSheHeCap] is a wicked sinner;;;;;;;;;x
tooltip_me_martial_education_bad;[From.GetSheHeCap] is an incompetent commander;;;;;;;;;x
tooltip_me_learning_education_bad;[From.GetSheHeCap] is an incompetent theologian;;;;;;;;;x
tooltip_me_wrong_education;[From.GetSheHeCap] doesn't have any skill in the relevant fields;;;;;;;;;x
tooltip_grandmasters_influence;[From.GetSheHeCap] is the leader of the community;;;;;;;;;x
tooltip_grandmaster_martial_education_good;[From.GetSheHeCap] is a skilled commander, as any ruler should be;;;;;;;;;x
tooltip_grandmaster_learning_education_good;[From.GetSheHeCap] is a learned theologian, as any ruler should be;;;;;;;;;x
tooltip_grandmaster_martial_education_bad;[From.GetSheHeCap] is shamefully inadequate at military strategy;;;;;;;;;x
tooltip_grandmaster_learning_education_bad'[From.GetSheHeCap] is shamefully uneducated in matters theological;;;;;;;;;x
tooltip_grandmaster_wrong_education;[From.GetSheHeCap] is woefully unprepared to lead the faithful;;;;;;;;;x
tooltip_grandmaster_whippersnapper;[From.GetSheHeCap] is just a whippersnapper and should not be taken seriously;;;;;;;;;x
tooltip_grandmaster_venerable;[From.GetSheHeCap] is wise in years;;;;;;;;;x
tooltip_grandmaster_zeal;[From.GetSheHeCap] is on fire for the faith, as a true ruler should be;;;;;;;;;x
tooltip_grandmaster_cynical;[From.GetSheHeCap] is an unbeliever! Why should we listen to [From.GetHerHim]?;;;;;;;;;x
tooltip_age_1;[From.GetSheHeCap] is no longer a greenhorn;;;;;;;;;x
tooltip_age_2;[From.GetSheHeCap] has been around the block a few times;;;;;;;;;x
tooltip_age_3;[From.GetHersHis] long years should be respected;;;;;;;;;x
tooltip_me_cynical;[From.GetSheHeCap] is an unbeliever, who should not be respected;;;;;;;;;x
tooltip_me_baron;[From.GetSheHeCap] is a §YBaron§!;;;;;;;;;x
tooltip_me_count;[From.GetSheHeCap] is a §YCount§!;;;;;;;;;x
tooltip_me_duke;[From.GetSheHeCap] is a §YDuke§!;;;;;;;;;x
tooltip_me_king;[From.GetSheHeCap] is a §YKing§!;;;;;;;;;x
tooltip_me_crusader;[From.GetSheHeCap] is a §YHoly Warrior§!;;;;;;;;;x
tooltip_me_elector_vote_crusader;[From.GetSheHeCap] is a §YHoly Warrior§!;;;;;;;;;x
tooltip_me_elector_vote_celibate_good;[From.GetSheHeCap] is §YCelibate§!;;;;;;;;;x
tooltip_me_elector_vote_military_genius;[From.GetSheHeCap] is a §YMilitary Genius§!;;;;;;;;;x
tooltip_me_elector_vote_learning_genius;[From.GetSheHeCap] is a §YTheological Genius§!;;;;;;;;;x
tooltip_me_commander;[From.GetSheHeCap] is a skilled §YCommander§!;;;;;;;;;x
tooltip_me_good_commander;[From.GetSheHeCap] is a highly skilled §YCommander§!;;;;;;;;;x
tooltip_me_fantastic_commander;[From.GetSheHeCap] is a  §YCommander§! without peer;;;;;;;;;x
tooltip_oligarchic_elective_mediocre_diplomat;[From.GetSheHeCap] is a §Ymediocre Diplomat§!;;;;;;;;;x
tooltip_oligarchic_elective_mediocre_steward;[From.GetSheHeCap] is a §Ymediocre Steward!;;;;;;;;;x
tooltip_oligarchic_elective_wrong_education;[From.GetSheHeCap] is neither a §YDiplomat§! nor a §YSteward§!, and unfit to lead the Republic;;;;;;;;;x
tooltip_oligarchic_diligent;[From.GetSheHeCap] will §work hard§! for the Res Publica;;;;;;;;;x
tooltip_oligarchic_patient;[From.GetSheHeCap] has the §YPatience§! to navigate Republican politics;;;;;;;;;x
tooltip_oligarchic_greedy;[From.GetSheHeCap]'s §YGreed§! will serve their own pocketbook before the Republic;;;;;;;;;x
tooltip_oligarchic_slothful;[From.GetSheHeCap] is too §YLazy§! to serve the Republic effectively;;;;;;;;;x
tooltip_oligarchic_elective_stewarship_hobby;[From.GetSheHeCap] is skilled at §YAdministration§! or §YArchitecture§!;;;;;;;;;x
tooltip_oligarchic_elective_diplomacy_hobby;[From.GetSheHeCap] is skilled at §YSocialising§! or §YGaming§!;;;;;;;;;x
tooltip_oligarchic_elective_wealth;[From.GetSheHeCap] is rich;;;;;;;;;x
tooltip_oligarchic_elective_wealth_2;[From.GetSheHeCap] is extremely rich;;;;;;;;;x
tooltip_oligarchic_elective_wealth_3;[From.GetSheHeCap] has more money than most countries;;;;;;;;;x
tooltip_oligarchic_elective_poverty;[From.GetSheHeCap] is poor;;;;;;;;;x
tooltip_oligarchic_elective_poverty_2;[From.GetSheHeCap] is very poor;;;;;;;;;x
tooltip_oligarchic_elective_poverty_3;[From.GetSheHeCap] has accumulated huge debts;;;;;;;;;x
tooltip_oligarchic_elective_poverty_4;[From.GetSheHeCap] has so many debts that [From.GetSheHeCap] should be begging in the street;;;;;;;;;x
tooltip_oligarchic_elective_chancellor;[From.GetSheHeCap] is the §YChancellor§!;;;;;;;;;x
tooltip_oligarchic_elective_steward;[From.GetSheHeCap] is the §YTreasurer§!;;;;;;;;;x
tooltip_oligarchic_elective_good_hobby;[From.GetSheHeCap] has hobbies that will help [From.GetHerHim] in ruling;;;;;;;;;x
tooltip_oligarchic_elective_candidate_is_rich;[From.GetSheHeCap] is a [From.GetWomanMan] of means;;;;;;;;;x
tooltip_oligarchic_elective_sponsor_is_rich;[From.GetSheHeCap] has wealthy backers;;;;;;;;;x
monastic_elective;Theocratic Elective;;;;;;;;;x
succ_monastic_elective;Theocratic Elective;;;;;;;;;x
succ_monastic_elective_desc;Theocratic Elective is a form of succession where vassals elect the ruler based on religious principles. Martial skill and Learning are highly prized, as if zeal and virtue.;;;;;;;;;x
succ_oligarchic_elective;Oligarchic Elective;;;;;;;;;x
oligarchic_elective;Oligarchic Elective;;;;;;;;;x
succ_oligarchic_elective_desc;Oligarchic Elective is a form of succession where vassals elect the ruler based on Republican principles. Skill in Diplomacy and Stewardship are valued, as is wealth.;;;;;;;;;x
tooltip_feudal_elector_vote_stewardship_education;[From.GetSheHeCap] has been educated as a Steward;;;;;;;;;x
colonial_government;Colonial;;;;;;;;;x
colonial_government_desc;This state is a colonial venture of some far-away empire.;;;;;;;;;x
