#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
# City of Wonders;;;;;;;;;;;;;;;
wonder_city_of_wonders;A Great City;City of Wonders;City of Wonders;;City of Wonders;;;;;;;;;;x
wonder_city_of_wonders_byz_desc;Constantinople has been the largest and wealthiest city in Europe since the mid-5th century. Constantinople has had many prestigious names and honorifics during it's lifetime, amongst them you can find the titles of Basileuousa ("Queen of Cities") and Megalopolis ("the Great City"), or just Polis ("the City"). The city is famed for its architectural masterpieces, such as the Greek Orthodox cathedral of Hagia Sophia, which served as the seat of the Ecumenical Patriarchate, the sacred Imperial Palace where the Emperors lived, the Galata Tower, the Hippodrome, the Golden Gate of the Land Walls, and the opulent aristocratic palaces lining the arcaded avenues and squares.;;;;;;;;;;;;;;x
wonder_city_of_wonders_byz_construction_desc;Constantinople has been the largest and wealthiest city in Europe since the mid-5th century. Constantinople has had many prestigious names and honorifics during it's lifetime, amongst them you can find the titles of Basileuousa ("Queen of Cities") and Megalopolis ("the Great City"), or just Polis ("the City"). The city is famed for its architectural masterpieces, such as the Greek Orthodox cathedral of Hagia Sophia, which served as the seat of the Ecumenical Patriarchate, the sacred Imperial Palace where the Emperors lived, the Galata Tower, the Hippodrome, the Golden Gate of the Land Walls, and the opulent aristocratic palaces lining the arcaded avenues and squares.;;;;;;;;;;;;;;x
### ROMA ###
wonder_city_of_wonders_roma;The Eternal City of [FromFromFrom.GetName];;;;;;;;;;;;;;x
# wonder_city_of_wonders_roma;The Eternal City;;;;;;;;;;;;;;x
wonder_city_of_wonders_roma_desc;While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer, making it one of the oldest continuously occupied sites in Europe. It was first called The Eternal City (Latin: Urbs Aeterna) by the Roman poet Tibullus in the 1st century BC, and the expression was also taken up by Ovid, Virgil, and Livy. Rome is also called the "Caput Mundi" (Capital of the World). After the fall of the Western Empire, which marked the beginning of the Middle Ages, Rome slowly fell under the political control of the Papacy, and in the 8th century it became the capital of the Papal States.;;;;;;;;;;;;;;x
wonder_city_of_wonders_roma_construction_desc;While Roman mythology dates the founding of Rome at around 753 BC, the site has been inhabited for much longer, making it one of the oldest continuously occupied sites in Europe. It was first called The Eternal City (Latin: Urbs Aeterna) by the Roman poet Tibullus in the 1st century BC, and the expression was also taken up by Ovid, Virgil, and Livy. Rome is also called the "Caput Mundi" (Capital of the World). After the fall of the Western Empire, which marked the beginning of the Middle Ages, Rome slowly fell under the political control of the Papacy, and in the 8th century it became the capital of the Papal States.;;;;;;;;;;;;;;x
### ALEXANDRIA ###
wonder_city_of_wonders_alex;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_alex_desc;Alexandria was founded c. 332 BC by Alexander the Great, king of Macedonia, during his conquest of the Achaemenid Empire. Alexandria became an important center of Hellenistic civilization and remained the capital of Ptolemaic Egypt and Roman and Byzantine Egypt for almost 1,000 years, until the Muslim conquest of Egypt in AD 641, when a new capital was founded at Fustat (later absorbed into Cairo). Hellenistic Alexandria was best known for the Lighthouse of Alexandria (Pharos), the Great Library (the largest in the ancient world), and the Necropolis. Alexandria was one of the most powerful cities of the ancient Mediterranean region, and with careful investment it surely can regain it's former glory.;;;;;;;;;;;;;;x
wonder_city_of_wonders_alex_construction_desc;Alexandria was founded c. 332 BC by Alexander the Great, king of Macedonia, during his conquest of the Achaemenid Empire. Alexandria became an important center of Hellenistic civilization and remained the capital of Ptolemaic Egypt and Roman and Byzantine Egypt for almost 1,000 years, until the Muslim conquest of Egypt in AD 641, when a new capital was founded at Fustat (later absorbed into Cairo). Hellenistic Alexandria was best known for the Lighthouse of Alexandria (Pharos), the Great Library (the largest in the ancient world), and the Necropolis. Alexandria was one of the most powerful cities of the ancient Mediterranean region, and with careful investment it surely can regain it's former glory.;;;;;;;;;;;;;;x
### ANTIOCH ###
wonder_city_of_wonders_anti;[FromFromFrom.GetName];;;;;;;;;;;;;;x
# wonder_city_of_wonders_anti;The Cradle of Christianity;;;;;;;;;;;;;;x
wonder_city_of_wonders_anti_desc;Antioch, also known as Antiocheia on the Orontes, is an ancient Greek city located on the eastern side of the Orontes River. During the Romans' rule of the city quite a few wonders were built like the Circus of Antioch modelled after the Circus Maximus in Rome. The city eventually became the third largest city in the Roman Empire. Antioch eventually became a significant center of early Christianity, and is often nicknamed as "The Cradle of Christianity". It also contains a quite prestigious Patriarchial seat in what is often called the Pentarchy.\n\nUnfortunately Antioch's prosperity has lessened over the last few centuries as it found itself precariously situated on the frontline between two hostile great powers - the Christian Byzantine Empire and the Muslim Caliphates. Though, the City of Antiochus has with proper management finally begun to prosper once again.;;;;;;;;;;;;;;x
wonder_city_of_wonders_anti_construction_desc;Antioch, also known as Antiocheia on the Orontes, is an ancient Greek city located on the eastern side of the Orontes River. During the Romans' rule of the city quite a few wonders were built like the Circus of Antioch modelled after the Circus Maximus in Rome. The city eventually became the third largest city in the Roman Empire. Antioch eventually became a significant center of early Christianity, and is often nicknamed as "The Cradle of Christianity". It also contains a quite prestigious Patriarchial seat in what is often called the Pentarchy.\n\nUnfortunately Antioch's prosperity has lessened over the last few centuries as it found itself precariously situated on the frontline between two hostile great powers - the Christian Byzantine Empire and the Muslim Caliphates. Though, the City of Antiochus has with proper management finally begun to prosper once again.;;;;;;;;;;;;;;x
wonder_city_of_wonders_anti_ruined_desc;Antioch, also known as Antiocheia on the Orontes, is an ancient Greek city located on the eastern side of the Orontes River. During the Romans' rule of the city quite a few wonders were built like the Circus of Antioch modelled after the Circus Maximus in Rome. The city eventually became the third largest city in the Roman Empire. Antioch eventually became a significant center of early Christianity, and is often nicknamed as "The Cradle of Christianity". It also contains a quite prestigious Patriarchial seat in what is often called the Pentarchy.\n\nUnfortunately Antioch's prosperity has lessened over the last few centuries as it found itself precariously situated on the frontline between two hostile great powers - the Christian Byzantine Empire and the Muslim Caliphates. Though, The Cradle of Christianity still have a chance to prosper again if it's placed under stable management.;;;;;;;;;;;;;;x
### JERUSALEM ###
wonder_city_of_wonders_jeru;Holy City of [FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_jeru_desc;Jerusalem, widely known as 'The Holy City', is considered a holy city by the three major Abrahamic religions—Judaism, Christianity, and Islam. The Holy City contains many holy sites and buildings like the Church of the Holy Sepulchre, and Dome of the Rock. Jerusalem has a very long history, and in it's storied past, the city has at least been destroyed twice. The Holy City has finally been restored to a state of being where it can truly represent the city's importance and holiness.;;;;;;;;;;;;;;x
wonder_city_of_wonders_jeru_construction_desc;Jerusalem, widely known as 'The Holy City', is considered a holy city by the three major Abrahamic religions—Judaism, Christianity, and Islam. The Holy City contains many holy sites and buildings like the Church of the Holy Sepulchre, and Dome of the Rock. Jerusalem has a very long history, and in it's storied past, the city has at least been destroyed twice. The Holy City has finally been restored to a state of being where it can truly represent the city's importance and holiness.;;;;;;;;;;;;;;x
wonder_city_of_wonders_jeru_ruined_desc;Jerusalem, widely known as 'The Holy City', is considered a holy city by the three major Abrahamic religions—Judaism, Christianity, and Islam. The Holy City contains many holy sites and buildings like the Church of the Holy Sepulchre, and Dome of the Rock. Jerusalem has a very long history, and in it's storied past, the city has at least been destroyed twice. If proper care are shown to The Holy City, it can be restored to a state where it can represent the city's true importance and holiness.;;;;;;;;;;;;;;x
### BAGHDAD/BABYLON ###
wonder_city_of_wonders_baby;[FromFromFrom.GetName];;;;;;;;;;;;;;x
wonder_city_of_wonders_baby_desc;[target_province.GetName] lies on a coveted area along the Tigris River, where multiple empires have in the past laid their great capitals. The Seleucid Empire for a short period of time had their capital in Seleuceia (Seleucia-on-Tigris), while the Persians also placed their capital there, but on the other side of the Tigris in Ctesiphon. To the west lies the river of Euphrates, where Babylon once lay. Babylon was once the great capital of Babylonia, and it also briefly became the capital of Alexander the Great's empire. The city contained wonders beyond imagining like the Hanging Gardens, and supposedly at some point the biblical Tower of Babel.\n\nRecently the city of Baghdad was established in the 8th century, and the city quickly became the capital of the Abbasid Caliphate. The city itself may not be amongst the most ancient and glorious cities just yet, but the heritage of the immediate region the city is located in certainly is. In time the region shall once again become the greatest center of civilization, learning and culture.;;;;;;;;;;;;;;x
wonder_city_of_wonders_baby_construction_desc;[target_province.GetName] lies on a coveted area along the Tigris River, where multiple empires have in the past laid their great capitals. The Seleucid Empire for a short period of time had their capital in Seleuceia (Seleucia-on-Tigris), while the Persians also placed their capital there, but on the other side of the Tigris in Ctesiphon. To the west lies the river of Euphrates, where Babylon once lay. Babylon was once the great capital of Babylonia, and it also briefly became the capital of Alexander the Great's empire. The city contained wonders beyond imagining like the Hanging Gardens, and supposedly at some point the biblical Tower of Babel.\n\nRecently the city of Baghdad was established in the 8th century, and the city quickly became the capital of the Abbasid Caliphate. The city itself may not be amongst the most ancient and glorious cities just yet, but the heritage of the immediate region the city is located in certainly is. In time the region shall once again become the greatest center of civilization, learning and culture.;;;;;;;;;;;;;;x
### DELHI ###
wonder_city_of_wonders_delh;[FromFromFrom.GetName];;;;;;;;;;;;;;x
# wonder_city_of_wonders_delh_desc;PLACEHOLDER;;;;;;;;;;;;;;x
wonder_city_of_wonders_delh_desc;[target_province.GetName] has been expanded into a proper city, but there still much to do. Many older buildings have been demolished to make room for many of the new districts that shall contain many of this city’s future wonders. Still, there is much to do, as you cannot even visit a single district without seeing it marred by construction work.;;;;;;;;;;;;;;x # Stage 1
wonder_city_of_wonders_delh_construction_desc;By carefully investing in our capital, we can turn it into a magnificent Megalopolis that will outrival any other cities in the world. It shall become a City of Wonders.;;;;;;;;;;;;;;x
### ATHENS ###
wonder_city_of_wonders_athens;[FromFromFrom.GetName]: City of Thinkers;;;;;;;;;;;;;;x
wonder_city_of_wonders_athens_desc;Athens was once the greatest civilization in the world. With thinkers and merchants alike from all across the ancient world bringing their wealth and knowledge. Athenians still dreams of a day when that can be again.;;;;;;;;;;;;;;x
wonder_city_of_wonders_athens_restored_desc;Glory! Glory to Athens and her people! Once again the city of Athena stands as a shining beacon of learning and commerce. Let all the people know, that the Athenians stands strong, and that their minds as sharp as their spears.;;;;;;;;;;;;;;x
wonder_city_of_wonders_athens_construction_desc;Athens stand at the precipice of greatness. Like their ancient forebears, the city rises to the heights of glory. Yet there is still much work to be done if the Athenians are to show the world the true glory of Athens.;;;;;;;;;;;;;;x
### PARSA/PERSEPOLIS ###
wonder_city_of_wonders_parsa;Parsa;;;;;;;;;;;;;;x
wonder_city_of_wonders_parsa_desc;The city of Parsa, which was known to the west as Persepolis, once stood as the cultural capital of the Achaemenid Empire, and it should be restored to this position once again.;;;;;;;;;;;;;;x
wonder_city_of_wonders_parsa_ruined_desc;Ruins are all that remains of the cultural heart of these lands. Parsa, or more widely known as Persepolis, was once the home of Achaemenid Kings. Burned by Alexander the Accursed, it once housed the holy texts of Zoroastrianism, as well as some of the most beautiful gardens in the world.\n\nMaybe, one day, those gardens can be planted again...;;;;;;;;;;;;;;x
wonder_city_of_wonders_parsa_reconstructed_desc;The city stands once more, but she is no longer the heart of this great land. If she is to beat once more, much work must be done to show the world that the ancient glory of the Achaemenids is not lost, but merely forgotten.;;;;;;;;;;;;;;x
wonder_city_of_wonders_parsa_restored_desc;She breathes again! Her great palaces stand tall, and her gardens sing with birds and water. The great Palace of Ten Thousand Timbers rises high once more, and the Grand Pairidaeza stands proudly as a land of beauty in the arid highlands of central Persia.;;;;;;;;;;;;;;x
wonder_city_of_wonders_parsa_construction_desc;The timbers start to rise, the cloth shades whip in the wind, and the first trees are planted. In spite of the harsh climate, and rough terrain, the process to transform this land like the ancients of old has begun.;;;;;;;;;;;;;;x
### CARTHAGE ###
wonder_city_of_wonders_carth;Qart Hadasht;;;;;;;;;;;;;;x
wonder_city_of_wonders_carth_desc;A true gem, the city of Carthage which was once a beacon of civilization, one to rival that of Rome. The Carthaginians would see her brought back to that glory.;;;;;;;;;;;;;;x
wonder_city_of_wonders_carth_ruined_desc;Rubble and ruins, that is all that remains of both the ancient capital of Qart Hadasht, and the Roman colony of Carthago. In spite of her long dead nature, her ruins still inspire some with glory.\n\nIf Carthage is restored, she might still fully reclaim her former glory.;;;;;;;;;;;;;;x
wonder_city_of_wonders_carth_reconstructed_desc;The ruins have been cleaned, and the fallen stones stacked once more. However, all of the Carthaginians' work has done little to truly restore Carthage to her former glory. There is still much work to do if Carthage is to be brought back from the ashes.;;;;;;;;;;;;;;x
wonder_city_of_wonders_carth_restored_desc;Let the city of Merchant Kings rule the waves once more. From her large apartments that can house dozens of families, to her massive Cothon that houses enough warships to make Venice tremble, let Carthage once again be the capital of Commerce in the West!;;;;;;;;;;;;;;x
wonder_city_of_wonders_carth_construction_desc;Much work has been done, and new great buildings rise. Soon, the world will know, and marvel, at the glory of Carthage. A city that shall reclaim her crown as the Grandest City on the Mediterranean.;;;;;;;;;;;;;;x
### SYRACUSE ###
wonder_city_of_wonders_syra;[FromFromFrom.GetName]: City of Arkhimedes;;;;;;;;;;;;;;x
wonder_city_of_wonders_syra_desc;The city of Syracuse. Once was she the capital of a wealthy kingdom, while now she's just a pale shadow of herself. Perhaps one day will the Syracusians restore her to the proper, and rightful, splendor she once had.;;;;;;;;;;;;;;x
wonder_city_of_wonders_syra_ruined_desc;Here lies the ruins of one of the greatest cities of antiquity, Syracuse. Syracusians hopes that they can restore her beauty, her glory, one day. However, that is all but a distant dream.;;;;;;;;;;;;;;x
wonder_city_of_wonders_syra_reconstructed_desc;No longer does Syracuse lie in ruins, no longer do ancient wise men weep in their graves. Syracuse stands tall once again, and although not restored to her former glory, she is already on the verge of power..;;;;;;;;;;;;;;x
wonder_city_of_wonders_syra_restored_desc;Syracuse stand proudly as the 'Jewel of the Mediterranean' once more. From her great ramparts, protected by the Mirrors of Archimedes, to the grand harbor that once welcomed ships from all across the known world to her ports. Syracuse shines, once again, as a bright beacon of civilization in the west!;;;;;;;;;;;;;;x
wonder_city_of_wonders_syra_construction_desc;Rising from the waves like a pearl in the sea, Syracuse shines upon the horizon. Her white marble towers gleam under the warm sun, as people from across the world start to see the glory she could be. There's still much work to be done, but the former heart of Mediterranean Commerce has begun to beat once more.;;;;;;;;;;;;;;x
### CORDOBA ###
wonder_city_of_wonders_cord;[FromFromFrom.GetName]: The Ornament of the World;;;;;;;;;;;;;;x
wonder_city_of_wonders_cord_desc;Cordoba is, and has been for some time, considered a gem amongst cities. With a fusion of Muslim, Christian, and Jewish cultures, the city of Cordoba is the center of scholarly debate throughout the west. A greater beacon against the encroaching darkness of the medieval world.;;;;;;;;;;;;;;x
wonder_city_of_wonders_cord_completed_desc;Jewels of the wealthiest merchants, writings of the greatest scholars, temples of the grandest design. All of these pale in comparison to the beauty, tranquility, and prestige that is Cordoba.;;;;;;;;;;;;;;x
wonder_city_of_wonders_cord_construction_desc;Mosques, Temples, Churches, all of them rise up to touch the sky. With the vast wealth garnered from trade, and the grand armies of the Sultan protecting the lands, Cordoba is rising up to the heavens as a grand display of our wealth and prestige.;;;;;;;;;;;;;;x
# City of Wonders REPUBLIC;;;;;;;;;;;;;;;
wonder_city_of_wonders_rep;A Great City;City of Wonders (Republic);City of Wonders (Republic);;City of Wonders (Republic);;;;;;;;;;x
wonder_city_of_wonders_rep_desc;A grand city that will undoubtably remembered by future historians, an example of the lowest tiers being medieval London, a capital of great significance and population while at the high end of tiers we reach cities of the world's desire, the capitals of grand empires such as Constantinople or Chang'an. Though even these are nothing but shadows compared to the great leviathans of antediluvia that many still inhabit the shattered corpses of.;;;;;;;;;;;;;;x
wonder_city_of_wonders1_rep_desc;[target_province.GetName] has been expanded into a proper city, but there still much to do. Many older buildings have been demolished to make room for many of the new districts that shall contain many of this city’s future wonders. Still, there is much to do, as you cannot even visit a single district without seeing it marred by construction work.;;;;;;;;;;;;;;x # Stage 1
wonder_city_of_wonders2_rep_desc;After much time and effort, [target_province.GetName] has turned into something everyone can agree is a Great City. Monuments and decorations have started to mark [target_province.GetName] as something extraordinary. Still, there is much to do, and the city requires quite a few more wonders before it can truly be called a City of Wonders.;;;;;;;;;;;;;;x # Stage 3
wonder_city_of_wonders3_rep_desc;[target_province.GetName] has undeniably become a Metropolis, that is quite possibly not just the center of the realm, but also a epicenter of the region it inhabits. It has by most margins become the most important post of every major trade route in the known world. Many districts have been built, and quite a few great works and monuments have raised. While the city is one of the greatest in the known world, there is still much work and renovations left before the city can reach it's apex.;;;;;;;;;;;;;;x # Stage 6
wonder_city_of_wonders4_rep_desc;[target_province.GetName] has incontestably grown into a fully-fledged Megalopolis, quite conceivably the greatest city ever built. Pedestrians can walk miles without seeing an apparent end to the city. In any district of the city you can find radiant wonders and great works never before seen beyond the city walls. It may have taken a few generations to accomplish this, and cost some blood, sweat, and wealth beyond imagining – but any who walks the beautifully paved streets of [target_province.GetName] agrees that any sacrifice would be worth it for such a magnificent city. It truly has become a City of Wonders!;;;;;;;;;;;;;;x # Stage 9
wonder_city_of_wonders_rep_construction_desc;By carefully investing in our capital, we can turn it into a magnificent Megalopolis that will outrival any other cities in the world. It shall become a City of Wonders.;;;;;;;;;;;;;;x
# City of Wonders GENERIC DESC;;;;;;;;;;;;;;;
# String_cow_City;[target_province.GetName];[target_province.GetName];[target_province.GetName];;[target_province.GetName];;;;;;;;;;x
# String_cow_City1;The City;;;;;;;;;;;;;;x
# String_cow_City2;The Great City;;;;;;;;;;;;;;x
# String_cow_City3;The Metropolis;;;;;;;;;;;;;;x
# String_cow_City4;The Megalopolis;;;;;;;;;;;;;;x
String_cow_City1;City;;;;;;;;;;;;;;x
String_cow_City2;Great City;;;;;;;;;;;;;;x
String_cow_City3;Metropolis;;;;;;;;;;;;;;x
String_cow_City4;Megalopolis;;;;;;;;;;;;;;x
String_cow_city;great city;;;;;;;;;;;;;;x
# String_cow_byz_Megalopolis;Megalopolis;;;;;;;;;;;;;;x
# String_cow_byz_Basileuousa;The Basileuousa;;;;;;;;;;;;;;x
# String_cow_roma_Eternal;The Eternal City;;;;;;;;;;;;;;x
# String_cow_jeru_Holy;The Holy City;;;;;;;;;;;;;;x
String_cow_byz_Basileuousa;Basileuousa;;;;;;;;;;;;;;x
String_cow_roma_Eternal;Eternal City;;;;;;;;;;;;;;x
String_cow_jeru_Holy;Holy City;;;;;;;;;;;;;;x
### COW Interface ###;;;;;;;;;;;;;;;
### COW Game Rules ###;;;;;;;;;;;;;;;
RULE_GROUP_COW;COW (Cities of Wonders);;;;;;;;;;;;;x;
RULE_COW_PENTARCHY;§ZCOW:§! Pentarchy;;;;;;;;;;;;;;x
RULE_COW_PENTARCHY_OFF;The Pentarchy is §RNOT§! represented by Cities of Wonders. Antioch and Jerusalem will thus §RNOT§! get a City of Wonders at game start.;;;;;;;;;;;;;;x
RULE_COW_PENTARCHY_ON;Enables a couple of extra historical Cities of Wonders so that the entire Pentarchy is represented by Cities of Wonders. Antioch and Jerusalem are both in a ruined stage at game-start.;;;;;;;;;;;;;;x
RULE_COW_SEMI_HISTORICAL;§ZCOW:§! Semi-Historical COWs;;;;;;;;;;;;;;x
RULE_COW_SEMI_HISTORICAL_OFF;Semi-Historical Cities of Wonders will §RNOT§! exist. Baghdad and Delhi will §RNOT§! get a City of Wonders at game start.;;;;;;;;;;;;;;x
RULE_COW_SEMI_HISTORICAL_ON;Enables two extra semi-historical Cities of Wonders at game start. Baghdad will be a hybrid city representing both Baghdad and (New) Babylon, while Delhi will be present before the city gained any prominence from the Delhi Sultanate.;;;;;;;;;;;;;;x
RULE_COW_ANCIENT_CITIES;§ZCOW:§! Ancient Cities;;;;;;;;;;;;;;x
RULE_COW_ANCIENT_CITIES_OFF;Ancient Cities of Wonders will §RNOT§! exist. Athens, Carthage, Cordoba, Persepolis and Syracuse will §RNOT§! get a City of Wonders at game start.;;;;;;;;;;;;;;x
RULE_COW_ANCIENT_CITIES_ON;Enables some extra Cities of Wonders at game-start to represent some of the ancient cities that are past their prime. Athens, Carthage, Cordoba, Persepolis and Syracuse will be present at game-start, but some of them will start out ruined.;;;;;;;;;;;;;;x
### COW Events ###;;;;;;;;;;;;;;;
COW_PROSPERITY_TITLE;[FromFrom.GetName] Prospers!;;;;;;;;;;;;;;x
COW.11705.d;As the prosperity of [FromFrom.GetName] increases, land which was previously considered marginal is increasing in value. With this keen in mind we have apt opportunity to spread out our urban centers even further to promote growth in our expanding City of Wonders.;;;;;;;;;;;;;;x
COW.11705.a;Amazing!;;;;;;;;;;;;;;x
COW.11705.b;It's too good to be true...;;;;;;;;;;;;;;x
### COW Custom Tooltips ###;;;;;;;;;;;;;;;
CANNOT_HAVE_MORE_THAN_ONE_COW;Realm does NOT already contain a custom-built §YCity of Wonders§!;;;;;;;;;;;;;;x
GREAT_WORK_REPLACED_WITH_COW;The §YGreat Work§! is converted into a §YCity of Wonders§!!\nIf possible the existing §YGreat Work§! will be converted into a Wonder District in the constructed §YCity of Wonders§!.;;;;;;;;;;;;;;x
GREAT_WORK_REPLACED_WITH_HIST_COW;The §YGreat Work§! is converted into a historical §YCity of Wonders§!!\nIf possible the existing §YGreat Work§! will be converted into a Wonder District in the constructed §YCity of Wonders§!.;;;;;;;;;;;;;;x
BUILDING_THIRD_TEMPLE_COW;You must either have started the process to build the Third Temple or have already 'built' the Temple via decision;;;;;;;;;;;;;;x
THIRD_TEMPLE_BUILT_COW;You must have completely built the Third Temple via decision first;;;;;;;;;;;;;;x
DOES_NOT_HAVE_UNIQUE_COW_DISTRICT;§YCity of Wonders§! does NOT already contain a unique and equivalent district;;;;;;;;;;;;;;x
ALEXANDERS_BLOODLINE_DISCOVERED_TT;Alexander's Bloodline has been discovered;;;;;;;;;;;;;;x
MUST_HAVE_ALEXANDERS_BLOODLINE_TT;Has the §YHeir to Alexander§! Bloodline;;;;;;;;;;;;;;x
### COW Decisions ###;;;;;;;;;;;;;;;
upgrade_cow_wonder;Upgrade Wonder Into a C.O.W.;;;;;;;;;;;;;;x
upgrade_cow_wonder_desc;A single wonder in our spiritual capital was never going to be enough. It's time to start the process to turn the city into a true City of Wonders!;;;;;;;;;;;;;;x
upgrade_historical_cow_wonder;Upgrade Into a Historical C.O.W.;;;;;;;;;;;;;;x
upgrade_historical_cow_wonder_desc;A single wonder in this ancient city was never going to be enough. It's time to start the process to turn the city into a true City of Wonders!;;;;;;;;;;;;;;x
cow_recruit_academy_hero;Recruit Academy Hero;;;;;;;;;;;;;;x
cow_recruit_academy_hero_desc;The §YTraining Academy§! in my §YAmphitheater§! possesses many well-trained young warriors. Maybe the best one out of them will make a good military commander.;;;;;;;;;;;;;;x
cow_drink_from_fountain_of_youth;Drink from the Fountain of Youth;;;;;;;;;;;;;;x
cow_drink_from_fountain_of_youth_desc;The life-giving waters of the fountain is said to be able to wash away the effects of aging in anyone who drinks it.;;;;;;;;;;;;;;x
### COW Titles ###;;;;;;;;;;;;;;;
title_cow_castellan;Castellan (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_castellan_roman;Castellanus (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_castellan_byzantine;Kastellanos (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_castellan_desc;This honorific is awarded to a vassal that is held in high regard by their liege. As Castellan they are responsible for the maintenance and daily ongoings of the Fortress.;;;;;;;;;;;;;;x
title_cow_lighthouse_custodian;Lighthouse Custodian (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_lighthouse_custodian_desc;This honorific is awarded to a person who has shown themselves responsible and can be entrusted with the care of your lighthouse - keeping it both lit and functioning.;;;;;;;;;;;;;;x
title_cow_keeper_of_the_dead;Keeper of the Dead (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_keeper_of_the_dead_desc;The Keeper of the Dead is responsible for the final rest of everyone placed in the §YMausoleum§!.;;;;;;;;;;;;;;x
title_cow_watcher_of_giants;Watcher of Giants (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_watcher_of_giants_desc;This honorific is awarded to a person who has shown exceptional vigilance and skills of observation, and they are ultimately responsible for the maintenance and upkeep of the great statue.;;;;;;;;;;;;;;x
title_cow_stone_custodian;Custodian of the Stone (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_stone_custodian_desc;This honorific is awarded to a person who has shown themselves steadfast in their loyalty and discipline.;;;;;;;;;;;;;;x
title_cow_overseer_of_rites;Overseer of the Rites (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_overseer_of_rites_desc;The Overseer of Rites is responsible for all rites and rituals related to the §YPyramid§!.;;;;;;;;;;;;;;x
title_cow_custodian_of_the_mosque;Custodian of the Mosque (for the §Y'City'§!);;;;;;;;;;;;;;x
title_cow_custodian_of_the_mosque_desc;This honorific is awarded to a person who has shown exceptional devotion to [Root.Religion.GetHighGodNameCap].;;;;;;;;;;;;;;x
title_cow_wall_walker;Walker of the Wall (for the §Y'City'§!);;;;;;;;;;;;;;x
