#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

demand_kingdom_title;Demand that §Y[Root.Liege.GetTitledFirstName]§W grant §Y[Root.GetTitledFirstName]§W the §Y[Root.Capital.Kingdom.GetFullName]§W;;Forderung, dass §Y[Root.Liege.GetTitledFirstName]§W §Y[Root.GetTitledFirstName]§W das §Y[Root.Capital.Kingdom.GetFullName]§W gewährt;;;;;;;;;;;x
EVTDESC_Plus_120;I have ruled long enough, and my health is no longer what it once was. Perhaps the time has come to pass my titles onto my heir?;;Ich habe lange genug regiert, und meine Gesundheit ist nicht mehr das, was sie einmal war. Vielleicht ist die Zeit gekommen, meine Titel an meinen Erben weiterzugeben?;;;;;;;;;;;x
EVTOPTA_Plus_120;Yes, it is time;;Ja, es ist an der Zeit;;;;;;;;;;;x
EVTOPTB_Plus_120;No, not just yet;;Nein, jetzt noch nicht;;;;;;;;;;;x
EVTDESC_Plus_121;[From.GetTitledName] has decided to voluntarily abdicate [From.GetHerHis] rule, citing poor health and other concerns. [From.GetHerHisCap] titles have been passed onto me.;;[From.GetTitledName] hat beschlossen, freiwillig auf die Herrschaft über [From.GetHerHis] zu verzichten und begründet dies mit seiner schlechten Gesundheit und anderen Bedenken. Die Titel von [From.GetHerHisCap] wurden auf mich übertragen.;;;;;;;;;;;x
EVTOPTA_Plus_121;[From.GetSheHeCap] will surely be missed;;[From.GetSheHeCap] wird sicherlich vermisst werden;;;;;;;;;;;x
EVTDESC_Plus_126;Even though you have been trying to conceive a child with your husband, it simply hasn't happened... and you are beginning to suspect you might be barren. Some of the maids have whispered that there are things which can be done to remedy this, although they are not entirely without risk.;;Obwohl Ihr versucht habt, mit Eurem Ehemann ein Kind zu zeugen, hat es einfach nicht geklappt ... und Ihr beginnt zu vermuten, dass Ihr unfruchtbar sein könntet. Einige der Mägde haben geflüstert, dass es Dinge gibt, die man tun kann, um Abhilfe zu schaffen, obwohl sie nicht ganz ohne Risiko sind.;;;;;;;;;;;x
EVTOPTA_Plus_126;I don't care about the risk! I want a child!;;Das Risiko ist mir egal! Ich will ein Kind!;;;;;;;;;;;x
EVTOPTB_Plus_126;I will put my faith in [Root.Religion.GetRandomGodName];;Ich werde meinen Glauben in [Root.Religion.GetRandomGodName];;;;;;;;;;;x
EVTOPTC_Plus_126;[Root.Spouse.GetFirstName] will get no child from me;;[Root.Spouse.GetFirstName] wird kein Kind von mir bekommen;;;;;;;;;;;x
EVTDESC_Plus_127;For some time now, your councilors have made their suspicions known that [barren_wife.GetTitledFirstNameNoRegnal] is, in fact, barren. You've denied it, certain that the two of you would have a child before long... but perhaps they are right? Worse, you believe she knows the truth and has said nothing.;;Schon seit einiger Zeit haben Eure Ratsmitglieder den Verdacht geäußert, dass [barren_wife.GetTitledFirstNameNoRegnal] tatsächlich unfruchtbar ist. Ihr habt es geleugnet, weil Ihr sicher wart, dass Ihr beide bald ein Kind haben würdet ... aber vielleicht haben sie ja recht? Schlimmer noch, du glaubst, sie kennt die Wahrheit und hat nichts gesagt.;;;;;;;;;;;x
EVTOPTA_Plus_127;How could this have happened?;;Wie konnte das nur passieren?;;;;;;;;;;;x
EVTDESC_Plus_130;The [Root.Liege.PrimaryTitle.GetFullName] is not a realm where all power is rooted in the [Root.Liege.PrimaryTitle.GetRulerTitle], and thus it does not seem right that [Root.Liege.GetSheHe] should hold so many crowns. Perhaps the [Root.Capital.Kingdom.GetFullName] needs a new ruler?;;Der [Root.Liege.PrimaryTitle.GetFullName] ist kein Reich, in dem alle Macht im [Root.Liege.PrimaryTitle.GetRulerTitle] verwurzelt ist, und daher scheint es nicht richtig zu sein, dass [Root.Liege.GetSheHe] so viele Kronen besitzt. Vielleicht braucht das [Root.Capital.Kingdom.GetFullName] einen neuen Herrscher?;;;;;;;;;;;x
EVTOPTA_Plus_130;Demand [Root.Liege.GetSheHe] grant [Root.Capital.Kingdom.GetName] to me;;Fordert [Root.Liege.GetSheHe] auf, mir [Root.Capital.Kingdom.GetName] zu gewähren;;;;;;;;;;;x
EVTOPTB_Plus_130;[Root.Liege.GetSheHeCap] has enough problems, I'm certain;;[Root.Liege.GetSheHeCap] hat genug Probleme, da bin ich mir sicher;;;;;;;;;;;x
EVTDESC_Plus_131;The [Root.PrimaryTitle.GetFullName] is not a realm where all power resides in the hands of the [Root.PrimaryTitle.GetRulerTitle], and the consensus appears to be that I hold too many titles myself. Thus it is no surprise that [From.GetTitledFirstName] has demanded the crown of [From.Capital.Kingdom.GetName] be granted to [From.GetHerHim].;;Das [Root.PrimaryTitle.GetFullName] ist kein Reich, in dem alle Macht in den Händen des [Root.PrimaryTitle.GetRulerTitle] liegt, und der Konsens scheint zu sein, dass ich selbst zu viele Titel besitze. Daher ist es keine Überraschung, dass [From.GetTitledFirstName] gefordert hat, dass [From.GetHerHim] die Krone des [From.Capital.Kingdom.GetName] verliehen wird.;;;;;;;;;;;x
EVTOPTA_Plus_131;Give [From.GetHerHim] the crown;;Gebt [From.GetHerHim] die Krone;;;;;;;;;;;x
EVTOPTB_Plus_131;I will give it to one of my children instead;;Ich werde sie stattdessen einem meiner Kinder geben;;;;;;;;;;;x
EVTOPTC_Plus_131;The crown will go to someone in line for the title;;Die Krone wird an jemanden gehen, der Anspruch auf den Titel hat;;;;;;;;;;;x
EVTOPTD_Plus_131;I will give it to someone with a claim;;Ich werde sie jemandem geben, der Anspruch darauf hat;;;;;;;;;;;x
EVTOPTE_Plus_131;How dare [From.GetSheHe] even ask! The crown is mine!;;Wie kann [From.GetSheHe] es wagen zu fragen! Die Krone gehört mir!;;;;;;;;;;;x
EVTDESC_Plus_132;Dear [Root.GetTitledFirstName],\nKnow that I consider you even asking me to surrender the crown of [Root.Capital.Kingdom.GetName] to be impertinent. My titles are mine to keep, and I will kindly ask you to remember your place.\n\nSigned,\n[From.GetTitledName];;Lieber [Root.GetTitledFirstName], wisst, dass ich es als unverschämt betrachte, wenn Ihr mich auch nur bittet, die Krone von [Root.Capital.Kingdom.GetName] abzugeben. Meine Titel gehören mir, und ich bitte Euch höflichst, Euch an Euren Platz zu erinnern.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPTA_Plus_132;Impertinent? How dare [From.GetSheHe]!;;Unverschämt? Wie kann [From.GetSheHe] es wagen!;;;;;;;;;;;x
EVTDESC_Plus_133;Dear [Root.GetTitledFirstName],\nWhile your argument regarding the need for the crown of [Root.Capital.Kingdom.GetName] to not rest in my hands seems valid, know that I have decided to give it to another. I trust you will show them the same loyalty and consideration you have always shown me.\n\nSigned,\n[From.GetTitledName];;Lieber [Root.GetTitledFirstName],\nAuch wenn Euer Argument, dass die Krone von [Root.Capital.Kingdom.GetName] nicht in meinen Händen liegen sollte, stichhaltig erscheint, solltet Ihr wissen, dass ich beschlossen habe, sie einem anderen zu geben. Ich vertraue darauf, dass Ihr ihm dieselbe Loyalität und Rücksichtnahme entgegenbringen werdet, die Ihr mir immer entgegengebracht habt.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPTA_Plus_133;The crown should have been mine;;Die Krone hätte mir gehören sollen;;;;;;;;;;;x
EVTDESC_Plus_135;[Root.Liege.GetTitledName] has declared an Antipope, [Root.RelHead.GetTitledName], in opposition to the true Pope. As a good [Root.Religion.GetName], I should consider whether I support [Root.Liege.GetTitledFirstName] in [Root.Liege.GetHerHis] actions, or whether I believe [Root.Liege.GetSheHe] has done nothing more than undermine the authority of the [Root.Religion.GetName] Church.;;[Root.Liege.GetTitledName] hat einen Gegenpapst, [Root.RelHead.GetTitledName], zum Gegner des wahren Papstes erklärt. Als guter [Root.Religion.GetName] sollte ich mir überlegen, ob ich [Root.Liege.GetTitledFirstName] in [Root.Liege.GetHerHis] Handlungen unterstütze, oder ob ich glaube, dass [Root.Liege.GetSheHe] nichts weiter getan hat, als die Autorität der [Root.Religion.GetName] Kirche zu untergraben.;;;;;;;;;;;x
EVTOPTA_Plus_135;I support [Root.Liege.GetTitledFirstName];;Ich unterstütze [Root.Liege.GetTitledFirstName];;;;;;;;;;;x
EVTOPTB_Plus_135;I support the true Pope;;Ich unterstütze den wahren Papst;;;;;;;;;;;x
EVTOPTC_Plus_135;I don't care who the Pope is, to be perfectly frank;;Es ist mir egal, wer der Papst ist, um ganz offen zu sein;;;;;;;;;;;x
EVTDESC_Plus_140;[FromFrom.GetTitledName] has decided to set you aside. As of this moment, by the laws of the [FromFrom.Religion.GetName] faith, you are no longer married.;;[From.GetTitledName] hat beschlossen, Sie beiseite zu legen. Von diesem Moment an seid Ihr nach den Gesetzen des [FromFrom.Religion.GetName]-Glaubens nicht mehr verheiratet.;;;;;;;;;;;x
EVTOPTA_Plus_140;That bitch! How dare she!;;Diese Schlampe! Wie kann sie es wagen!;;;;;;;;;;;x
EVTOPTB_Plus_140;That bastard! How dare he!;;Dieser Bastard! Wie kann er es wagen!;;;;;;;;;;;x
EVTDESC_Plus_141;News has reached you that [FromFromFrom.GetTitledName] has decided to set aside your [GetFromRelation], [From.GetTitledFirstNameNoRegnal]. According to the laws of the [FromFromFrom.Religion.GetName] faith, the two are no longer married.;;Euch hat die Nachricht erreicht, dass [FromFromFrom.GetTitledName] beschlossen hat, sich von Eurer [GetFromRelation], [From.GetTitledFirstNameNoRegnal] zu trennen. Nach den Gesetzen des Glaubens von [FromFromFrom.Religion.GetName] sind die beiden nicht mehr verheiratet.;;;;;;;;;;;x
EVTDESC_Plus_142;Your [GetFromRelation], [From.GetTitledFirstNameNoRegnal], has decided to establish a cadet branch of the [Root.GetOnlyDynastyName] dynasty. From now on, he and all his descendants will be known as the [From.GetOnlyDynastyName] dynasty.;;Ihr [GetFromRelation], [From.GetTitledFirstNameNoRegnal], hat beschlossen, einen Kadettenzweig der [Root.GetOnlyDynastyName]-Dynastie zu gründen. Von nun an werden er und alle seine Nachkommen als die Dynastie [From.GetOnlyDynastyName] bezeichnet.;;;;;;;;;;;x
EVTDESC_Plus_143;Your [GetFromRelation], [From.GetTitledFirstNameNoRegnal], has decided to establish a cadet branch of the [old_dynasty_head.GetOnlyDynastyName] dynasty. From now on, he and all his descendants will be known as the [From.GetOnlyDynastyName] dynasty.;;Ihr [GetFromRelation], [From.GetTitledFirstNameNoRegnal], hat beschlossen, einen Kadettenzweig der [old_dynasty_head.GetOnlyDynastyName]-Dynastie zu gründen. Von nun an werden er und alle seine Nachkommen als die Dynastie [From.GetOnlyDynastyName] bezeichnet.;;;;;;;;;;;x
EVTDESC_Plus_144;It is no longer enough for me to be a member of the [old_dynasty_head.GetOnlyDynastyName] dynasty. That legacy belongs to my elder brother, while I was expected for lesser things. Now that I am the [Root.PrimaryTitle.GetRulerTitle] of [Root.PrimaryTitle.GetName], it is time to establish a legacy in my own name. From now on, my descendants and I will be known as the [Root.GetOnlyDynastyName] dynasty!;;Es genügt mir nicht mehr, Mitglied der [old_dynasty_head.GetOnlyDynastyName]-Dynastie zu sein. Dieses Erbe gehört meinem älteren Bruder, während von mir weniger erwartet wurde. Jetzt, da ich der [Root.PrimaryTitle.GetRulerTitle] von [Root.PrimaryTitle.GetName] bin, ist es an der Zeit, ein Vermächtnis in meinem eigenen Namen zu schaffen. Von nun an werden meine Nachkommen und ich als die [Root.GetOnlyDynastyName]-Dynastie bekannt sein!;;;;;;;;;;;x
EVTOPTA_Plus_144;My accomplishments will be my own;;Meine Errungenschaften werden meine eigenen sein;;;;;;;;;;;x
EVTDESC_Plus_145;The [old_dynasty_head.GetTitledFirstNameNoRegnal], the [old_dynasty_head.GetOnlyDynastyName] dynasty has become decadent, and Allah would not look favorably upon it. From now on, my descendants and I will be known as the [Root.GetOnlyDynastyName] dynasty, and we shall establish a new chapter in the [Root.PrimaryTitle.GetFullName]!;;Die [old_dynasty_head.GetTitledFirstNameNoRegnal], die [old_dynasty_head.GetOnlyDynastyName]-Dynastie ist dekadent geworden, und Allah würde nicht wohlwollend auf sie schauen. Von nun an werden meine Nachkommen und ich als die [Root.GetOnlyDynastyName]-Dynastie bekannt sein, und wir werden ein neues Kapitel im [Root.PrimaryTitle.GetFullName] aufschlagen!;;;;;;;;;;;x
EVTDESC_Plus_146;The time has come to break away from my relatives in the [old_dynasty_head.GetOnlyDynastyName] dynasty. As the [Root.PrimaryTitle.GetRulerTitle] of [Root.PrimaryTitle.GetName], I hereby declare that my descendants shall be part of the [Root.GetOnlyDynastyName] dynasty!;;Die Zeit ist gekommen, sich von meinen Verwandten in der [old_dynasty_head.GetOnlyDynastyName]-Dynastie zu lösen. Als der [Root.PrimaryTitle.GetRulerTitle] von [Root.PrimaryTitle.GetName] erkläre ich hiermit, dass meine Nachkommen Teil der [Root.GetOnlyDynastyName]-Dynastie sein werden!;;;;;;;;;;;x

EVTDESC_Plus_1751;While [Root.GetKingQueen] [Root.GetFirstNameWithNick] has recently inherited the throne of [FromFrom.GetName], to most this means little as no [FromFrom.GetAdjective] land is actually part of [Root.GetHerHis] realm. [Root.GetFirstName] claims the title, it's true, but the [FromFrom.GetAdjective] crown has effectively been lost.;;Während [Root.GetKingQueen] [Root.GetFirstNameWithNick] vor kurzem den Thron von [FromFrom.GetName] geerbt hat, bedeutet dies für die meisten wenig, da kein [FromFrom.GetAdjective]-Land tatsächlich Teil von [Root.GetHerHis]-Reich ist. [Root.GetFirstName] beansprucht zwar den Titel, aber die [FromFrom.GetAdjective]-Krone ist praktisch verloren.;;;;;;;;;;;x
EVTNAME_Plus_1751;The [FromFrom.GetAdjective] Crown;;Die [FromFrom.GetAdjective]-Krone;;;;;;;;;;;x
EVTOPTA_Plus_1751;No! [FromFrom.GetName] shall be mine again!;;Nein! [FromFrom.GetName] soll wieder mein sein!;;;;;;;;;;;x
