tributary_corsair_cb_desc;§Y$TARGET$§! is weak, but if they would just pay you tribute in the form of gold and soldiers you could protect them!\n\nThrough war you can force any [oceanic.GetGroupName] realm that you or one of your §YTributary States§! border to pay you §Y9%§! of their income and §Y10%§! of their levy reinforcements as tribute.\nWill only break free if the §YSuzerain§! has §Rnegative§! §YPrestige§!, is §RNOT§! §YIndependent§!, has §Rless§! §YRealm Size§! than the §YTributary State§! or §Rdeclines a defensive§! §YCall to Arms§! from the §YTributary State§!.\nThis type of §YTributary§! can §RNOT§! be called to war.;§Y$TARGET$§! est faible, mais en vous payant un tribut sous la forme d'or et de soldats, vous pourriez assurer sa protection !\n\nPar la guerre, vous pouvez forcer tout pays frontalier de vous ou de l'un de vos §Y?tats tributaires§! ? vous donner §G20%§! de ses revenus et §G15%§! de ses renforts.\nCe type de tributaire ne se lib?rera que si le §Ysuzerain§! a un §Rprestige n?gatif§!, §Rn'est pas ind?pendant§!, a une §Rtaille de pays inf?rieure§! ? celle de l'?tat tributaire ou §Rd?cline§! un appel aux armes d?fensif de l'?tat tributaire.\nCe type de tributaire §Rne peut pas ?tre appel? ? la guerre§!.;§Y$TARGET$§! ist schwach, aber wenn sie Tribut in Form von Gold und Soldaten aufbringen w?rden, kfnntet Ihr sie besch?tzen.\n\nDurch Krieg kfnnt Ihr jedes Reich, das entweder an Euch selbst oder einen Eurer §YTributstaaten§! angrenzt, dazu zwingen, §Y20%§! ihres Einkommens und §Y15%§! ihres Aufgebots als Tribut zu zahlen.\nWird nur unabhdngig, wenn der §YSuzerdn§! §Rnegative§! §YPrestige§! hat, §RNICHT§! unabhdngig ist, §Rweniger§! §YReichsgrf?e§! als der §YTributstaat§! hat oder einen §Rdefensiven§! §YRuf zu den Waffen§! eines §YTributstaates§! ablehnt.\nDiese Art §YTributstaat§! kann §RNICHT§! in den Krieg gerufen werden.;;§Y$TARGET$§! es d?bil, ?pero puedes protegerlos si te pagan tributo en forma de oro y soldados!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo o con uno de tus §Yestados tributarios§! te pague el §Y20%§! de sus ingresos y el §Y15%§! de sus refuerzos de leva como tributo.\nSolo se liberara si el §Ysoberano§! tiene §Yprestigio§! §Rnegativo§!, §RNO§! es §Yindependiente§!, el §Ytama?o del reino§! es §Rmenor§! que el §Yestado tributario§! o §Rechaza§! una §Yllamada a las armas§! §Ydefensiva§! del §Yestado tributario§!.\nEste tipo de §Ytributario§! §RNO§! puede ser llamado a la guerra.;;;;;;;;;x
TRIBUTARY_MARCH_NAME;March;;;;;;;;;;x
TRIBUTARY_MARCH_PLURAL;Marches;;;;;;;;;;x
SUZERAIN_MARCH_NAME;March Suzerain;;;;;;;;;;x
release_vassal_as_march;Release Vassal as March;;;;;;;;;;x
release_vassal_as_march_desc;You can choose to give [Root.GetBestName] partial autonomy over their realm in return for being a martial border region.;;;;;;;;;x
k_wokou;Pirate Kingdom;;;;;;;;;x
CB_NAME_TAKE_PIRATE_KING;Secure [Title.GetBaseName];;;;;;;;x
WAR_NAME_TAKE_PIRATE_KING;War for $OTHER_TITLE$;;;;;;;;x
take_pirate_king_desc;§Y[Root.GetTitledFirstName]§! is mighty enough to prove that [Root.GetSheHe] is dedicated to [Root.Religion.GetHighGodName], therefore [Root.GetSheHe] would be a better protector of [east_brethren.GetName].;;;;;;;;x
GREAT_PLUNDER;Great Plunder;;;;;;;;;x
