GOVCOR34OptA;No need to persecute them for such actions, if they contribute back into the treasury.;;;;;;;;;;;;;;;x
GOVCOR34OptB;We cannot allow such actions to go unpunished.;;;;;;;;;;;;;;;x
GOVCOR35Desc;Your Marshal has been caught abusing their subordinates resulting in a serious decline in efficiency, how will you deal with them?;;;;;;;;;;;;;;;x
GOVCOR35OptA;No need to persecute them for such actions, if they contribute back into the treasury.;;;;;;;;;;;;;;;x
GOVCOR35OptB;We cannot allow such actions to go unpunished.;;;;;;;;;;;;;;;x
GOVCOR36Desc;Your Marshal has been caught in dereliction of their duties resulting in a serious decline in efficiency, how will you deal with them?;;;;;;;;;;;;;;;x
GOVCOR36OptA;No need to persecute them for such actions, if they contribute back into the treasury.;;;;;;;;;;;;;;;x
GOVCOR36OptB;We cannot allow such actions to go unpunished.;;;;;;;;;;;;;;;x
GOVCOR37Desc;Your Marshal has been caught misappropriating funds to buy jewels, silks and spices fit for a king, how will you deal with them?;;;;;;;;;;;;;;;x
GOVCOR37OptA;No need to persecute them for such actions, if they contribute back into the treasury.;;;;;;;;;;;;;;;x
GOVCOR37OptB;We cannot allow such actions to go unpunished.;;;;;;;;;;;;;;;x
