###ASCENDED MASTERS###
EVTDESC_ascension_pathend1;You have advanced far along the path of Spiritual Enlightenment, but your final and most difficult challenge lays ahead of you. For the next month, you will be sequestered in a cave, without food, water, or even clothing. It is said that, through deep contemplation, you may not only survive this experience, but emerge with a new understanding of Truth and the universe. Before setting out, however, you must prepare...;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_13;I will exercise.;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_13;I will study esoteric lore.;;;;;;;;;;;;;x
EVTOPTC_ascendedmaster_13;I will drink and be merry!;;;;;;;;;;;;;x
EVTDESC_ascension_pathend2;You arrive at the cave, and the entrance is sealed behind you. As you sit inside the cave, you begin to think about what to do in order to achieve success. You should probably medidate on Truth — that is the point, isn't it?;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_14;I will try...;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_14;I am already halfway there!;;;;;;;;;;;;;x
EVTOPTC_ascendedmaster_14;Truth is a ponderous thing.;;;;;;;;;;;;;x
EVTDESC_ascension_pathend3;After a week spent alone, the effects of having no clothing become apparent. The nights are bitterly cold, and it is taking a toll on your health. You can barely focus...;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_15;I wish I could bundle up...;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_15;The thing is immemorial and universal.;;;;;;;;;;;;;x
EVTDESC_ascension_pathend65;After another week in the cave, the lack of proper food and water begins to take its toll. You can scarely think of anything besides food and water. Your arms are growing weak, and your stomach is in pain...;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_16;I am going to die here, aren't I?;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_16;I AM, self-actualizing...;;;;;;;;;;;;;x
EVTDESC_ascension_pathend4;After three weeks spent in isolation, braving illness and hunger, you have achieved... nothing. You feel no closer to Truth now then you did when you entered this accursed stone prison. What was the point of this?!?;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_17;This is hopeless...;;;;;;;;;;;;;x
EVTOPTB_ascendedmaster_17;I won't achieve anything by despairing now.;;;;;;;;;;;;;x
EVTOPTC_ascendedmaster_17;This is intolerable! Damn the Truth!;;;;;;;;;;;;;x
EVTTITLE_ascension_pathend5;Ascension;;;;;;;;;;;;;x
EVTDESC_ascension_pathend5;During the final days of your meditation, you suddenly have a vision. A vision of a tree made of light, running from the Earth to the stars, and you lifted into the air, soaring around the tree. You see men and women of all races, cultures, and religion. Then it comes to you: a single, metaphysical truth that encompasses all knowledge, exoteric and esoteric. Truth is not merely found in our religion — truth is perennial. Religions are branches from a common trunk - Divine Wisdom. Truth is all around us, and we are Truth.;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_19;One Principle Governing Form throughout Infinity.;;;;;;;;;;;;;x
EVTTITLE_ascension_pathend6;Ascension Denied;;;;;;;;;;;;;x
EVTDESC_ascension_pathend6;Your time in the cave has ended. You felt as if you were on the verge of death for much of that time. Some refer to death as your soul becoming one with Truth but somehow, you don't think that your experience allowed you to understand anything about the world that you did not already know.;;;;;;;;;;;;;x
EVTOPTA_ascendedmaster_20;I have failed.;;;;;;;;;;;;;x
TXT_ascended_path_1;The way is long and treacherous, but wisdom is priceless.;;;;;;;;;x
TXT_ascended_path_2;Through trials and meditation, you reach closer to truth.;;;;;;;;;x
TXT_ascended_path_3;The ultimate revelation is right there, just beyond reach.;;;;;;;;;x
TXT_thestartofascension;But what does that really mean?;;;;;;;;;x
TXT_notinterestedinascendedmaster;Many are called, but few are chosen.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_2;And the first step is to empty oneself.;;;;;;;;;x
TXT_EVTOPTA_ascended_master_3;An empty belly means a soul ready to be filled.;;;;;;;;;x
TXT_EVTOPTB_ascended_master_3;Illumination is hard enough without a growling stomach.;;;;;;;;;x
TXT_EVTOPTC_ascendedmaster_3;Sometimes we must create our own hidden truth.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_53;But the greatest conflict is with the false self.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_7;Knowledge is not the sum of wisdom, but it doesn't hurt.;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_7;Knowledge is not the sum of wisdom, but it wouldn't hurt.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_9;But who is worthy but they who know they are not worthy?;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_11;Even the Buddha had to wander before he found his way.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_13;The body is the carriage of the soul, cradle and throne.;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_13;Secrets are not the Truth, but they whisper her name.;;;;;;;;;x
TXT_EVTOPTC_ascendedmaster_13;Wisdom is awareness paired with action, even before doom.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_14;But what is trying when there is only do and do-not?;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_14;What truth can hide from one who knows everything?;;;;;;;;;x
TXT_EVTOPTC_ascendedmaster_14;What is Truth? Where is Truth? Who is Truth? Why is Truth?;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_15;Naked before the cold, naked before harsh realities...;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_15;Perseverance is half the battle, giving time to grasp the other.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_16;Will your next life get closer, or was this all folly?;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_16;Something beckons. It may be all inside your head, but what isn't?;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_17;Your soul reaches. Grasps. Pleads. Nothing yet, nothing yet...;;;;;;;;;x
TXT_EVTOPTB_ascendedmaster_17;Night is darkest just before dawn, but where's your sun?;;;;;;;;;x
TXT_EVTOPTC_ascendedmaster_17;If Truth conquers all, why does the coward hide from you?;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_19;There is no religion higher than Truth because Truth stands forever.;;;;;;;;;x
TXT_EVTOPTA_ascendedmaster_20;If no religion is higher than truth, how can you ever reach high enough?;;;;;;;;;x
nick_the_ascended_master;the Ascended Master;;;;;;;;;x
bloodline_desc_ascended_master;Committed to the path of enlightement, this character explored the depths and heights of Truth before emerging as an Ascended Master.;;;;;;;;;x
