# Adjusted and given namespace
evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
evt_CK2_8221_desc_a;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to give up [From.GetHerHis] title for the good of the realm. We have chosen [new_title_holder.GetFullName] as our new ruler. Your valuable support in this matter will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];Plutôt que de laisser une guerre civile diviser le Royaume, [From.Get_le_TitledName] a accepté de renoncer à son titre. Nous avons désigné [new_title_holder.GetFullName] comme nouv[new_title_holder.GetEauElle] souverain[new_title_holder.Get_E]. Votre précieux soutien lors du conflit ne sera pas oublié.\n\nCordialement,\n[FromFrom.GetTitledName];Um zu verhindern, dass ein Bürgerkrieg das Reich zerreißt, hat [From.GetTitledName] zugestimmt, [From.GetHerHis]en Titel zugunsten des Reiches aufzugeben. Wir haben [new_title_holder.GetFullName] zu unserem neuen Herrscher erkoren. Man wird Eure wertvolle Unterstützung in dieser Sache nicht vergessen.\n\nHochachtungsvoll\n[FromFrom.GetTitledName];;Antes que dejar que una guerra civil desagarre al reino, [From.GetTitledName] ha acordado ceder su título por el bien del reino. Hemos elegido a [new_title_holder.GetFullName] como nuevo/a gobernante. Tu valioso apoyo no será olvidado.\n\nAtentamente,\n[FromFrom.GetTitledName];;;;;;;;;x
evt_CK2_8222_desc_a;Under pressure from a powerful Faction, §Y[From.GetTitledName]§! has agreed to abdicate the throne. Hail the new ruler, §Y[new_title_holder.GetFullName]§!!;Sous la pression d'une puissante faction, [From.Get_le_TitledName] a accepté de renoncer au trône. Gloire [new_title_holder.GetAuAla] nouv[new_title_holder.GetEauElle] souverain[new_title_holder.Get_E], [new_title_holder.GetFullName] !;Auf Druck einer mächtigen Fraktion hat §Y[From.GetTitledName]§! auf den Thron verzichtet. Es lebe der neue Herrscher, §Y[new_title_holder.GetFullName]§!!;;Bajo la presión de una poderosa facción, §Y[From.GetTitledName]§! ha aceptado abdicar del trono. ¡Aclamad a §Y[new_title_holder.GetFullName]§!, nuevo/a gobernante!;;;;;;;;;x
evt_CK2_20022_desc_a;Your [Root.GetMyLordSpiritualName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by heathens in §Y[wounded_location.GetName]§! while trying to spread the faith.;Votre [Root.GetMyLordSpiritualName], [From.Get_only_le_Title]§Y[From.GetTitledFirstNameNoRegnal]§!, a été attaqué[From.Get_E] par des infidèles à §Y[wounded_location.GetName]§! alors qu'[From.GetIlElle] essayait de répandre la foi.;[From.GetEuerEure] [Root.GetMyLordSpiritualName] §Y[From.GetTitledFirstNameNoRegnal]§! wurde bei dem Versuch, den Glauben zu verbreiten, in §Y[wounded_location.GetName]§! von Heiden angegriffen.;;Unos paganos atacaron a tu [Root.GetMyLordSpiritualName] §Y[From.GetTitledFirstNameNoRegnal]§! mientras intentaba difundir la fe en §Y[wounded_location.GetName]§!.;;;;;;;;;x
evt_CK2_20200_desc_a;Your [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], has collected a special tithe in §Y[From.Location.GetName]§!.;Votre [Root.GetMyTreasurerName], [From.Get_le_TitledName], a collecté une dîme spéciale en §Y[From.Location.GetName]§!.;Euer [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], hat in §Y[From.Location.GetName]§! eine besondere Abgabe eingetrieben.;;[From.GetTitledFirstNameNoRegnal], tu [Root.GetMyTreasurerName], ha recolectado un diezmo especial en §Y[From.Location.GetName]§!.;;;;;;;;;x
evt_CK2_20212_desc_a;Your [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], was wounded by angry peasants while collecting taxes in §Y[From.Location.GetName]§!!;Votre [Root.GetMyTreasurerName], [From.Get_le_TitledName], a été blessé des paysans en colère alors qu'il tentait de percevoir l'impôt en §Y[From.Location.GetName]§! !;Euer [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], wurde beim Eintreiben der Steuern in §Y[From.Location.GetName]§! von aufgebrachten Bauern verwundet!;;¡Unos campesinos encolerizados han herido a [From.GetTitledFirstNameNoRegnal], tu [Root.GetMyTreasurerName], mientras recaudaba impuestos en §Y[From.Location.GetName]§!!;;;;;;;;;x
evt_CK2_20213_desc_a;Your [Root.GetMyTreasurerName], [From.GetTitledName], was killed by a mob of angry peasants while trying to collect the extra taxes you had ordered.;Votre [Root.GetMyTreasurerName], [From.Get_le_TitledName], a été tué par une foule de paysans en colère alors qu'il tentait de percevoir l'impôt supplémentaire que vous avez ordonné.;Euer [Root.GetMyTreasurerName], [From.GetTitledName], wurde beim Eintreiben der Sondersteuer, deren Erhebung Ihr befohlen hattet, von aufgebrachten Bauern gelyncht.;;Una multitud de campesinos encolerizados han matado a [Root.GetMyTreasurerName], tu [From.GetTitledName], mientras trataba de recaudar los impuestos extras que has ordenado.;;;;;;;;;x
evt_CK2_20330_desc_a;[From.Liege.GetTitledName]'s spymaster [From.GetTitledName] was found spying in [From.Location.GetName]!;Le maître-espion [From.Liege.Get_du_TitledName], [From.Get_le_TitledName], a été surpris en train d'espionner en [From.Location.GetName]!;[From.GetTitledName], der Hofspitzel von [From.Liege.GetTitledName], wurde in [From.Location.GetName] beim Spionieren ertappt!;;Han descubierto a [From.GetTitledName], líder de los espías de [From.Liege.GetTitledName], espiando en [From.Location.GetName].;;;;;;;;;x
evt_CK2_20331_desc_a;I received word that your spymaster [FromFrom.GetTitledName] has been spying in one of my counties. This is intolerable and as to stop further interference I have arrested [FromFrom.GetHerHim]!\n\nSigned,\n[From.GetTitledName];J'ai appris que votre maître-espion, [FromFrom.Get_le_TitledName], a espionné dans un de mes comtés. Cela est intolérable et afin d'éviter d'autres interférences, je l'ai arrêté !\n\nSigné,\n[From.GetTitledName];Mir wurde zugetragen, dass Euer Hofspitzel [FromFrom.GetTitledName] in einer meiner Grafschaften spioniert hat. Das ist inakzeptabel, und um weitere Vorfälle zu verhindern, habe ich [FromFrom.GetTitledName] verhaften lassen!\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que tu líder de espías, [FromFrom.GetTitledName], ha estado espiando en uno de mis condados. Es intolerable, y para evitar más intromisiones, ¡he ordenado su detención!\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
evt_CK2_20332_desc_a;I received word that you have been spying in one of my counties. I will let it pass. This time.\n\nSigned,\n[From.GetTitledName];J'ai appris que vous avez espionné dans un de mes comtés. Je vais laisser passer. Cette fois-ci.\n\nSigné,\n[From.GetTitledName];Mir wurde zugetragen, dass Ihr in einer meiner Grafschaften spioniert habt. Ich werde es durchgehen lassen. Diesmal jedenfalls.\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que has estado espiando en uno de mis condados. Lo dejaré pasar. Por esta vez.\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
evt_CK2_20410_desc_a;Your [Root.GetMyMarshalName], [From.GetTitledFirstNameNoRegnal], has initiated a massive recruitment drive in §Y[From.Location.GetName]§!.;Votre [Root.GetMyMarshalName], [From.Get_only_le_Title][From.GetTitledFirstNameNoRegnal], a amorcé un recrutement massif en §Y[From.Location.GetName]§!.;Euer [Root.GetMyMarshalName], [From.GetTitledFirstNameNoRegnal], hat in §Y[From.Location.GetName]§! einen massiven Andrang von Rekruten ausgelöst.;;[From.GetTitledFirstNameNoRegnal], tu [Root.GetMyMarshalName], ha iniciado una enorme campaña de reclutamiento en §Y[From.Location.GetName]§!.;;;;;;;;;x
ENLIGHTEND_ONE;Enlightened One;;;;;;;;;x
evt_CK2_38317_desc_a;The concepts of fairness and rules have lost their luster to me. I have lost the Just trait.;Les concepts d'équité et de règles ont perdu de leur attrait à mes yeux. Je n'ai plus le sens de la justice.;Die Konzepte von Gerechtigkeit und Regeln haben für mich jeglichen Glanz verloren. Ich habe die Eigenschaft "Gerecht" verloren.;;La equidad y la ley son conceptos que me producen indiferencia. He perdido el rasgo justo/a.;;;;;;;;;x
evt_CK2_38318_desc_a;Why would all these delicious foods and drinks exist if we were not meant to taste them? I've lost the Temperate trait.;Pourquoi toutes ces nourritures et boissons délicieuses existent-elles si ce n'était pas pour les goûter ? Je ne fais plus preuve de tempérance.;Wozu gibt es all diese köstlichen Speisen und Getränke, wenn wir nicht davon kosten sollten? Ich habe die Eigenschaft "Gemäßigt" verloren.;;¿Por qué existen tantas comidas y bebidas deliciosas si no podemos disfrutar de ellas? He perdido el rasgo comedido/a.;;;;;;;;;x
evt_CK2_38319_desc_a;Not everything in life needs hard work to achieve. I've lost the Diligent trait.;Tout dans la vie ne nécessite pas un dur travail pour être mené à bien. Je ne fais plus preuve de diligence.;Nicht alles im Leben erfordert harte Arbeit. Ich habe die Eigenschaft "Fleißig" verloren.;;No todas las metas requieren esfuerzo. He perdido el rasgo diligente.;;;;;;;;;x
evt_CK2_39703_desc_a;Rome, for centuries the center of Christendom, is in Fraticelli hands. This has given me an opportunity to create a Fraticelli Papacy, which shall do away with the scandalous display of wealth that the Catholic Papacy has long been guilty of.;Rome, qui fut le centre de la chrétienté pendant des siècles, est entre des mains fraticelles. Cela m'a donné l'occasion de créer une papauté fraticelle, qui abolira l'étalage scandaleux de richesses dont la papauté catholique est depuis longtemps coupable.;Rom, das jahrhundertelang das Zentrum des Christentums war, ist in den Händen der Fraticelli. Dies bot mir eine Gelegenheit, ein Fraticelli-Pontifikat zu schaffen, das der skandalösen Zurschaustellung von Reichtum, derer sich das katholische Pontifikat so lange schuldig gemacht hat, ein Ende bereiten wird.;;Roma, que durante siglos ha sido el centro del cristianismo, está en manos de los fraticelli. Esto me ha brindado la oportunidad de crear un papado fraticelli, que se desembarazará del escandaloso alarde de riqueza del que siempre ha pecado el papado católico.;;;;;;;;;x
evt_CK2_39703_desc_b;Rome, for centuries the center of Christendom, is in Fraticelli hands. [From.GetTitledFirstName] has therefore seen fit to create a Fraticelly Papacy, claiming it shall do away with the scandalous display of wealth that the Catholic Papacy has long been guilty of.;Rome, qui fut le centre de la chrétienté pendant des siècles, est entre des mains fraticelles. [From.Get_Le_TitledFirstName] a donc jugé bon de créer une papauté fraticelle, en prétendant qu'elle abolira l'étalage scandaleux de richesses dont la papauté catholique a longtemps été coupable.;Rom, das jahrhundertelang das Zentrum des Christentums war, ist in den Händen der Fraticelli. Daher hat [From.GetTitledFirstName] es für richtig befunden, ein Fraticelli-Pontifikat zu schaffen, indem er behauptete, es werde der skandalösen Zurschaustellung von Reichtum, derer sich das katholische Pontifikat so lange schuldig gemacht hat, ein Ende bereiten.;;Roma, que durante siglos ha sido el centro del cristianismo, está en manos de los fraticelli. Por eso, [From.GetTitledFirstName] ha creído conveniente crear un papado fraticelli, afirmando que eso desembarazará al papado católico del escandaloso alarde de riqueza del que siempre ha pecado.;;;;;;;;;x
evt_CK2_39704_desc_a;As the great city of Constantinople is in Iconoclast hands, I have taken this chance to create the Iconoclast Patriarchate so that it may do away with the heretical idolatry the Ecumenical Patriarchate has long been guilty of. The new Iconoclast Patriarch shall soon take up his abode in the offices historically occupied by his Ecumenical predecessors.;Puisque la grande ville de Constantinople est entre des mains iconoclastes, j'en ai profité pour créer le patriarcat iconoclaste pour qu'il puisse abolir l'idolâtrie hérétique dont le patriarcat oecuménique est depuis longtemps coupable. Le nouveau patriarche iconoclaste s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs oecuméniques.;Da sich die große Stadt Konstantinopel in den Händen der Bilderstürmer befindet, habe ich diese Gelegenheit genutzt, das Bilderstürmer-Patriarchat zu schaffen, auf dass es dem ketzerischen Götzendienst, dessen sich das ökumenische Patriarchat so lange schuldig gemacht hat, ein Ende bereite. Der neue Bilderstürmer-Patriarch wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine ökumenischen Vorgänger innehatten.;;Dado que la gran ciudad de Constantinopla está en manos iconoclastas, he aprovechado la ocasión para crear el patriarcado iconoclasta y desembarazar así al patriarcado ecuménico de la idolatría herética de la que siempre ha pecado. Muy pronto, el nuevo patriarca iconoclasta establecerá su morada en la residencia que anteriormente ocuparan sus predecesores ecuménicos.;;;;;;;;;x
evt_CK2_39704_desc_b;As the great city of Constantinople is in Iconoclast hands, [From.GetTitledFirstName] has taken this chance to create the Iconoclast Patriarchate, claiming it shall do away with the heretical idolatry the Ecumenical Patriarchate has long been guilty of. The new Iconoclast Patriarch shall soon take up his abode in the offices historically occupied by his Ecumenical predecessors.;Puisque la grande ville de Constantinople est entre des mains iconoclastes, [From.Get_le_TitledFirstName] en a profité pour créer le patriarcat iconoclaste, en prétendant qu'il abolira l'idolâtrie hérétique dont le patriarcat oecuménique est depuis longtemps coupable. Le nouveau patriarche iconoclaste s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs oecuméniques.;Da sich die große Stadt Konstantinopel in den Händen der Bilderstürmer befindet, hat [From.GetTitledFirstName] diese Gelegenheit genutzt, das Bilderstürmer-Patriarchat zu schaffen, indem er behauptete, es werde dem ketzerischen Götzendienst, dessen sich das ökumenische Patriarchat so lange schuldig gemacht hat, ein Ende bereiten. Der neue Bilderstürmer-Patriarch wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine ökumenischen Vorgänger innehatten.;;Dado que la gran ciudad de Constantinopla está en manos iconoclastas, [From.GetTitledFirstName] ha aprovechado la ocasión para crear el patriarcado iconoclasta, afirmando que eso desembarazará al patriarcado ecuménico de la idolatría herética de la que siempre ha pecado. Muy pronto, el nuevo patriarca iconoclasta establecerá su morada en la residencia que anteriormente ocuparan sus predecesores ecuménicos.;;;;;;;;;x
evt_CK2_39705_desc_a;I have granted Rome to its rightful ruler, so that the Fraticelli Pope may lead his Church from accommodations befitting his stature. The Pope shall soon take up his abode in the offices historically occupied by his Catholic predecessors.;J'ai accordé Rome à son souverain légitime, afin que le pape fraticelle puisse conduire son Église depuis des logements dignes de sa stature. Le pape s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs catholiques.;Ich habe Rom seinem rechtmäßigen Herrscher zurückgegeben, damit der Fraticelli-Papst seine Kirche von Unterkünften aus leiten kann, die seiner Geltung angemessen sind. Der Papst wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine katholischen Vorgänger innehatten.;;He concedido Roma a su gobernante legítimo para que el papa fraticelli pueda liderar a su Iglesia desde una residencia que esté a la altura de su excelencia. Muy pronto, el papa establecerá su morada en la residencia que anteriormente ocuparan sus predecesores ecuménicos.;;;;;;;;;x
evt_CK2_39705_desc_b;[From.GetTitledFirstName] has granted Rome to its rightful ruler, so that the Fraticelli Pope may lead his Church from accommodations befitting his stature. The Pope shall soon take up his abode in the offices historically occupied by his Catholic predecessors.;[From.Get_Le_TitledFirstName] a accordé Rome à son souverain légitime, de sorte que le pape fraticelle puisse conduire son Église depuis des logements dignes de sa stature. Le pape s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs catholiques.;[From.GetTitledFirstName] hat Rom seinem rechtmäßigen Herrscher zurückgegeben, damit der Fraticelli-Papst seine Kirche von Unterkünften aus leiten kann, die seiner Geltung angemessen sind. Der Papst wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine katholischen Vorgänger innehatten.;;[From.GetTitledFirstName] ha concedido Roma a su gobernante legítimo para que el papa fraticelli pueda liderar a su Iglesia desde una residencia que esté a la altura de su excelencia. Muy pronto, el papa establecerá su morada en la residencia que anteriormente ocuparan sus predecesores ecuménicos.;;;;;;;;;x
evt_CK2_39706_desc_a;The Hagia Sofia, for centuries the center of Orthodox Christendom, is now back in Orthodox hands. I have granted the cathedral back to its rightful ruler, so that the Ecumenical Patriarch may once again lead the Patriarchate from accommodations befitting his stature. The Ecumenical Patriarch shall soon take up his abode in the offices historically occupied by his predecessors.;Sainte-Sophie, pendant des siècles le centre de la chrétienté orthodoxe, est de nouveau aux mains d'orthodoxes. J'ai rendu la cathédrale au souverain légitime, de sorte que le patriarche oecuménique puisse de nouveau conduire le patriarcat depuis des logements dignes de sa stature. Le Patriarche oecuménique s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs.;Die Hagia Sofia, die jahrhundertelang das Zentrum des orthodoxen Christentums war, ist jetzt wieder in den Händen der Orthodoxen. Ich habe die Kathedrale wieder ihrem rechtmäßigen Herrscher zurückgegeben, damit der ökumenische Patriarch das Patriarchat aufs Neue von Unterkünften aus leiten kann, die seiner Geltung angemessen sind. Der ökumenische Patriarch wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine Vorgänger innehatten.;;La Santa Sofía, que durante siglos ha sido el centro de la cristiandad ortodoxa, vuelve a estar en manos ortodoxas. He devuelto la catedral a su gobernante legítimo para que el patriarca ecuménico pueda volver a liderar el patriarcado desde una residencia que esté a la altura de su excelencia. Muy pronto, el patriarca ecuménico establecerá su morada en la residencia que anteriormente ocuparan sus predecesores.;;;;;;;;;x
evt_CK2_39706_desc_b;The Hagia Sofia, for centuries the center of Orthodox Christendom, is now back in Orthodox hands. [From.GetTitledFirstName] has granted the cathedral back to its rightful ruler, so that the Ecumenical Patriarch may once again lead the Patriarchate from accommodations befitting his stature. The Ecumenical Patriarch shall soon take up his abode in the offices historically occupied by his predecessors.;Sainte-Sophie, pendant des siècles le centre de la chrétienté orthodoxe, est maintenant de retour entre les mains orthodoxes. [From.Get_Le_TitledFirstName] a rendu la cathédrale au souverain légitime, de sorte que le patriarche oecuménique puisse de nouveau conduire le patriarcat depuis des logements dignes de sa stature. Le Patriarche oecuménique s'installera bientôt dans les bureaux historiquement occupés par ses prédécesseurs.;Die Hagia Sofia, die jahrhundertelang das Zentrum des orthodoxen Christentums war, ist jetzt wieder in den Händen der Orthodoxen. [From.GetTitledFirstName] hat die Kathedrale wieder ihrem rechtmäßigen Herrscher zurückgegeben, damit der ökumenische Patriarch das Patriarchat aufs Neue von Unterkünften aus leiten kann, die seiner Geltung angemessen sind. Der ökumenische Patriarch wird schon bald sein Domizil in den Ämtern aufschlagen, die in der Vergangenheit seine Vorgänger innehatten.;;La Santa Sofía, que durante siglos ha sido el centro de la cristiandad ortodoxa, vuelve a estar en manos ortodoxas. [From.GetTitledFirstName] ha devuelto la catedral a su gobernante legítimo para que el patriarca ecuménico pueda volver a liderar el patriarcado desde una residencia que esté a la altura de su excelencia. Muy pronto, el patriarca ecuménico establecerá su morada en la residencia que anteriormente ocuparan sus predecesores.;;;;;;;;;x
evt_CK2_66110_desc_a;My [GetFromRelation], [From.GetTitledFirstNameNoRegnal], keeps asking me to press [From.GetPossPronoun] claim on [claimant_claim.GetName] for the glory of our dynasty.;M[From.GetOnA] [GetFromRelation], [From.Get_only_le_Title][From.GetTitledFirstNameNoRegnal], continue de me demander d'appuyer sa revendication sur [claimant_claim.GetName] pour la gloire de notre dynastie.;M[From.Geteineine] [GetFromRelation] [From.GetTitledFirstNameNoRegnal] bittet mich immer wieder, zum Ruhme unserer Dynastie [From.GetPossPronoun]en Anspruch auf [claimant_claim.GetName] durchzusetzen.;;Mi [GetFromRelation] [From.GetTitledFirstNameNoRegnal] no deja de reclamarme su derecho sobre [claimant_claim.GetName] para gloria de nuestra dinastía.;;;;;;;;;x
is_not_ascetic;Is NOT an ascetic!;;;;;;;;x
jeju_route;Jeju Route;;;;;;;;x
prosperity_value;Prosperity;;;;;;;;x
androgynous;Androgynous;;;;;;;;x
androgynous_desc;It is difficult to tell whether this character is male or female.;;;;;;;;x
fecund;Fecund;;;;;;;;x
fecund_desc;This character is perticularly fertile.;;;;;;;;x
barren;Barren;;;;;;;;x
barren_desc;This character is perticularly infertile.;;;;;;;;x
haemophiliac;Haemophiliac;;;;;;;;x
haemophiliac_desc;This character suffers from congenital excessive bleeding making for a poor warrior and ruler.;;;;;;;;x
destroy_local_wonder;Destoy Local Wonder;;;;;;;;;;;;;x
destroy_local_wonder_desc;These are just the ruins of old, I shall create a greater legacy than this!;;;;;;;;;;;;;x
# Vanilla mess
253_lover;Nooo! My sweet [home_commander.GetFirstName]...!;Nonnnn ! M[home_commander.GetOnA] ch[home_commander.GetErEre] [home_commander.GetFirstName] !;Nein! Nicht mein(e) süße(r) [home_commander.GetFirstName]...!;;¡No! ¡Mi querido [home_commander.GetFirstName]…!;;;;;;;;;x # Needs renamed
8469.a;[Root.Religion.GetHighGodNameCap] be praised!;Louons [Root.Get_le_HighGod] !;[Root.Religion.GetHighGodNameCap] sei Dank!;;¡Alabado sea [Root.Religion.GetHighGodNameCap]!;;;;;;;;;x
88017.cannibal;A shame about [From.GetBestName], but at least I have a snack!;Dommage pour [From.Get_only_le_Title][From.GetBestName], mais au moins j'ai un casse-croûte !;Schade um [From.GetBestName], aber immerhin habe ich einen kleinen Imbiss!;;Me da pena por [From.GetBestName], ¡pero al menos tengo un tentempié!;;;;;;;;;x
