king_chugoku;Daimyo;;;;;;;;;;;;;x
king_ryukyuan;Ou;;;;;;;;;;;;;x
king_ainu;Daimyo;;;;;;;;;;;;;x
duchy_kanto;Ken;;;;;;;;;;;;;x
duchy_kansai;Fu;;;;;;;;;;;;;x
duchy_kyushu;Ken;;;;;;;;;;;;;x
duchy_shikoku;Ken;;;;;;;;;;;;;x
duchy_chubu;Ken;;;;;;;;;;;;;x
duchy_tohoku;Ken;;;;;;;;;;;;;x
duchy_chugoku;Ken;;;;;;;;;;;;;x
duchy_hokkaido;Dou;;;;;;;;;;;;;x
duchy_ryukyuan;Ken;;;;;;;;;;;;;x
duchy_ainu;Dou;;;;;;;;;;;;;x
duchy_of_kanto;Ken of;;;;;;;;;;;;;x
duchy_of_kansai;Fu of;;;;;;;;;;;;;x
duchy_of_kyushu;Ken of;;;;;;;;;;;;;x
duchy_of_hokkaido;Dou of;;;;;;;;;;;;;x
duchy_of_shikoku;Ken of;;;;;;;;;;;;;x
duchy_of_chubu;Ken of;;;;;;;;;;;;;x
duchy_of_tohoku;Ken of;;;;;;;;;;;;;x
duchy_of_chugoku;Ken of;;;;;;;;;;;;;x
duchy_of_ryukyuan;Ken of;;;;;;;;;;;;;x
duchy_of_ainu;Dou of;;;;;;;;;;;;;x
duke_kanto;Koshaku;;;;;;;;;;;;;x
duke_kansai;Koshaku;;;;;;;;;;;;;x
duke_kyushu;Koshaku;;;;;;;;;;;;;x
duke_hokkaido;Koshaku;;;;;;;;;;;;;x
duke_shikoku;Koshaku;;;;;;;;;;;;;x
duke_chubu;Koshaku;;;;;;;;;;;;;x
duke_tohoku;Koshaku;;;;;;;;;;;;;x
duke_chugoku;Koshaku;;;;;;;;;;;;;x
duke_ryukyuan;Koshaku;;;;;;;;;;;;;x
duke_ainu;Koshaku;;;;;;;;;;;;;x
county_kanto;Shichou;;;;;;;;;;;;;x
county_kansai;Shichou;;;;;;;;;;;;;x
county_kyushu;Shichou;;;;;;;;;;;;;x
county_hokkaido;Shichou;;;;;;;;;;;;;x
county_shikoku;Shichou;;;;;;;;;;;;;x
county_chubu;Shichou;;;;;;;;;;;;;x
county_tohoku;Shichou;;;;;;;;;;;;;x
county_chugoku;Shichou;;;;;;;;;;;;;x
county_ryukyuan;Shichou;;;;;;;;;;;;;x
county_ainu;Shichou;;;;;;;;;;;;;x
county_of_kanto;Shichou of;;;;;;;;;;;;;x
county_of_kansai;Shichou of;;;;;;;;;;;;;x
county_of_kyushu;Shichou of;;;;;;;;;;;;;x
county_of_hokkaido;Shichou of;;;;;;;;;;;;;x
county_of_shikoku;Shichou of;;;;;;;;;;;;;x
county_of_chubu;Shichou of;;;;;;;;;;;;;x
county_of_tohoku;Shichou of;;;;;;;;;;;;;x
county_of_chugoku;Shichou of;;;;;;;;;;;;;x
county_of_ryukyuan;Shichou of;;;;;;;;;;;;;x
county_of_ainu;Shichou of;;;;;;;;;;;;;x
count_kanto;Hakushaku;;;;;;;;;;;;;x
count_kansai;Hakushaku;;;;;;;;;;;;;x
count_kyushu;Hakushaku;;;;;;;;;;;;;x
count_hokkaido;Hakushaku;;;;;;;;;;;;;x
count_shikoku;Hakushaku;;;;;;;;;;;;;x
count_chubu;Hakushaku;;;;;;;;;;;;;x
count_tohoku;Hakushaku;;;;;;;;;;;;;x
count_chugoku;Hakushaku;;;;;;;;;;;;;x
count_ryukyuan;Hakushaku;;;;;;;;;;;;;x
count_ainu;Hakushaku;;;;;;;;;;;;;x
barony_kanto;Ku;;;;;;;;;;;;;x
barony_kansai;Shi;;;;;;;;;;;;;x
barony_kyushu;Shi;;;;;;;;;;;;;x
barony_hokkaido;Shi;;;;;;;;;;;;;x
barony_shikoku;Shi;;;;;;;;;;;;;x
barony_chubu;Shi;;;;;;;;;;;;;x
barony_tohoku;Shi;;;;;;;;;;;;;x
barony_chugoku;Shi;;;;;;;;;;;;;x
barony_ryukyuan;Shi;;;;;;;;;;;;;x
barony_ainu;Shi;;;;;;;;;;;;;x
barony_of_kanto;Ku of;;;;;;;;;;;;;x
barony_of_kansai;Shi of;;;;;;;;;;;;;x
barony_of_kyushu;Shi of;;;;;;;;;;;;;x
barony_of_hokkaido;Shi of;;;;;;;;;;;;;x
barony_of_shikoku;Shi of;;;;;;;;;;;;;x
barony_of_chubu;Shi of;;;;;;;;;;;;;x
barony_of_tohoku;Shi of;;;;;;;;;;;;;x
barony_of_chugoku;Shi of;;;;;;;;;;;;;x
barony_of_ryukyuan;Shi of;;;;;;;;;;;;;x
barony_of_ainu;Shi of;;;;;;;;;;;;;x
baron_kanto;Danshaku;;;;;;;;;;;;;x
baron_kansai;Danshaku;;;;;;;;;;;;;x
baron_kyushu;Danshaku;;;;;;;;;;;;;x
baron_hokkaido;Danshaku;;;;;;;;;;;;;x
baron_shikoku;Danshaku;;;;;;;;;;;;;x
baron_chubu;Danshaku;;;;;;;;;;;;;x
baron_tohoku;Danshaku;;;;;;;;;;;;;x
baron_chugoku;Danshaku;;;;;;;;;;;;;x
baron_ryukyuan;Danshaku;;;;;;;;;;;;;x
baron_ainu;Danshaku;;;;;;;;;;;;;x

GRAND_PAT;Grand Patriarch;;;;;;;;;x
GRAND_PAT_FEMALE;Grand Matriarch;;;;;;;;;x
