#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
acr_open_settlement_desc;This province has been opened to settlement by anyone willing to make the journey.;;;;;;;;;;;;x
acr_infrastructure_investment;Infrastructure Investment;;;;;;;;;;;;x
acr_infrastructure_investment_desc;This province's infrasture recently received a large amount of investment, improving roads, dams, irrigation, etc.;;;;;;;;;;;;x
infrastructure_projects_tt;[Root.GetName] will get infrastructure related events over time that increase it's prosperity.;;;;;;;;;;;;x
acr_foreign_influence;Foreign Influence: [foreign_influence.GetValue];;;;;;;;;;;;x
acr_foreign_influence_desc;This represents the level of foreign cultural and religious influence on the province. Higher values increase the risk of tension.;;;;;;;;;;;;x
foreign_influence_grows_minor_custom_tooltip;The influence of foreign practices grows slightly in [Root.GetName].;;;;;;;;;;;;x
foreign_influence_grows_moderate_custom_tooltip;The influence of foreign practices grows in [Root.GetName]!;;;;;;;;;;;;x
foreign_influence_grows_major_custom_tooltip;The influence of foreign practices grows greatly in [Root.GetName]!;;;;;;;;;;;;x
foreign_influence_declines_minor_custom_tooltip;The influence of foreign culture decreases slightly in [This.GetName]!;;;;;;;;;;;;x
foreign_influence_declines_moderate_custom_tooltip;The influence of foreign culture decreases in [This.GetName]!;;;;;;;;;;;;x
foreign_influence_declines_major_custom_tooltip;The influence of foreign culture decreases greatly in [This.GetName]!;;;;;;;;;;;;x
# Titles;;;;;;;;;;;;;;x
d_promethean_pagan;The First Academy;;;;;;;;;;;;;x
d_promethean_pagan_adj;Academecian;;;;;;;;;;;;;x
SCHOLARCH;Scholarch;Scholarch;Scholarch;;Scholarch;;;;;;;;;x
d_men_of_steel;Men of Steel;;;;;;;;;;;;;x
d_men_of_steel_adj;Steely;;;;;;;;;;;;;x
temple_baron_promethean_pagan;Philosophos;;;;;;;;;;;;;x
temple_baron_female_promethean_pagan;Philosophoia;;;;;;;;;;;;;x
temple_barony_promethean_pagan;Academy;;;;;;;;;;;;;x
temple_barony_of_promethean_pagan;Academy of;;;;;;;;;;;;;x
temple_count_promethean_pagan;Ypsilós Philosophos;;;;;;;;;;;;;x
temple_count_female_promethean_pagan;Ypsilós Philosophoia;;;;;;;;;;;;;x
temple_county_promethean_pagan;High Academy;;;;;;;;;;;;;x
temple_county_of_promethean_pagan;High Academy of;;;;;;;;;;;;;x
temple_duke_promethean_pagan;Megálos Philosophos;;;;;;;;;;;;;x
temple_duke_female_promethean_pagan;Megálos Philosophoia;;;;;;;;;;;;;x
temple_duchy_promethean_pagan;Grand Academy;;;;;;;;;;;;;x
temple_duchy_of_promethean_pagan;Grand Academy of;;;;;;;;;;;;;x
temple_king_promethean_pagan;Dáskalosophos;;;;;;;;;;;;;x
temple_king_female_promethean_pagan;Dáskalosophoia;;;;;;;;;;;;;x
temple_kingdom_promethean_pagan;Sofos Vasilieo;;;;;;;;;;;;;x
temple_kingdom_of_promethean_pagan;Sofos Vasilieo tis;;;;;;;;;;;;;x
temple_emperor_promethean_pagan;Sofos Patriarchis;;;;;;;;;;;;;x
temple_emperor_female_promethean_pagan;Sofos Matriarchia;;;;;;;;;;;;;x
temple_empire_promethean_pagan;Enlightened Realm;;;;;;;;;;;;;x
temple_empire_of_promethean_pagan;Enlightened Realm of;;;;;;;;;;;;;x
# Traits;;;;;;;;;;;;;;x
stoic;Stoic;;;;;;;;;;;;;x
stoic_desc;This character follows the Stoic school of philosophy. Stoicism teaches the development of self-control and fortitude as a means of overcoming destructive emotions. To become unbiased is to understand universal truth.;;;;;;;;;;;;;x
skeptic;Skeptic;;;;;;;;;;;;;x
skeptic_desc;This character follows the Skeptic school of philosophy. Skepticism teaches that knowledge of the truth is impossible, and so one should suspend belief.;;;;;;;;;;;;;x
epicurean;Epicurean;;;;;;;;;;;;;x
epicurean_desc;This character follows the Epicurean school of philosophy. Epicureanism teaches that the goal of mortal life should be to enhance ones pleasure, and that the ultimate pleasure is the freedom from pain, even the pain of excess. They also hold that the gods are not interested in mortals, and that friendships are critical to happiness.;;;;;;;;;;;;;x
