EVTTITLE_ATEOW_realm_event_99999;Zapadoslavia;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99999;Legends say that at one time all Slavs where united as brothers, but the great disaster that befell our world tore us apart. Yugoslavia showed that hope of reunification was not lost, and like the Southern Slavs it was only a matter of time until the Western Slavs would find common ground and reunite.\n\nIt was [e_zapadoslavia.Holder.GetFirstNameWithNick] who finally brought the Western Slavs together under the banner of Zapadoslavia. Throughout the new realm, Poles, Czechs and Slovaks celebrate this momentous occasion.;;;;;;;;;x,,,,
EVTDESC_ATEOW_realm_event.99995;As the Holy Texts testify, Lord Stalin is and always has been the one true Tzar of Russia. But sadly, one day He Disappeared, and the princes squabbled over the crown until Russia was no more. The faithful were persecuted for refusing to bow to another Tzar, until they were driven underground. There they hid, awaiting the day of vindication. And that day has now come, as under the leadership of [e_cccp.Holder.GetFirstNameWithNick], the faith of Lord Stalin reigns over Russia again!;;;;;;;;;x,,,,,,,,
EVTOPTA_ATEOW_realm_event.99995;The Red Bear rises.;;;;;;;;;x,,,,,,,,
,,,,,,,,
form_romaraj;Become the King of the Rom;;;;;;;;;x,,,,,,,,
form_romaraj_tt;§Y[Root.GetBestName]§! becomes the §YKing of the Rom§!;;;;;;;;;x,,,,,,,,
form_romaraj_desc;It is said that a long time ago all Romani people were all united under a King of All Romani. Perhaps a powerful enough Romani leader can claim that title for himself again.;;;;;;;;;x,,,,,,,,
,,,,,,,,
stalin.1.d;My master, [From.GetTitledFirstName],has trumped up some scandalous lies claiming to prove that you are an unfaithful traitor!;;;;;;;;;x,,,,,,
EVTOPTA_stalin1;This can't be good...;;;;;;;;;x,,,,,,,,
,,,,,,,,
stalin.2.d;We have found convincing proof that your subject,[From.GetTitledFirstName],is a traitor in league with the enemies of Lord Stalin!;;;;;;;;;x,,,,,,
EVTOPTA_stalin2;I never trusted them in the first place;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.1.d;The Pope in Rome has called for a great Crusade, a massive armed struggle by the whole Catholic world against the infidels. Though you have been brought up to believe that the Roman Pope was a false pretender to the title, you start to wonder if the differences between your two faiths really matter in the face of the obviously greater threat of paganism and heresy plaguing the continent. Perhaps you should help these Crusaders? The Pope in Palmar won't like it, though?;;;;;;;;;x,,,,,
EVTOPTA_palmarian.1;I will help my Christian brothers!;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.1;Let the schismatics fight their own wars;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.2.d;While you've been riding with the train of knights in the Crusade, you've drawn the odd stares of many of the Crusaders. Clearly your Hispanic complexion and accent have drawn their suspicion. Eventually, a burly, heavyset Italian confronts you and asks what a Palmarian is doing in the train of the warriors of God. The crowd is getting restless, and it seems that they'll demand your expulsion soon...;;;;;;;;;x,,,,
EVTOPTA_palmarian.2;Beg them to let you stay;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.2;Prove your worth to them with a show of martial skill;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.2;Convince them that they're better off with you than without you;;;;;;;;;x,,,,,,,,
EVTOPTD_palmarian.2;Lie and tell them you're not a Palmarian;;;;;;;;;x,,,,,,,,
EVTOPTE_palmarian.2;Storm off and leave the Crusade altogether;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.3.d;During your time on Crusade, you have come by necessity to have strong relationships with many of the knights, and have grown fond of several of them. Sometimes, they talk to you about religion, and you have to face the tough question of why the Palmarian Church even exists at all. Were the visions of one seer really sufficient grounds to split with Rome? And besides that, some of the people here have left everything behind, or at least lost vast sums of money, purely for the privelige of taking part in the Holy War. Certainly you rarely saw this kind of ardor in Spain. Could it be that the Roman Church trul yis the real Catholic Church after all?;;;;;;;;;x,
EVTOPTA_palmarian.3;God has revealed the truth to me!;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.3;I believe - but I cannot admit it, I would lose my status.;;;;;;;;;x,,,,,,,
EVTOPTC_palmarian.3;They are pleasant friends, but that doesn't make them right.;;;;;;;;;x,,,,,,,
EVTOPTD_palmarian.3;Gloria In Excelsis Deo;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.4.d;You have received an angry letter from your local bishop back in Spain. In it, he curses you for running off to aid the schismatic Church and warns you that you are playing dangerous games with your soul if you continue to struggle in the service of the False Faith. He urges you to return to Spain immediately.;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.4;Tell him bluntly to shut up;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.4;Set off for home immediately - I'm jeopardising my standing too much;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.4;Lie and convince him that you are not actually on Crusade, just out of the Kingdom for other reasons;;;;;;;;;x,,,,,,,
EVTOPTD_palmarian.4;Provide him with a theological rationale for why your actions are justifiable;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.5.d;To your surprise,your group has discovered a small family of Palmarians living in an isolated village near the Crusade target. The more vulgar members of your troop, eager to sate their appetite for cruelty, have smashed up much of their property and taunted them for being schismatics. Your heart burns to see such shameful behavior between Christians - aren't we supposed to be fighting the same enemy? But the others will be angry if you interrupt their 'fun'...;;;;;;;;;x,,,,,
EVTOPTA_palmarian.5;Recompense the family for their loss;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.5;There's nothing I can do;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.5;Looks like fun! Let me join!;;;;;;;;;x,,,,,,,,
EVTOPTD_palmarian.5;We're here to fight FOR Christians, not against them!;;;;;;;;;x,,,,,,,
EVTOPTE_palmarian.5;Reprimand them publically for their cruelty;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.6.d;A brave soldier has distinguished himself during the Crusade, and has presented himself to you. He claims to be from a relatively poor family and, seeing that you come from a noble house, thinks it'd be better to join you and serve at your court when the Crusade is over.;;;;;;;;;x,,,,,
EVTOPTA_palmarian.6;There's no such thing as too many good men!;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.7.d;You have taken part in an assault that captured an important fortification! You have been showered in glory, and the knights are all hailing you as a true crusader!;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.7;Deus Vult!;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.8.d;With the end of the Crusade, the bands of knights depart. You have no choice but to return home.;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.8;Pleasant or not, it certainly was unforgettable.;;;;;;;;;x,,,,,,,
,,,,,,,,
EVTNAMEINVADERS1;Wars and Rumours of Wars;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS1;Troubling rumours have been coming west in recent years, speaking of two great empires in the far east which are finally gearing up to settle their centuries-long grievance with each other. The rumours speak of these two realms as 'China' and 'Sibera', and claim that the two have been constantly feuding for hundreds of years. Whatever the result of this war, it will likely result in complete destruction for the loser.;;;;;;;;;x,,,,,
EVTOPTA_INVADERS1;No concern of ours.;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS1;I bet that Siberia will lose and be forced to come here.;;;;;;;;;x,,,,,,,,
EVTOPTC_INVADERS1;I bet that China will lose and be forced to come here.;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTNAMEINVADERS2;The Cold Wind of the East;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS2;It seems that the Great War in the East is finally over, and the Chinese stand victorious. The Siberian Empire has been utterly crushed. Even now Chinese Governors establish military outposts in the snowy lands of Siberia, and tribute caravans laden with ivory and rare woods make their way to the Imperial City. While many Siberians remain in their homeland and acclimatise to foreign rule, a large group of the Siberian nobility, army, and peasants have chosen to migrate to the West to escape the wrath of China. Though reduced in size since their defeat, this force is still very large, with a hard core of professional soldiers reinforced by refugees and desperate men trying to find new lives for themselves and their families. Though only a remnant of its former greatness, this Empire-in-Exile could easily prove a grave threat to its neighbors.;;;;;;;;;x
EVTOPTA_INVADERS2;And these are the ones who *lost* the war?!;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS2;Leading a nation to a new home, legends would sing my name...;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTNAMEINVADERS5;Wings of the Dragon;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS5;It seems that the Great War in the East is finally over, and the Siberians stand victorious. The Great Empire of China has been shattered, and now a Siberian sits upon the Dragon Throne, having declared himself the founder of a new Dynasty and possessor of the Mandate of Heaven. As he prepares his armies for the decades-long task of pacifying the countryside and consolidating his rule, large sections of the defeated Chinese army, nobility and peasantry have chosen to migrate to the West to escape the chaos that is sure to result. Though reduced in size since their defeat, this force is still very large, with a hard core of professional soldiers reinforced by refugees and desperate men trying to find new lives for themselves and their families. Though only a remnant of its former greatness, this Empire-in-Exile could easily prove a grave threat to its neighbors.;;;;;;;;;x
,,,,,,,,
EVTNAMEINVADERS6;Massive Settlement;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS6;Having established a new ream for themselves in the West, [Root.GetTitledName] has decided to settle many of those who fled in their new lands. Already a wide-scale building campaign is working to provide housing and settlements for the newcomers to live in, fuelled primarily by grants of land taken from the natives.;;;;;;;;;x,,,,,,
EVTOPTA_INVADERS6;Excellent;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS6;Interesting;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTDESCINVADERS7;Large swathes of our migrating population has decided to settle down in [Root.GetName], massively expanding its infrastructure as well as displacing the rebellious native population.;;;;;;;;;x,,,,,,,
EVTOPTA_INVADERS7;Excellent;;;;;;;;;x,,,,,,,,
,,,,,,,,
parabrahmanist1Desc;Though there have always been warriors dedicated to fighting for the Bhagavanist faith, so far they have been isolated and scattered, unable to coordinate their efforts beyond their local areas. Now, a group of powerful rulers have come together to provide extensive financial support for an order of holy warriors dedicated to defending the Bhagavanist faith from all its enemies. These warriors have called themselves the Shiv Sena, and have sworn not to fight fellow followers of the religion of Bharat.;;;;;;;;;x,,,,
parabrahmanist1Title;The Shiv Sena;;;;;;;;;x,,,,,,,,
EVTOPTA_parabrahmanist1;Jai Hind!;;;;;;;;;x,,,,,,,,
EVTOPTB_parabrahmanist1;Those antiquarian murderers!;;;;;;;;;x,,,,,,,,
EVTOPTC_parabrahmanist1;May Allah destroy those violent heathens!;;;;;;;;;x,,,,,,,,
EVTOPTD_parabrahmanist1;The Bharatvists are organising? That could be dangerous...;;;;;;;;;x,,,,,,,,
EVTOPTE_parabrahmanist1;Who?;;;;;;;;;x,,,,,,,,
,,,,,,,,
parabrahmanist2Title;The Shiv Sena;;;;;;;;;x,,,,,,,,
parabrahmanist2Desc;The Bhagavanist religion has always been combatative, dedicated to expelling heathens and adharma from the holy land of India. However, they have recently suffered many defeats and setbacks, which has greatly worried many of the faithful. [From.GetTitledName] has heard these worries, and has decreed the formation of a new order for the defense of India. This new holy order, the Shiv Sena, is to be a band of warriors devoted to the defense of the Bhagavanist religion, and is not to fight coreligionists under any circumstances. The Shiv Sena will surely be a prominent force in the religious wars of India from now on.;;;;;;;;;x,
,,,,,,,,
parabrahmanist3Title;Rise of Bharat;;;;;;;;;x,,,,,,,,
parabrahmanist3Desc;For centuries, India has been splintered, and indeed can hardly be called a realm in any but the loosest possible sense. However, [From.GetTitledName] has reversed centuries of decline and turned it back, winning glorious battles and unifying all of India beneath one banner. Now, the great Empire of Bharat is unified once again, and the holy land of India is safe from foreign invaders.;;;;;;;;;x,,
,,,,,,,,
parabrahmanist4Title;The Dharmayudda;;;;;;;;;x,,,,,,,,
parabrahmanist4Desc;Though the Bhagavanist religion has always advocated for holy struggle to liberate India from foreign religion and wickedness, their efforts have hardly ever been united, and they have spent nearly as much time fighting each other as fighting heathens. The Mahapandit has declared that this has gone on too long. In a fiery speech given before a crowd of thousands, he has declared that all faithful Hindus should unite against the infidels, and strive together to reclaim the sacred land. This marks the beginning of a new era of Hindu holy wars - the Dharmayuddas.;;;;;;;;;x,,,,
,,,,,,,,
jain1Desc;A group of Jain missionaries from the Neeraji Order have shown up in [Root.GetName], and have begun preaching to the people. Their words seem to have swayed a fair few people to adopt their pacifistic ways, and they are asking for permission to establish a permanent settlement and monastic community among our people.;;;;;;;;;x,,,,,,
EVTOPTA_jain1;Drive them out of here! We don't want their nonsense!;;;;;;;;;x,,,,,,,,
EVTOPTB_jain1;They can stay, but keep an eye on them.;;;;;;;;;x,,,,,,,
EVTOPTC_jain1;Encourage them to stay with a healthy donation.;;;;;;;;;x,,,,,,,,
EVTOPTD_jain1;Their words speak to me - I will join the Jina.;;;;;;;;;x,,,,,,,,
,,,,,,,,
jain2Desc;Greetings [Root.GetTitle]. The Neerajis are dedicated to spreading the thought of the Tirtharkanas throughout the world, and we have located a place we consider ripe to receive the truth. We have decided to entrust you with the responsibiltiy for carrying out this mission.;;;;;;;;;x,,,,,,,
,,,,,,,,
EVTTITLE_JAIN8;The Mission Begins;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN8;The day has finally come for you to begin your mission. With the blessing of the Tirtharkanas, you will be able to affect some change among the population.;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN8;May it be so;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN9;The Scorn of the Ignorant;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN9;The local ruler has been thoroughly intolerant of your preaching, and has forcibly driven you out of their realm.;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN9;The karma of this deed will rebound upon them.;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN10;Success;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN10;Thankfully, the people have listened to your words, and you have been able to establish a small monastic community. The people have flocked to hear your words and those of your fellow monks, and the Jina has been substantially expanded.;;;;;;;;;x,,,,,
EVTOPTA_JAIN10;Excellent;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN12;Enlightenment Advances;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN12;Great news! Not only have you managed to convert the majority of the population and establish a Neeraji Monastery, even the ruler whose realm you entered has converted!;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN12;A glorious day;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.11.title;The White Elephant Comes;;;;;;;;;x,,,,,,,,
col.11.text;Troubling news has reached us from the distant East - there come reports that large ships, overflowing with strange warriors and troupes of war elephants, have come from the land beyond the eastern Jungles. They speak a strange language, and cannot, it seems, be reasoned with. They come to conquer in the name of their King, and they will not stop until his rule is established over all the lands of the West.;;;;;;;;;x,,,,,,,
col.11.optA;Troubling times...;;;;;;;;;x,,,,,,,,
col.11.optB;For the King!;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.12.title;Colony Established;;;;;;;;;x,,,,,,,,
col.12.text;The armies of Siam have forced open the borders of India. The Territory of New Siam has been established, and is in the process of being integrated into the Greater Siamese Empire. Only time will tell if they will be content to stop here, or if they intend to expand further.;;;;;;;;;x,,,,,,,
col.12.optA;This doesn't sound good...;;;;;;;;;x,,,,,,,,
col.12.optB;For the King!;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.13.title;Invasion Repelled;;;;;;;;;x,,,,,,,,
col.13.text;The armies of Siam have been defeated. This setback will prevent any further Siamese attempts at colonialism in the near future, and may sour them entirely on the idea permanently.;;;;;;;;;x,,,,,,,
col.13.optA;Serves them right!;;;;;;;;;x,,,,,,,,
col.13.optB;Oh no!;;;;;;;;;x,,,,,,,,

america1Title;The Redcoats Assemble;;;;;;;;;x,,,,,,,,
america1Desc;Everyone has heard the legends of the great British Empire, and of the glory that was hers long ago, before the world broke. But of all the lands of the Crown that were lost, the fabled "America" has always been foremost in the minds of the British. Myths tell of the expulsion of The Queen's forces from America by the demon Washington, and though Her Majesty's forces recovered from this defeat, they never reclaimed those far lands. With Imperial power waxing once more, the lords of Britannia have decided to prove themselves by doing what even their antediluvian ancestors could not - return to the land of America and conquer it. The Redcoats have been assembled, and given massive amounts of manpower and money to undertake this task, one they have happily accepted.;;;;;;;;;x,,,,,,,,
america1A;It won't be long now until they're on their way;;;;;;;;;x,,,,,,,,
america1B;Those Anglos are up to something...;;;;;;;;;x,,,,,,,,
america1C;This is our concern how?;;;;;;;;;x,,,,,,,,

america2Title;The Redcoats Embark;;;;;;;;;x,,,,,,,,
america2Desc;Having spent the last year gathering soldiers and preparing ships and supplies, the Redcoats are finally ready to embark on their voyage to America. The first ships left port this morning, following ancient mariners' charts, and hope to report back within a few years.;;;;;;;;;x,,,,,,,,
america2A;We wish them a safe and speedy voyage;;;;;;;;;x,,,,,,,,
america2B;May they drown on the way;;;;;;;;;x,,,,,,,, 
america2C;Who?;;;;;;;;;x,,,,,,,,

america3Title;Fall of The Newfindlers;;;;;;;;;x,,,,,,,,
america3Desc;Word comes from the West! The Redcoats have landed in the place called 'Newfindland', it appears to be a large Island off the North East Coast of the Mainland. There, they have found but a squabbling bunch of barbarians, speaking strange dialects and worshipping stranger gods. They have subjugated them, and brought them back under the Crown's dominion. Though the Newfindlers fought back, resistance was less than expected. Perhaps the reconquest of America is not such a far-fetched dream after all?;;;;;;;;;x,,,,,,,,
america3A;Rule Britannia!
america3B;The Eternal Anglo strikes again;;;;;;;;;x,,,,,,,,
america3C;This is not our business;;;;;;;;;x,,,,,,,,
america3D;Excellent. Order them to go West along the great river;;;;;;;;;x,,,,,,,,
america3E;Excellent. Order them to focus on going South along the coastline;;;;;;;;;x,,,,,,,,

america4Title;The Crawling Chaos;;;;;;;;;x,,,,,,,,
america4Desc;Word comes from the West! The Redcoats arrived in America several months ago, but to their great surprise, they discovered that the land of Newfindland was held by an enormous kingdom, stretching across onto the canadian mainland. The ruler of this realm, has rallied their warriors, and the Redcoat forces have been shattered. In disarray, they have been utterly wiped out.;;;;;;;;;x,,,,,,,,
america4A;What a disaster!;;;;;;;;;x,,,,,,,,
america4B;Ha! Serves them right!;;;;;;;;;x,,,,,,,,
america4C;And the weather report?;;;;;;;;;x,,,,,,,,

america5Title;Reinforcements;;;;;;;;;x,,,,,,,,
america5Desc;The messengers who recently told us of the Redcoats' victories across the sea have also carried an appeal directly from the Lord-Admiral. It claims that, though their soldiers have fought bravely and victory was achieved, it was not achieved without substantial cost. America is obviously far more heavily populated than we had anticipated, and the Redcoats' arrival is sure to unite the troublesome colonials together in opposition to them. The Lord-Admiral therefore pleads for more supplies and soldiers to be sent to their new capital in Newfindland, warning that without reinforcements, future victory remains uncertain.;;;;;;;;;x,,,,,,,,
america5A;They shall have it. Load the ships!;;;;;;;;;x,,,,,,,,
america5B;They are just greedy cowards. What they have already is quite sufficient;;;;;;;;;x,,,,,,,,
america5C;You shouldn't tag over to e_redcoats, you know! This option is only for the AI, silly!;;;;;;;;;x,,,,,,,,

america6Title;The Burning of Boston;;;;;;;;;x,,,,,,,,
america6Desc;The ancient city of Boston has finally been burned by the Brittonian invader forces. For at least 20 days has this city endured constant attacks and explosions made by the British army. The North End was affected the most and nearly all buildings turned to rubble in the matter of 2 days until the British broke the defences and pushed their forces even further reaching the final line of defense Roslindale Fort. The siege ended in 6 days and the native forces were forced to sign an act of surrender. It is a day of celebration for the Britons and today will be remembered as the day that America has been touched by European hands once again after 800 years of hiatus. The first reports say that the British officers are already celebrating their victory in one of the last remaining churches in Boston.;;;;;;;;;x,,,,,,,,
america6A;The ancient slight is avenged;;;;;;;;;x,,,,,,,,
thelemaresponse;Rule Britannia!;;;;;;;;;x,,,,,,,,

america7Title;A Disastrous Repeat;;;;;;;;;x,,,,,,,,
america7Desc;Even though everything seemed to turn out in favor of the British invader forces the battle that took place in Portland was a disaster. Surrounded by overwhelming forces of New Englanders the British Navy could do nothing but stay in their ships and watch as their own ships burn right before their eyes. Having been equiped with ships of superior power the British were forced to retreat to Peaks Island and as soon as the native's forces caught up to them the battle took place on land. It was a gruesome defeat with nobody surving being surrounded by vile warriors ready to kill anybody wearing red and food shortages that decimated that once great and majestic army. This failure serves as a reminder that one should not underestimate the New World's forces.;;;;;;;;;x,,,,,,,,
america7A;Give me back my legions!;;;;;;;;;x,,,,,,,,
thelemaresponseBad;That...isn't good. At all;;;;;;;;;x,,,,,,,,

america8Title;Victory in New York;;;;;;;;;x,,,,,,,,
america8Desc;The offensive on an American soil has so far been successful especially when we consider what happened in New York. The troops were overwhelmingly superior to the American forces and this would show when breaching the Manhattan bridge the most heavily defended structure in New York's siege. This however wasn't enough to stop the well prepared and well fed British army who had no problem in obliterating the unprepared and shocked forces of New Yorkers. The battle later moved to Long Island and this is the place where an act of surrender was signed. Truly a victorious day for the British.;;;;;;;;;x,,,,,,,,
america8A;Remind me to build some proper roads in that country when this is over.;;;;;;;;;x,,,,,,,,

america9Title;Defeated in New York;;;;;;;;;x,,,,,,,,
america9Desc;They lost in New York;;;;;;;;;x,,,,,,,,
america9A;Are we sure these men aren't Scottish?;;;;;;;;;x,,,,,,,,

america10Title;Victory over America lol no;;;;;;;;;x,,,,,,,,
america10Desc;Impossible Victory in Japan;;;;;;;;;x,,,,,,,,
america10A;A Triumph! America is ours once more;;;;;;;;;x,,,,,,,,

america11Title;Defeated by Federal army outside washington;;;;;;;;;x,,,,,,,,
america11Desc;Defeated by Federal Army ;;;;;;;;;x,,,,,,,,
america11A;What? No! This can't be happening!;;;;;;;;;x,,,,,,,,

america12Title;Victory in Quebec;;;;;;;;;x,,,,,,,,
america12Desc;Redcoats won in Quebec over sedes;;;;;;;;;x,,,,,,,,
america12A;It seems a lot has changed while we were away;;;;;;;;;x,,,,,,,,

america13Title;Quebec beat Redcoats;;;;;;;;;x,,,,,,,,
america13Desc;Quebec has defeated the redcoats;;;;;;;;;x,,,,,,,,
america13A;I never thought Canadians could be so fierce!;;;;;;;;;x,,,,,,,,

america14Title;Ontario Retaken;;;;;;;;;x,,,,,,,,
america14Desc;Victory in Ontario, First American Federal Province;;;;;;;;;x,,,,,,,,
america14A;Though you could escape over the sea? Ha!;;;;;;;;;x,,,,,,,,

america15Title;Loss in Ontario;;;;;;;;;x,,,,,,,,
america15Desc;Redcoats defeated in Ontario;;;;;;;;;x,,,,,,,,
america15A;Those damned Canadians!;;;;;;;;;x,,,,,,,,

america16Title;Victory in Ohio over federal army(Not happening);;;;;;;;;x,,,,,,,,
america16Desc;Lol the Federal army is too big;;;;;;;;;x,,,,,,,,
america16A;Must we fight the French on every continent?;;;;;;;;;x,,,,,,,,

america17Title;Loss to Federal Army in Ohio;;;;;;;;;x,,,,,,,,
america17Desc;Loss to Federal Army in Ohio;;;;;;;;;x,,,,,,,,
america17A;This feels strangely familiar...;;;;;;;;;x,,,,,,,,

america18Title;Rumblings and Rumors;;;;;;;;;x,,,,,,,,
america18Desc;It is over. The Redcoats have utterly lost control of their holdings in America, and they have been scattered to the four winds. Their soldiers have surrendered, some being absorbed into the civilian populace, others attempting to flee back across the Ocean, very few of whom will ever be seen again. The few survivors tell harowing stories of American savagery and vengeance, hounded by the fear that the demons of the New World will not leave them be, but will pursue them back home...;;;;;;;;;x,,,,,,,,
america18A;They could never bring such a big force over the ocean! Right..?;;;;;;;;;x,,,,,,,,

america19Title;The Wind Comes From The West;;;;;;;;;x,,,,,,,,
america19Desc;Some years ago, the Redcoat Dominion invaded the distant and fabled land of America. Their invasion ultimately failed, and little has been heard from that land ever since. But now, the worst fears of the Redcoat survivors have been realised - the Americans, galvanised by the shock of the British invasion, and realising that the world beyond the Atlantic is within range of colonisation, and having spent several years building a fleet of ships, have launched a great invasion of the Old World. Their armies have already landed near the Orkneys, in Ireland, and they have unfurled their banner, declaring their intent to establish American hegemony upon this world.;;;;;;;;;x,,,,,,,,
america19A;I've got a bad feeling about this...;;;;;;;;;x,,,,,,,,
america19B;The legends never prepared us for this...;;;;;;;;;x,,,,,,,,
america19C;I fail to see how this matters to us;;;;;;;;;x,,,,,,,,
america19D;Europe for the Americans!;;;;;;;;;x,,,,,,,,

america20Title;The Redcoats Set Sail;;;;;;;;;x,,,,,,,,
america20Desc;Everyone has heard the legends of the great British Empire, and of the glory that was hers long ago, before the world broke. But of all the lands of the Crown that were lost, the fabled "America" has always been foremost in the minds of the British. Myths tell of the expulsion of The Queen's forces from America by the demon Washington, and though Her Majesty's forces recovered from this defeat, they never reclaimed those far lands. Recently, this ancient defeat has been much on the mind of the Grandmaster of the Redcoats, who has gathered a large number of soldiers and set off for the far distant land, hoping to conquer it for the Crown once more.;;;;;;;;;x,,,,,,,,
america20A;May the Queen grant them victory;;;;;;;;;x,,,,,,,,
america20B;Good riddance;;;;;;;;;x,,,,,,,,
america20C;Lunatics!;;;;;;;;;x,,,,,,,,

america21Title;Fading Into Memory;;;;;;;;;x,,,,,,,,
america21Desc;Several years ago, the Redcoat Dominion crossed the roaring Atlantic and invaded mysterious America. The last anyone heard of them was five years ago, by which point they had defeated almost all of the major realms of Eastern America. Despite this success, the British have been growing concerned - the Redcoats are meant to send annual reports back to the homeland to inform them about the progress of the invasion, but no such reports have been received for five years or so. What could have happened to them? None of the investigators that have set out from Britain have returned, and it may well be that we will never know what happened to them, unless and until they decide to tell us.;;;;;;;;;x,,,,,,,,
america21A;Only the Pope should see this text!;;;;;;;;;x,,,,,,,,
america21B;We must only hope that no news is good news;;;;;;;;;x,,,,,,,,
america21C;With any luck, they've all caught some disease and died;;;;;;;;;x,,,,,,,,
america21D;And the weather report?;;;;;;;;;x,,,,,,,,
