HORDE_RETTYPE_CHRISTIAN;Knights Auxiliaries;Auxiliaires kéraïtes;Karäische Hilfstruppen;;Auxiliares keraitas;;;;;x
HORDE_RETTYPE_ZOROASTRIAN;Parthian Auxiliaries;Auxiliaires parthes;Partherrische Hilfstruppen;;Auxiliares partos;;;;;x
HORDE_RETTYPE_JEWISH;Khazarian Auxiliaries;Auxiliaires khazars;Chasarische Hilfstruppen;;Auxiliares jázaros;;;;;x
HORDE_RETTYPE_EASTERN;Khitan Auxiliaries;Auxiliaires khitans;Kitanische Hilfstruppen;;Auxiliares kitan;;;;;x

# Tribal
TRIBAL_RET_1;Tribal Warrior;Guerrier tribal;Stammeskrieger;;Guerrero tribal;;;;;;;;;x
TRIBAL_RET_2;Trapper;Trappeur;Fallensteller;;Trampero;;;;;;;;;x
TRIBAL_RET_3;Hunting Party;Chasseurs;Jagdgemeinschaft;;Partida de caza;;;;;;;;;x
TRIBAL_RET_4;Veteran Warrior;Guerrier vétéran;Veteranen Krieger;;Guerrero veterano;;;;;;;;;x
TRIBAL_RET_5;Steppe Riders;Chevaucheurs des steppes;Steppenreiter;;Jinetes de las estepas;;;;;;;;;x
TRIBAL_PIETY_RET_1;Ardent Guardians;Gardiens fervents;Fromme Wächter;;Guardianes ardientes;;;;;;;;;x
TRIBAL_PIETY_RET_2;Sworn Defenders;Fidèles défenseurs;Vereidigte Verteidiger;;Defensores juramentados;;;;;;;;;x

# Cultural

RETTYPE_CUL_ENG;Longbow;Archer long;Langbogen;;Arco Largo;;;;;;;;;x
RETTYPE_CUL_SCOT;Schiltron;Schiltron;Schiltron;;Sheltron;;;;;;;;;x
RETTYPE_CUL_SCOTTISH;Bannockburn Defenders;;;;;;;;;;;;;x
RETTYPE_CUL_BALT;Baltic Warrior;Guerrier balte;Baltische Krieger;;Guerrero báltico;;;;;;;;;x
RETTYPE_CUL_KAZAKH;Chariots of the Steppes;;;;;;;;;;;;;x
RETTYPE_CUL_FRANK_NOR_GER;Knight;Chevalier;Ritter;;Caballero;;;;;;;;;x
RETTYPE_CUL_IBER;Caballero;Caballero;Caballero;;Caballero español;;;;;;;;;x
RETTYPE_CUL_ITA;Picchiere;Picchiere;Pikeniere;;Piquero;;;;;;;;;x
RETTYPE_CUL_RUS;Druzhina;Droujiina;Druschina;;Druzhina;;;;;;;;;x
RETTYPE_CUL_NORTHGER;Housecarl;Housecarl;Huscarl;;Huscarl;;;;;;;;;x
RETTYPE_CUL_POL;Winged Hussar;Hussard;Husaren;;Húsar;;;;;;;;;x
RETTYPE_CUL_ARAB;Camel Warrior;Chamelier de combat;Kamelreiterei;;Guerrero a camello;;;;;;;;;x
RETTYPE_CUL_BYZ1;Cataphract;Cataphractaire;Kataphrakten;;Catafracto;;;;;;;;;x
RETTYPE_CUL_BYZ2;Hoplite;;;;;;;;;;;;;x
RETTYPE_CUL_BYZ3;Macedonian Phalanx;;;;;;;;;;;;;x
RETTYPE_CUL_IRISH;Gallowglass;Galloglaigh;Gallowglass;;Gallowglass;;;;;;;;;x
RETTYPE_CUL_IRISH2;Irish Infantry;;;;;;;;;;;;;x
RETTYPE_CUL_ETHIO;Ethiopian Skirmisher;Harceleur éthiopien;Äthiopische Plänkler;;Hostigador etíope;;;;;;;;;x
RETTYPE_CUL_W_AFR;Free Warrior;Guerrier libre;Krieger ohne Gefolgschaft;;Guerrero libre;;;;;;;;;x
RETTYPE_CUL_SOUTH_SLA;Gusar;Gusar;Gusaren;;Gúsar;;;;;;;;;x
RETTYPE_CUL_DUTCH;Goedendag Militia;Milice à godendart;Goedendag-Miliz;;Milicia de Goedendag;;;;;;;;;x
RETTYPE_CUL_ROMAN;Praetorian;Prétorien;Prätorianisch;;Pretoriano;;;;;;;;;x
RETTYPE_CUL_COPTIC;[coptic.GetName] Matoei;Matoei [coptic.GetName];[coptic.GetName]e Matoei;;Matoei [coptic.GetName];;;;;;;;;x
RETTYPE_CUL_ASSYRIAN;Assyrian Charioteers;;;;;;;;;;;;;x
RETTYPE_CUL_LIBERIAN;Presidential Bows;;;;;;;;;;;;;x
RETTYPE_CUL_SOMALI;[somali.GetName] Skirmishers;Tirailleurs [somali.GetName];[somali.GetName]e Plänkler;;Escaramuzadores [somali.GetName];;;;;;;;;x
RETTYPE_CUL_PRUSS;Glorious Prussian Army;;;;;;;;;;;;;x
RETTYPE_CUL_FRA;Paladins;;;;;;;;;;;;;x
RETTYPE_CUL_LOM;Armata Ducale;;;;;;;;;;;;;x
RETTYPE_CUL_OLDWELSH;Red Dragon Raiders;;;;;;;;;;;;;x
RETTYPE_CUL_BHUTANESE;Dragon Guard Retinue;;;;;;;;;x
RETTYPE_CUL_BHUTANESE_DESC;The Dragon Guard are an elite unit of Bhutanese Troops, serving as both the Dragon Emperor's Honor Guard and the Bhutanese Secret Police force.;;;;;;;;;x
RETTYPE_CUL_HAN;Nubing;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETTYPE_CUL_JURCHEN;Tie-Futu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETTYPE_CUL_TIBET;Himalayan Mountaineer;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETTYPE_CUL_SAR;[sardinian.GetName] Birrudo;Birrudo [sardinian.GetName];[sardinian.GetName]e Birrudo;;Birrudo [sardinian.GetName];;;;;x
RETTYPE_CUL_INDIAN;Steel Bow Infantry;Infanterie à arc d'acier;Stahlbogen-Infanterie;;Infantería de arco de acero;;;;;;;;;x
RETTYPE_CUL_JEWISH;Bar Kochba Guards;Gardes de bar kokhba;Garde Bar Kochba;;Guardias Bar Kochba;;;;;;;;;x
RETTYPE_CUL_OUTREMER;Outremer Knight;Chevalier d'Outremer;Ritter der Kreuzfahrerstaaten;;Caballero de Ultramar;;;;;;;;;x
RETTYPE_CUL_ARBERIAN;Arberian Stratiotet;Estradiot arbérien;Arberischer Stratiot;;Estradiote arberio;;;;;;;;;x
RETTYPE_CUL_BERBER;Berber Cavalry;Cavalerie berbère;Berber-Kavallerie;;Caballería Bereber;;;;;;;;;x
RETTYPE_CUL_SWISS;Swiss Guard;;;;;;;;;;;;;x
RETTYPE_CUL_OLDANGLO;Camelotian Knights;;;;;;;;;;;;;x
RETTYPE_CUL_BRETON;Gauls' Resistence;;;;;;;;;;;;;x
RETTYPE_CUL_BRITISH;Royal Gunmen;;;;;;;;;;;;;x
RETTYPE_CUL_WOODLANDS;Woodlands Warriors;;;;;;;;;;;;;x
RETTYPE_CUL_PIEMONTESE;Savoiard Army;;;;;;;;;;;;;x
RETTYPE_CUL_CORSU;Napoleonic Frontline;;;;;;;;;;;;;x
RETTYPE_CUL_TUSCANIAN;Granduchy's Forces;;;;;;;;;;;;;x
RETTYPE_CUL_EMILIAN;Emilian Paladins;;;;;;;;;;;;;x
RETTYPE_CUL_VENETIAN;Guards of the Serenissima;;;;;;;;;;;;;x
RETTYPE_CUL_SANMARIN;Titan Watchers;;;;;;;;;;;;;x
RETTYPE_CUL_SARD;Coast Guards;;;;;;;;;;;;;x
RETTYPE_CUL_SICILIAN;Sicilians' Defenders;;;;;;;;;;;;;x
RETTYPE_CUL_NEAPOLITAN;Neapolitan Pikemen;;;;;;;;;;;;;x
RETTYPE_CUL_MALTESE;Maltese Knights;;;;;;;;;;;;;x

# Animal World
RETTYPE_CUL_HORSE;Horse;Cheval;Pferd;;Caballo;;;;;;;;;x
RETTYPE_CUL_CAT;Fearless Feline;Félin intrépide;Furchtlose Katze;;Felino intrépido;;;;;;;;;x
RETTYPE_CUL_BEAR;Bear;Ours;Bär;;Oso;;;;;;;;;x
RETTYPE_CUL_HEDGEHOG;Quillguard;Garde-piquant;Stachelwache;;Guardia púa;;;;;;;;;x
RETTYPE_CUL_DUCK;Warduck;Canard de guerre;Kriegsente;;Pato de guerra;;;;;;;;;x
RETTYPE_CUL_DOG;Good Boy;Bon chien;Guter Junge;;Buen chico;;;;;;;;;x
RETTYPE_CUL_ELEPHANT;Elephant;Éléphant;Elephant;;Elefante;;;;;;;;;x
RETTYPE_CUL_DRAGON;Dragon;Dragon;Drache;;Dragón;;;;;;;;;x
