#Bhutanese titles
d_solovetsky;Solovetsky;;;;;;;;;;;;;x
d_solovetsky_adj;Solovetskan;;;;;;;;;;;;;x
c_solovetsky;Solovetsky;;;;;;;;;;;;;x
c_solovetsky_adj;Solovetskan;;;;;;;;;;;;;x
b_solovetsky;Solovetsky;;;;;;;;;;;;;x
b_rebalda;Rebalda;;;;;;;;;;;;;x
b_pervoupol;Pervoupol;;;;;;;;;;;;;x
b_lidrinsk;Lidrinsk;;;;;;;;;;;;;x
b_mazyl;Mazyl;;;;;;;;;;;;;x
b_novoriysk;Novoriysk;;;;;;;;;;;;;x
b_ulapyevsk;Ulapyevsk;;;;;;;;;;;;;x
b_zeleshikha;Zeleshikha;;;;;;;;;;;;;x
c_lanzarote;Lanzarote;;;;;;;;;;;;;x
c_lanzarote_adj;lanzarotean;;;;;;;;;;;;;x
b_arrecife;Arrecife;;;;;;;;;;;;;x
b_puerto_del_carmen;Puerto del Carmen;;;;;;;;;;;;;x
b_playa_blanca;Playa Blanca;;;;;;;;;;;;;x
b_la_santa;la Santa;;;;;;;;;;;;;x
b_caleta_de_famara;Caleta de Famara;;;;;;;;;;;;;x
b_teguise;Teguise;;;;;;;;;;;;;x
b_mozaga;Mozaga;;;;;;;;;;;;;x
c_gran_canaria;Gran Canaria;;;;;;;;;;;;;x
c_gran_canaria_adj;Gran Canarian;;;;;;;;;;;;;x
b_telde;Telde;;;;;;;;;;;;;x
b_las_palmas;Las Palmas;;;;;;;;;;;;;x
b_vecindario;Vecindario;;;;;;;;;;;;;x
b_maspalomas;Maspalomas;;;;;;;;;;;;;x
b_mogan;Mogan;;;;;;;;;;;;;x
b_teror;Teror;;;;;;;;;;;;;x
b_agaete;Agaeta;;;;;;;;;;;;;x
c_fuerteventura;Fuerteventura;;;;;;;;;;;;;x
c_fuerteventura_adj;Fuerteventuran;;;;;;;;;;;;;x
b_puerto_del_rosario;Puerto del Rosario;;;;;;;;;;;;;x
b_tuineje;Tuineje;;;;;;;;;;;;;x
b_gran_tarajal;gran Tarajal;;;;;;;;;;;;;x
b_tarajalejo;Tarajalejo;;;;;;;;;;;;;x
b_corralejo;Corralejo;;;;;;;;;;;;;x
b_el_cotillo;El Cotillo;;;;;;;;;;;;;x
b_antigua;Antigua;;;;;;;;;;;;;x
canarian;Canario;;;;;;;;;;;;;x
#Oligarchy Titles
oligarchic_republic_baron;Mayor;;;;;;;;;;;;;x
oligarchic_republic_baron_female;Mayoress;;;;;;;;;;;;;x
oligarchic_republic_count;Mayor;;;;;;;;;;;;;x
oligarchic_republic_count_female;Mayoress;;;;;;;;;;;;;x
oligarchic_republic_duke;Archon;;;;;;;;;;;;;x
oligarchic_republic_duke_female;Archon;;;;;;;;;;;;;x
oligarchic_republic_king;Premier;;;;;;;;;;;;;x
oligarchic_republic_king_female;Premier;;;;;;;;;;;;;x
oligarchic_republic_barony_of;City of;;;;;;;;;;;;;x
oligarchic_republic_county_of;City State of;;;;;;;;;;;;;x
oligarchic_republic_duchy_of;Grandiose City State of;;;;;;;;;;;;;x
oligarchic_republic_kingdom_of;League of;;;;;;;;;;;;;x
DRUKCAPTAIN;Wyvern Commander;;;;;;;;;;;;;x
DRUKCAPTAIN_FOA;Commander;;;;;;;;;;;;;x
DRUKCAPTAIN_FEMALE;Wyvern Commandess;;;;;;;;;;;;;x
EVTNAME_AOTG_1;The Legatian Guard;;;;;;;;;x
EVTDESC_AOTG_1;The Hellenes from south of the Black Sea have proven themselves to be formidable warriors. You have managed to recruit a great many of their number into a personal guard loyal only to the [Root.GetTitle].\n\nThis new Legatian Guard will not only form a powerful shock force against the Empire's many enemies, but their foreign roots should also preclude them from becoming too entangled in the palace intrigue and power struggles that are so commonplace in [Root.Capital.GetName].;;;;;;;;;;x
EVTOPTA_AOTG_1;They shall serve me well.;;;;;;;;;;x
EVTNAME_AOTG_11;[From.GetFirstName], the great king of the Transnistrians, is distraught over the poor mettle of his countrymen. Knowing well our skill in battle, he has decided to form a bodyguard consisting solely of Hellenic warriors.\n\nThose who serve him in the great city of Megapoli are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for Transnistria to pick up his banner.;;;;;;;;;;;x
EVTOPTA_AOTG_11;May they find the excitement they yearn.;;;;;;;;;;x
EVTDESC_AOTG_11_A;[From.GetFirstName], the great [From.GetKingQueen] of the Transnistrians, is distraught over the poor mettle of [From.GetHerHis] countrymen. Knowing well our skill in battle, [From.GetSheHe] has decided to form a bodyguard consisting solely of Hellenic warriors.\n\nThose who serve [From.GetHerHim] in the great city of Megapoli are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for Transnistria to pick up [From.GetHerHis] banner.;;;;;;;;;;;x
EVTDESC_AOTG_11_B;[From.GetFirstName], the great [From.GetKingQueen] of the Transnistrians, is distraught over the poor mettle of [From.GetHerHis] countrymen. Knowing well our skill in battle, [From.GetSheHe] has decided to form a bodyguard consisting solely of Hellenic warriors.\n\nThose who serve [From.GetHerHim] in the great city of Megapoli are generously rewarded, and even now many of our young men and women, eager for riches and adventure, have departed for Transnistria to pick up [From.GetHerHis] banner.;;;;;;;;;;;x
EVTDESC_AOTG_11_C;[From.GetFirstName], the great [From.GetKingQueen] of the Transnistrians, is distraught over the poor mettle of [From.GetHerHis] countrymen. Knowing well our skill in battle, [From.GetSheHe] has decided to form a bodyguard consisting solely of Hellenic warriors.\n\nThose who serve [From.GetHerHim] in the great city of Megapoli are generously rewarded, and even now many of our young women, eager for riches and adventure, have departed for Transnistria to pick up [From.GetHerHis] banner.;;;;;;;;;;;x
legatian;Legatian;;;;;;;;;;x
legatian_desc;This person is a member of the Legatian Guard, protectors of the transnistrian emperors and known as skilled warriors throughout europe.;;;;;;;;;;x
drukian;Drukian;;;;;;;;;;x
drukian_desc;This person is a member of the Drukian Guard, protectors of the Thunder Dragon and known as skilled warriors throughout the east.;;;;;;;;;;x
d_druk_guard;The Drukian Guard;;;;;;;;;;x
d_druk_guard_adj;Drukian;;;;;;;;;;x
d_legata_guard;the Legatian Guard;;;;;;;;;;x
d_legata_guard_adj;Legatian;;;;;;;;;;x
organize_legata_guard;Form the Legatian Guard;;;;;;;;;;x
organize_legata_guard_desc;We will gather as many hellenic warriors as possible and organise them into a Guard to protect the emperor;;;;;;;;;;x
promoted_drukian_TT;A Drukian arrives at the court of the emperor to serve.;;;;;;;;;;;x
employ_drukian;Promote a Drukian to Commandership;;;;;;;;;;x
employ_drukian_desc;Promote a talented member of the imperial guard to commandership;;;;;;;;;;;x
