EVTTITLE_ATEOW_realm_event_99999;Zapadoslavia;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99999;Legends say that at one time all Slavs where united as brothers, but the great disaster that befell our world tore us apart. Yugoslavia showed that hope of reunification was not lost, and like the Southern Slavs it was only a matter of time until the Western Slavs would find common ground and reunite.\n\nIt was [e_zapadoslavia.Holder.GetFirstNameWithNick] who finally brought the Western Slavs together under the banner of Zapadoslavia. Throughout the new realm, Poles, Czechs and Slovaks celebrate this momentous occasion.;;;;;;;;;x,,,,
EVTDESC_ATEOW_realm_event.99995;As the Holy Texts testify, Lord Stalin is and always has been the one true Tzar of Russia. But sadly, one day He Disappeared, and the princes squabbled over the crown until Russia was no more. The faithful were persecuted for refusing to bow to another Tzar, until they were driven underground. There they hid, awaiting the day of vindication. And that day has now come, as under the leadership of [e_cccp.Holder.GetFirstNameWithNick], the faith of Lord Stalin reigns over Russia again!;;;;;;;;;x,,,,,,,,
EVTOPTA_ATEOW_realm_event.99995;The Red Bear rises.;;;;;;;;;x,,,,,,,,
,,,,,,,,
form_romaraj;Become the King of Gypsies;;;;;;;;;x,,,,,,,,
form_romaraj_tt;§Y[Root.GetBestName]§! becomes the §YKing of Gypsies§!;;;;;;;;;x,,,,,,,,
form_romaraj_desc;It is said that a long time ago all Romani people were all united under a King of All Gypsies. Perhaps a powerful enough Romani leader can claim that title for himself again.;;;;;;;;;x,,,,,,,,
,,,,,,,,
stalin.1.d;My master, [From.GetTitledFirstName],has trumped up some scandalous lies claiming to prove that you are an unfaithful traitor!;;;;;;;;;x,,,,,,
EVTOPTA_stalin1;This can't be good...;;;;;;;;;x,,,,,,,,
,,,,,,,,
stalin.2.d;We have found convincing proof that your subject,[From.GetTitledFirstName],is a traitor in league with the enemies of Lord Stalin!;;;;;;;;;x,,,,,,
EVTOPTA_stalin2;I never trusted them in the first place;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.1.d;The Pope in Rome has called for a great Crusade, a massive armed struggle by the whole Catholic world against the infidels. Though you have been brought up to believe that the Roman Pope was a false pretender to the title, you start to wonder if the differences between your two faiths really matter in the face of the obviously greater threat of paganism and heresy plaguing the continent. Perhaps you should help these Crusaders? The Pope in Palmar won't like it, though?;;;;;;;;;x,,,,,
EVTOPTA_palmarian.1;I will help my Christian brothers!;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.1;Let the schismatics fight their own wars;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.2.d;While you've been riding with the train of knights in the Crusade, you've drawn the odd stares of many of the Crusaders. Clearly your Hispanic complexion and accent have drawn their suspicion. Eventually, a burly, heavyset Italian confronts you and asks what a Palmarian is doing in the train of the warriors of God. The crowd is getting restless, and it seems that they'll demand your expulsion soon...;;;;;;;;;x,,,,
EVTOPTA_palmarian.2;Beg them to let you stay;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.2;Prove your worth to them with a show of martial skill;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.2;Convince them that they're better off with you than without you;;;;;;;;;x,,,,,,,,
EVTOPTD_palmarian.2;Lie and tell them you're not a Palmarian;;;;;;;;;x,,,,,,,,
EVTOPTE_palmarian.2;Storm off and leave the Crusade altogether;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.3.d;During your time on Crusade, you have come by necessity to have strong relationships with many of the knights, and have grown fond of several of them. Sometimes, they talk to you about religion, and you have to face the tough question of why the Palmarian Church even exists at all. Were the visions of one seer really sufficient grounds to split with Rome? And besides that, some of the people here have left everything behind, or at least lost vast sums of money, purely for the privelige of taking part in the Holy War. Certainly you rarely saw this kind of ardor in Spain. Could it be that the Roman Church trul yis the real Catholic Church after all?;;;;;;;;;x,
EVTOPTA_palmarian.3;God has revealed the truth to me!;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.3;I believe - but I cannot admit it, I would lose my status.;;;;;;;;;x,,,,,,,
EVTOPTC_palmarian.3;They are pleasant friends, but that doesn't make them right.;;;;;;;;;x,,,,,,,
EVTOPTD_palmarian.3;Gloria In Excelsis Deo;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.4.d;You have received an angry letter from your local bishop back in Spain. In it, he curses you for running off to aid the schismatic Church and warns you that you are playing dangerous games with your soul if you continue to struggle in the service of the False Faith. He urges you to return to Spain immediately.;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.4;Tell him bluntly to shut up;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.4;Set off for home immediately - I'm jeopardising my standing too much;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.4;Lie and convince him that you are not actually on Crusade, just out of the Kingdom for other reasons;;;;;;;;;x,,,,,,,
EVTOPTD_palmarian.4;Provide him with a theological rationale for why your actions are justifiable;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.5.d;To your surprise,your group has discovered a small family of Palmarians living in an isolated village near the Crusade target. The more vulgar members of your troop, eager to sate their appetite for cruelty, have smashed up much of their property and taunted them for being schismatics. Your heart burns to see such shameful behavior between Christians - aren't we supposed to be fighting the same enemy? But the others will be angry if you interrupt their 'fun'...;;;;;;;;;x,,,,,
EVTOPTA_palmarian.5;Recompense the family for their loss;;;;;;;;;x,,,,,,,,
EVTOPTB_palmarian.5;There's nothing I can do;;;;;;;;;x,,,,,,,,
EVTOPTC_palmarian.5;Looks like fun! Let me join!;;;;;;;;;x,,,,,,,,
EVTOPTD_palmarian.5;We're here to fight FOR Christians, not against them!;;;;;;;;;x,,,,,,,
EVTOPTE_palmarian.5;Reprimand them publically for their cruelty;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.6.d;A brave soldier has distinguished himself during the Crusade, and has presented himself to you. He claims to be from a relatively poor family and, seeing that you come from a noble house, thinks it'd be better to join you and serve at your court when the Crusade is over.;;;;;;;;;x,,,,,
EVTOPTA_palmarian.6;There's no such thing as too many good men!;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.7.d;You have taken part in an assault that captured an important fortification! You have been showered in glory, and the knights are all hailing you as a true crusader!;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.7;Deus Vult!;;;;;;;;;x,,,,,,,,
,,,,,,,,
palmarian.8.d;With the end of the Crusade, the bands of knights depart. You have no choice but to return home.;;;;;;;;;x,,,,,,,
EVTOPTA_palmarian.8;Pleasant or not, it certainly was unforgettable.;;;;;;;;;x,,,,,,,
,,,,,,,,
EVTNAMEINVADERS1;Wars and Rumours of Wars;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS1;Troubling rumours have been coming west in recent years, speaking of two great empires in the far east which are finally gearing up to settle their centuries-long grievance with each other. The rumours speak of these two realms as 'China' and 'Sibera', and claim that the two have been constantly feuding for hundreds of years. Whatever the result of this war, it will likely result in complete destruction for the loser.;;;;;;;;;x,,,,,
EVTOPTA_INVADERS1;No concern of ours.;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS1;I bet that Siberia will lose and be forced to come here.;;;;;;;;;x,,,,,,,,
EVTOPTC_INVADERS1;I bet that China will lose and be forced to come here.;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTNAMEINVADERS2;The Cold Wind of the East;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS2;It seems that the Great War in the East is finally over, and the Chinese stand victorious. The Siberian Empire has been utterly crushed. Even now Chinese Governors establish military outposts in the snowy lands of Siberia, and tribute caravans laden with ivory and rare woods make their way to the Imperial City. While many Siberians remain in their homeland and acclimatise to foreign rule, a large group of the Siberian nobility, army, and peasants have chosen to migrate to the West to escape the wrath of China. Though reduced in size since their defeat, this force is still very large, with a hard core of professional soldiers reinforced by refugees and desperate men trying to find new lives for themselves and their families. Though only a remnant of its former greatness, this Empire-in-Exile could easily prove a grave threat to its neighbors.;;;;;;;;;x
EVTOPTA_INVADERS2;And these are the ones who *lost* the war?!;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS2;Leading a nation to a new home, legends would sing my name...;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTNAMEINVADERS5;Wings of the Dragon;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS5;It seems that the Great War in the East is finally over, and the Siberians stand victorious. The Great Empire of China has been shattered, and now a Siberian sits upon the Dragon Throne, having declared himself the founder of a new Dynasty and possessor of the Mandate of Heaven. As he prepares his armies for the decades-long task of pacifying the countryside and consolidating his rule, large sections of the defeated Chinese army, nobility and peasantry have chosen to migrate to the West to escape the chaos that is sure to result. Though reduced in size since their defeat, this force is still very large, with a hard core of professional soldiers reinforced by refugees and desperate men trying to find new lives for themselves and their families. Though only a remnant of its former greatness, this Empire-in-Exile could easily prove a grave threat to its neighbors.;;;;;;;;;x
,,,,,,,,
EVTNAMEINVADERS6;Massive Settlement;;;;;;;;;x,,,,,,,,
EVTDESCINVADERS6;Having established a new ream for themselves in the West, [Root.GetTitledName] has decided to settle many of those who fled in their new lands. Already a wide-scale building campaign is working to provide housing and settlements for the newcomers to live in, fuelled primarily by grants of land taken from the natives.;;;;;;;;;x,,,,,,
EVTOPTA_INVADERS6;Excellent;;;;;;;;;x,,,,,,,,
EVTOPTB_INVADERS6;Interesting;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTDESCINVADERS7;Large swathes of our migrating population has decided to settle down in [Root.GetName], massively expanding its infrastructure as well as displacing the rebellious native population.;;;;;;;;;x,,,,,,,
EVTOPTA_INVADERS7;Excellent;;;;;;;;;x,,,,,,,,
,,,,,,,,
bharatva1Desc;Though there have always been warriors dedicated to fighting for the Bharatva faith, so far they have been isolated and scattered, unable to coordinate their efforts beyond their local areas. Now, a group of powerful rulers have come together to provide extensive financial support for an order of holy warriors dedicated to defending the Bhartva faith from all its enemies. These warriors have called themselves the Shiv Sena, and have sworn not to fight fellow followers of the religion of Bharat.;;;;;;;;;x,,,,
bharatva1Title;The Shiv Sena;;;;;;;;;x,,,,,,,,
EVTOPTA_bharatva1;Jai Hind!;;;;;;;;;x,,,,,,,,
EVTOPTB_bharatva1;Those antiquarian murderers!;;;;;;;;;x,,,,,,,,
EVTOPTC_bharatva1;May Allah destroy those violent heathens!;;;;;;;;;x,,,,,,,,
EVTOPTD_bharatva1;The Bharatvists are organising? That could be dangerous...;;;;;;;;;x,,,,,,,,
EVTOPTE_bharatva1;Who?;;;;;;;;;x,,,,,,,,
,,,,,,,,
bharatva2Title;The Shiv Sena;;;;;;;;;x,,,,,,,,
bharatva2Desc;The Bharatva religion has always been combatative, dedicated to expelling heathens and adharma from the holy land of India. However, they have recently suffered many defeats and setbacks, which has greatly worried many of the faithful. [From.GetTitledName] has heard these worries, and has decreed the formation of a new order for the defense of India. This new holy order, the Shiv Sena, is to be a band of warriors devoted to the defense of the Bharatva religion, and is not to fight coreligionists under any circumstances. The Shiv Sena will surely be a prominent force in the religious wars of India from now on.;;;;;;;;;x,
,,,,,,,,
bharatva3Title;Rise of Bharat;;;;;;;;;x,,,,,,,,
bharatva3Desc;For centuries, India has been splintered, and indeed can hardly be called a realm in any but the loosest possible sense. However, [From.GetTitledName] has reversed centuries of decline and turned it back, winning glorious battles and unifying all of India beneath one banner. Now, the great Empire of Bharat is unified once again, and the holy land of India is safe from foreign invaders.;;;;;;;;;x,,
,,,,,,,,
bharatva4Title;The Dharmayudda;;;;;;;;;x,,,,,,,,
bharatva4Desc;Though the Bharatva religion has always advocated for holy struggle to liberate India from foreign religion and wickedness, their efforts have hardly ever been united, and they have spent nearly as much time fighting each other as fighting heathens. The Mahapandit has declared that this has gone on too long. In a fiery speech given before a crowd of thousands, he has declared that all faithful Hindus should unite against the infidels, and strive together to reclaim the sacred land. This marks the beginning of a new era of Hindu holy wars - the Dharmayuddas.;;;;;;;;;x,,,,
,,,,,,,,
jain1Desc;A group of Jain missionaries from the Neeraji Order have shown up in [Root.GetName], and have begun preaching to the people. Their words seem to have swayed a fair few people to adopt their pacifistic ways, and they are asking for permission to establish a permanent settlement and monastic community among our people.;;;;;;;;;x,,,,,,
EVTOPTA_jain1;Drive them out of here! We don't want their nonsense!;;;;;;;;;x,,,,,,,,
EVTOPTB_jain1;They can stay, but keep an eye on them.;;;;;;;;;x,,,,,,,
EVTOPTC_jain1;Encourage them to stay with a healthy donation.;;;;;;;;;x,,,,,,,,
EVTOPTD_jain1;Their words speak to me - I will join the Jina.;;;;;;;;;x,,,,,,,,
,,,,,,,,
jain2Desc;Greetings [Root.GetTitle]. The Neerajis are dedicated to spreading the thought of the Tirtharkanas throughout the world, and we have located a place we consider ripe to receive the truth. We have decided to entrust you with the responsibiltiy for carrying out this mission.;;;;;;;;;x,,,,,,,
,,,,,,,,
EVTTITLE_JAIN8;The Mission Begins;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN8;The day has finally come for you to begin your mission. With the blessing of the Tirtharkanas, you will be able to affect some change among the population.;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN8;May it be so;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN9;The Scorn of the Ignorant;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN9;The local ruler has been thoroughly intolerant of your preaching, and has forcibly driven you out of their realm.;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN9;The karma of this deed will rebound upon them.;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN10;Success;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN10;Thankfully, the people have listened to your words, and you have been able to establish a small monastic community. The people have flocked to hear your words and those of your fellow monks, and the Jina has been substantially expanded.;;;;;;;;;x,,,,,
EVTOPTA_JAIN10;Excellent;;;;;;;;;x,,,,,,,,
,,,,,,,,
EVTTITLE_JAIN12;Enlightenment Advances;;;;;;;;;x,,,,,,,,
EVTDESC_JAIN12;Great news! Not only have you managed to convert the majority of the population and establish a Neeraji Monastery, even the ruler whose realm you entered has converted!;;;;;;;;;x,,,,,,,
EVTOPTA_JAIN12;A glorious day;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.11.title;The White Elephant Comes;;;;;;;;;x,,,,,,,,
col.11.text;Troubling news has reached us from the distant East - there come reports that large ships, overflowing with strange warriors and troupes of war elephants, have come from the land beyond the eastern Jungles. They speak a strange language, and cannot, it seems, be reasoned with. They come to conquer in the name of their King, and they will not stop until his rule is established over all the lands of the West.;;;;;;;;;x,,,,,,,
col.11.optA;Troubling times...;;;;;;;;;x,,,,,,,,
col.11.optB;For the King!;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.12.title;Colony Established;;;;;;;;;x,,,,,,,,
col.12.text;The armies of Siam have forced open the borders of India. The Territory of New Siam has been established, and is in the process of being integrated into the Greater Siamese Empire. Only time will tell if they will be content to stop here, or if they intend to expand further.;;;;;;;;;x,,,,,,,
col.12.optA;This doesn't sound good...;;;;;;;;;x,,,,,,,,
col.12.optB;For the King!;;;;;;;;;x,,,,,,,,
,,,,,,,,
col.13.title;Invasion Repelled;;;;;;;;;x,,,,,,,,
col.13.text;The armies of Siam have been defeated. This setback will prevent any further Siamese attempts at colonialism in the near future, and may sour them entirely on the idea permanently.;;;;;;;;;x,,,,,,,
col.13.optA;Serves them right!;;;;;;;;;x,,,,,,,,
col.13.optB;Oh no!;;;;;;;;;x,,,,,,,,

america1Title;The Redcoats Assemble;;;;;;;;;x,,,,,,,,
america1Desc;Everyone has heard the legends of the great British Empire, and of the glory that was hers long ago, before the world broke. But of all the lands of the Crown that were lost, the fabled "America" has always been foremost in the minds of the British. Myths tell of the expulsion of The Queen's forces from America by the demon Washington, and though Her Majesty's forces recovered from this defeat, they never reclaimed those far lands. With Imperial power waxing once more, the lords of Britannia have decided to prove themselves by doing what even their antediluvian ancestors could not - search for the land of America, and if it still exists, conquer it. The Redcoats have been assembled, and given massive amounts of manpower and money to undertake this task, one they have happily accepted.;;;;;;;;;x,,,,,,,,
america1A;It won't be long now until they're on their way;;;;;;;;;x,,,,,,,,
america1B;Those Anglos are up to something...;;;;;;;;;x,,,,,,,,
america1C;This is our concern how?;;;;;;;;;x,,,,,,,,

america2Title;The Redcoats Embark;;;;;;;;;x,,,,,,,,
america2Desc;Having spent the last year gathering soldiers and preparing ships and supplies, the Redcoats are finally ready to embark on their voyage to America. The first ships left port this morning, following ancient mariners' charts, and hope to report back within a few years.;;;;;;;;;x,,,,,,,,
america2A;We wish them a safe and speedy voyage;;;;;;;;;x,,,,,,,,
america2B;May they drown on the way;;;;;;;;;x,,,,,,,, 
america2C;Who?;;;;;;;;;x,,,,,,,,

america3Title;Fall of The Yankees;;;;;;;;;x,,,,,,,,
america3Desc;Word comes from the West! The Redcoats have landed in the place called 'New England', its name a clear sign that it was the heart of the old America. There, they have found but a squabbling bunch of barbarians, speaking strange dialects and worshipping stranger gods. They have subjugated them, and brought them back under the Crown's dominion. Though the Yan-Kees fought back, resistance was less than expected. Perhaps the reconquest of America is not such a far-fetched dream after all?;;;;;;;;;x,,,,,,,,
america3A;Rule Britannia!
america3B;The Eternal Anglo strikes again;;;;;;;;;x,,,,,,,,
america3C;This is not our business;;;;;;;;;x,,,,,,,,
america3D;Excellent. Order them to retake ancient Canada;;;;;;;;;x,,,,,,,,
america3E;Excellent. Order them to focus on retaking the Thirteen Colonies;;;;;;;;;x,,,,,,,,

america4Title;The Crawling Chaos;;;;;;;;;x,,,,,,,,
america4Desc;Word comes from the West! The Redcoats arrived in America several months ago, but to their great surprise, they discovered that the holy land of New England was held by an enormous kingdom, stretching for hundreds of miles in every direction. The ruler of this realm, worshipped as gods by their subjects, have rallied their warriors, and the Redcoat forces have been shattered. In disarray, they have been utterly wiped out.;;;;;;;;;x,,,,,,,,
america4A;What a disaster!;;;;;;;;;x,,,,,,,,
america4B;Ha! Serves them right!;;;;;;;;;x,,,,,,,,
america4C;And the weather report?;;;;;;;;;x,,,,,,,,

america5Title;Reinforcements;;;;;;;;;x,,,,,,,,
america5Desc;The messengers who recently told us of the Redcoats' victories across the sea have also carried an appeal directly from the Lord-Admiral. It claims that, though their soldiers have fought bravely and victory was achieved, it was not achieved without substantial cost. America is obviously far more heavily populated than we had anticipated, and the Redcoats' arrival is sure to unite the troublesome colonials together in opposition to them. The Lord-Admiral therefore pleads for more supplies and soldiers to be sent to their new capital in Boston, warning that without reinforcements, future victory remains uncertain.;;;;;;;;;x,,,,,,,,
america5A;They shall have it. Load the ships!;;;;;;;;;x,,,,,,,,
america5B;They are just greedy cowards. What they have already is quite sufficient;;;;;;;;;x,,,,,,,,
america5C;You shouldn't tag over to e_redcoats, you know! This option is only for the AI, silly!;;;;;;;;;x,,,,,,,,

america6Title;The Burning of Washington;;;;;;;;;x,,,,,,,,
america6Desc;In the months since the conquest of New England, Redcoat scouts have had extensive contact with the strange statue-worshippers known as "Americanists". Fighting between these small kingdoms and the Redcoats has been particularly fierce, as both sides regard each other as not merely enemies, but devils in the flesh of men, and the fighting has been reported as shockingly brutal, with no quarter given on either side. Reports indicate that the fighting finally subsided about two months ago, with Redcoat forces occupying the city of Washington, razing many buildings and burning the Sacred Capitol of the Americans. The city has since been renamed to Queenstown, while the Redcoats prepare for their next attack.;;;;;;;;;x,,,,,,,,
america6A;The ancient slight is avenged;;;;;;;;;x,,,,,,,,
thelemaresponse;Rule Britannia!;;;;;;;;;x,,,,,,,,

america7Title;A Disastrous Repeat;;;;;;;;;x,,,,,,,,
america7Desc;News comes from the West! A bedraggled messenger arrived in London recently, his ship nearly in tatters and his crew all dead. What he had to say chilled the British to the bone. Apparently, the Redcoats had discovered that the worshippers of Washington still lived in America, and had made war upon them, but by some devilish magic had been defeated! His report was scattered and unclear, he seemed unsure whether to blame the Lord-Admiral's incompetence, the rebellious colonials, American sorcery, or all three. What we do know is that the Redcoat army was ambushed crossing the Delmarva River by someone only referred to as "President Armstrong" - presumably the American leader. Whatever the case, the Redcoats have been destroyed, and will not be returning.;;;;;;;;;x,,,,,,,,
america7A;Give me back my legions!;;;;;;;;;x,,,,,,,,
thelemaresponseBad;That...isn't good. At all;;;;;;;;;x,,,,,,,,

america8Title;O'er the Hills and Far Away;;;;;;;;;x,,,,,,,,
america8Desc;After conquering the Americanists, the Redcoats have turned their attention to the mountainous region known as the Appalachians. The area is notoriously difficult to traverse, and rumour has it that the tribes of the region were forming a great Confederation to oppose Britain. However, the Lord-Admiral's forces managed to kill the leaders of several prominent tribes in a pivotal battle, ultimately causing the dissolution of the Confederation. Victory in the region is now inevitable, though it may take years to finally subjugate every isolated mountain hold and tribe.;;;;;;;;;x,,,,,,,,
america8A;Remind me to build some proper roads in that country when this is over.;;;;;;;;;x,,,,,,,,

america9Title;Lost and Confused;;;;;;;;;x,,,,,,,,
america9Desc;After burning Washington, the Redcoats turned their attention to the mountainous Appalachians. Word had spread that a Confederation of Tribes was forming among these mountains to oppose the Redcoats, and their army was sent forth to crush it before it could form fully. Apparently, something has gone terribly wrong, and it seems that the Appalachians were able to wear down and destroy the Redcoats in those damnable mountains. The last communication anyone received warned that subjugated Americans were rebelling all over the East Coast, while Appalachian warriors surged down from the Hills...;;;;;;;;;x,,,,,,,,
america9A;Are we sure these men aren't Scottish?;;;;;;;;;x,,,,,,,,

america10Title;Marching Through Georgia;;;;;;;;;x,,,,,,,,
america10Desc;The Redcoats have reported their most convincing victory yet, against a huge empire calling itself the "Holy Columbian Confederacy". These ridiculous people pride themselves on their heavy cavalry, and the Lord-Admiral's letter admits that their serried ranks of knights were an intimidating opponent, but his Handgoners were able to dramatically reduce the effectiveness of their heavy armor. In a series of devastating pitched battles, the Confederate forces were defeated, and the Southrons have been forced to capitulate. The Lord-Admiral has marched through Atlanta, reportedly receiving the crown of the HCC from the Emperor himself. With this victory, the British have subjugated nearly all the major realms in Eastern America, and can rightly consider themselves Lords of America.;;;;;;;;;x,,,,,,,,
america10A;A Triumph! America is ours once more;;;;;;;;;x,,,,,,,,

america11Title;Spears of the South;;;;;;;;;x,,,,,,,,
america11Desc;Shortly after the conquest of Appalachia, the forces of the Redcoats were met by an ambassador from the "Holy Columbian Confederacy". Before the Lord-Admiral had a chance to replenish his forces, hordes of Southron knights charged northwards, embarking on a lightning campaign that destroyed the Redcoats' tentative control over the American East Coast. With their military destroyed, the Americans revolted against British rule, with the Southrons assuming de facto leadership over the subjugated regions. Armies of knights dissuaded anyone who desired independence from both realms, and now the Emperor has achieved his long-sought-after goal of becoming ruler of all the heartland of Old America.;;;;;;;;;x,,,,,,,,
america11A;What? No! This can't be happening!;;;;;;;;;x,,,,,,,,

america12Title;Hudson Bay Retaken;;;;;;;;;x,,,,,,,,
america12Desc;The Redcoats have marched north from New England, into the cold expanses of Canada. Their first target has been the Hudson River region, for its bountiful farmlands and crucial position as a shipping lane. Surviving British records say little about the people of this region. Seeing the presence of churches in the region, they presumed them to be Christians, but quite unlike most Christians they proved warlike in the extreme, haranguing the invaders with brutal and swift raids. Despite this, the Redcoat armies were able to subjugate their cities and force them to capitulate.;;;;;;;;;x,,,,,,,,
america12A;It seems a lot has changed while we were away;;;;;;;;;x,,,,,,,,

america13Title;Hudsonia The Free;;;;;;;;;x,,,,,,,,
america13Desc;News comes from the West! The Redcoats, having subjugated New England, had turned their attention to the Northern regions of America, hoping to take the Hudson River region. However, this region was controlled by a single great realm - the Hudsonian Empire, whose people are famous throughout the continent for their savagery. Harrassed at every angle by raiding parties, the British armies were eventually worn down and destroyed, before the victorious Hudsonians overran New England. Who knows what they may be planning now...;;;;;;;;;x,,,,,,,,
america13A;I never thought Canadians could be so fierce!;;;;;;;;;x,,,,,,,,

america14Title;Ontario Retaken;;;;;;;;;x,,,,,,,,
america14Desc;After their conquest of the Hudson, the Redcoats moved on toward the largest city of Old Canada - Ontario. To their surprise and some dismay, they discovered that the Church of England, that antiquarian Christian church highly deplored in seminal Thelemic literature, still held sway in this remote part of the world. The Queen's faithful soldiers took great pleasure in overrunning the Canadian cities and destroying their Cathedrals.;;;;;;;;;x,,,,,,,,
america14A;Though you could escape over the sea? Ha!;;;;;;;;;x,,,,,,,,

america15Title;I Vow To Thee, My Country;;;;;;;;;x,,,,,,,,
america15Desc;After taking the Hudson Region, the Redcoats turned to Ontario, confident of their victory. What they did not know, however, was that a trap had been laid for them. The great Kingdom of Ontario has in recent decades succeeded in unifying much of the lands of old Canada and the Great Lakes region, and was watching the Redcoats' invasion with grave concern. Following deliberately-planted false information, the Redcoat General led his forces into an ambush, where the combined armies of the Canadians managed to surround and rout them. With the loss of their army, the Redcoats' grip on America is slipping, as rebellions break out across the continent...;;;;;;;;;x,,,,,,,,
america15A;Those damned Canadians!;;;;;;;;;x,,,,,,,,

america16Title;The Dissolution of the Nunneries;;;;;;;;;x,,,,,,,,
america16Desc;After the fall of Ontario, only one major obstacle remained to the Redcoats' conquest of Canada - old Québec, that land famous in myth and legend for its stubbornness. Legend has it that the French had owned that land long ago, and as the Frenchman had ever opposed the Queen's light, so the Quebecois resisted her ten times harder. Indeed, they must be French, for no man but a Frenchman would be mad enough to be ruled by mortal women, as these ones apparently do. Though their supply lines were stretched and their forces spread thin by the long campaign in frigid weather, the Redcoats have reported that they have captured Quebec and destroyed the Abbeys and nunneries of the region.;;;;;;;;;x,,,,,,,,
america16A;Must we fight the French on every continent?;;;;;;;;;x,,,,,,,,

