guillotine_master_1;Montagnard;;;;;;;x,,,
guillotine_master_1_desc;This character always tries to do the work which Montagnards did before the Event.;;;;;;;x,,,
guillotine_master_2;Robespierrist;;;;;;;x,,,
guillotine_master_2_desc;This character is one of the most zealous followers of the Prophet, and acts like him in the most pious ways possible.;;;;;;;x,,
orthodox_athos;Saint Mount Athos;;;;;;;;x,,,
orthodox_athos_desc;Mountain of Athos was one of the largest hubs of orthodox religious activity for as long as orthodox faith itself existed. Only after the event thought it became revered as being a saint itself. Needless to say that it's cult is frowned upon by mainstream Orthodoxy.;;;;;;;;x,,,
orthodox_andrian;Saint Andriana;;;;;;;;x,,,
orthodox_andrian_desc;St. Andriana was the creator and first ruler of Transnistrian Empire, who re-established Ecumenical Patriarchate, bringing an end to the lack of central authority orthodox faithful had felt for centuries. As such she is regarded as a Patron Saint of feudal lords and authority figures overall.;;;;;;;;x,,,
orthodox_giorgi;Saint George;;;;;;;;x,,,
orthodox_giorgi_desc;St. George, or 'Giorgi', as most faithful call him, is believed to be a Paladin and slayer of unholy beasts in times of ancient Byzantium. Though details of his life vary from telling to telling, his status as a patron for holy warriors prevails.;;;;;;;;x,,,
orthodox_mykola;Saint Nicholas;;;;;;;;x,,,
orthodox_mykola_desc;Nicholas the Wonderworker, or 'Sviatyi Mykola', as he is referred to by most of his followers, was an orthodox bishop, presumed to have been living somewhere around Ukrainian Carpathian Mountains in ancient times of the Rus. In his workshop he made gifts for peasant children, and he prayed for the others, causing miraculous healings.;;;;;;;;x,,,
orthodox_vasiliy;Basil the Blessed;;;;;;;;x,,,
orthodox_vasiliy_desc;Vasiliy Blazhenny was a Russian peasant, who abandoned all of his wordly possessions and became a Holy Fool, wondering and pious ascetic, who deliberately acts insane to conceal perfection of their soul from the world, and thus avoid praise. It is not uncommon for his most devoted adherents to repeat his feat.;;;;;;;;x,,,
iconophagos;Iconophage;;;;;;;;x,,,
iconophagos_desc;'If icons do in fact contain holy spirit, then by eating them I will obtain a part of it for myself!'-[This.GetBestName];;;;;;;;x,,,
nileway;Nileway;;;;;;;;;;;;;x;
westway;Westway;;;;;;;;;;;;;x;
trans_siberian_trade_route;Trans-Siberian;;;;;;;;;;;;;x;
dragon_trade;Dragon Trade;;;;;;;;;;;;;x;
e95;E-Ninety Five;;;;;;;;;;;;;x;
baltica;Baltica;;;;;;;;;;;;;x;
intereuropean_routes;Intereuropean Routes;;;;;;;;;;;;;x;
mediterranian_trade;Mediterranian Trade;;;;;;;;;;;;;x;
gunpowder_road;Gunpowder Road;;;;;;;;;;;;;x;
leopard_trade;Leopard Trade;;;;;;;;;;;;;x;
secret_religious_community;Secret Religious Community;Communauté [Root.secret_religion_scope.GetName] secrète;Geheime Gemeinschaft: [Root.secret_religion_scope.GetName];;Comunidad Secreta: [Root.secret_religion_scope.GetName];;;;;;;;;x
secret_religious_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
bard_sibir;Bard;;;;;;;;x,,,
bard_sibir_desc;Siberan Bards are a society of folklorist scholars, who dedicate their life to learning, preserving and spreading what little cultural heritage there is left of the pre-event Rodina. Usually they study speaking Old Russian and playing Gitara - an ancient russian string instrument, to learn hundreds of Old Russian poems and songs(They call Ballads). Sometimes, especialy when the money runs dry, they can give performances to the common folk, ammusing them with pictures of an old world and their mastery of both string and voice.;;;;;;;;x,,,

android;Android;;;;;;;;x,,,
android_desc;This character is a hostile machine humanoid from beyond the sky.;;;;;;;;x,,,

nistr_ukr_good;The Emperor who destroyed his Empire;;;;;;;;x,,,
nistr_ukr_good_desc;This Ruler decided to disassemble the Transnistrian empire to pursue his destiny as a king of Ukrainers.;;;;;;;;x,,,
nistr_ukr_bad;The Ukrainer who forbid their people;;;;;;;;x,,,
nistr_ukr_bad_desc;This Ruler abandoned his people to become an Emperor of Transnistria.;;;;;;;;x,,,

israeli_messiah;Mashiach ben David;;;;;;;x,,,
israeli_messiah_desc;This character has descended from a legendary warrior who freed Jerusalem during a climactic siege and was later proclaimed as the long awaited King of Israel Mashiach ben David. While his Messianic claim is still disputed in the diaspora, he maintains a loyal following in Israel.;;;;;;;x,,,
mikraist_messiah;Mashiach ben Yoseph;;;;;;;x,,,
mikraist_messiah_desc;This character is descended from the Tribe of Ephraim and the patriarch Joseph, proclaimed as such by the Mikraist sect of Judaism prevalent in the Diaspora as the true Messiah unlike the Davidic pretender in Israel.;;;;;;;x,,,
jewish_opinion;Jewish Opinion;;;;;;;x,,,
mikraist_opinion;Mikraist Opinion;;;;;;;x,,,
true_christian_knight_hospitaller;True Hospitaller Knight;;;;;;;x,,,
true_christian_knight_hospitaller_desc;This Character is, or was a member of one of the orders of Saint John who protect a majority of Christendom and co-operate with eachother.;;;;;;;x,,,

holy_war_cooldown;Recent Holy War;;;;;;;;;;;;;x
holy_war_cooldown_ctt;Gain the Recent Holy War modifier.\n;;;;;;;;;;;;;x
no_reconquista_tt;Not preparing Reconquista.;;;;;;;;;;;;;x

celtic_rite;Celtic Rite;;;;;;;;;;;;;x
celtic_rite_desc;This Catholic priest performs the Celtic Rite practiced by the Catholic population of Britannia, this Rite was granted to those Catholics after the rise of the Thelemics isolated them from the Papacy.;;;;;;;;;;;;;x
maronite_rite;Maronite Rite;;;;;;;;;;;;;x
maronite_rite_desc;This Catholic priest performs the Maronite Rite practiced by the Catholic population of the Middle east, this Rite is one of the oldest in the Catholic Church and was expanded post event to cover all Middle Eastern Catholics.;;;;;;;;;;;;;x
indian_rite;Indian Rite;;;;;;;;;;;;;x
indian_rite_desc;This Catholic priest performs the Indian Rite practiced by the Catholic population of India, this Rite was granted to those Catholics due to their isolation from the Papacy.;;;;;;;;;;;;;x
iberian_rite;Iberian Rite;;;;;;;;;;;;;x
iberian_rite_desc;This Catholic priest performs the Iberian Rite practiced by the Catholic population of Iberia, this Rite was granted to those Catholics after the rise of the Palmarians isolated them from the Papacy.;;;;;;;;;;;;;x
latin_rite;Latin Rite;;;;;;;;;;;;;x
latin_rite_desc;This Catholic priest performs the most broad of the Catholic rites, the Latin Rite, also known as the Roman Rite.;;;;;;;;;;;;;x
byzantine_rite;Byzantine Rite;;;;;;;;;;;;;x
byzantine_rite_desc;This Catholic priest performs the Byzantine Rite practiced by the Greek influenced peoples of the Balkans and beyond. It has existed since the 17th century according to Church records.;;;;;;;;;;;;;x
armenian_rite;Caucasian Rite;;;;;;;;;;;;;x
armenian_rite_desc;This Catholic priest performs the Caucasian Rite practiced by the Catholic population of the Caucasus Mountains.;;;;;;;;;;;;;x
aremaic_rite;Aramaic Rite;;;;;;;;;;;;;x
aremaic_rite_desc;This Catholic priest performs the Aramaic Rite practiced by the Catholic Aramaic population of the Middle East.;;;;;;;;;;;;;x
slavic_rite;Slavic Rite;;;;;;;;;;;;;x
slavic_rite_desc;This Catholic priest performs the Slavic Rite practiced by the Catholic Slavic population of Russia, Belarus and Ukraine.;;;;;;;;;;;;;x
lowborn;Lowborn;;;;;;;;;;;;;x
lowborn_desc;This character comes from the common people and has no Noble house behind them, though they may yet found one.;;;;;;;;;;;;;x
peasant_noble;Peasant Noble;;;;;;;;;;;;;x
peasant_noble_desc;This character comes from the common people and rose up in revolt against his noble masters thus being elevated to the rank of noble themself. As such the common man is much more willing to fight for one of their own.;;;;;;;;;;;;;x
lowborn_opinion;Lowborn Opinion;;;;;;;;;;;;;x
peasant_noble_opinion;Peasant Noble Opinion;;;;;;;;;;;;;x
peasant_leader_opinion;Peasant Leader Opinion;;;;;;;;;;;;;x
acre_fallen;Acre has Fallen;;;;;;;;;;;;;x
jerusalem_fallen_jewish;Jerusalem has Fallen;;;;;;;;;;;;;x

jewish_yona;Yona;;;;;;;;;;;;;x
jewish_yona_desc;This character is considered a Yona, who looks to continue the teachings of the ancient pre-event leader Yitzhak, often considered a martyr for his death by unbelievers during his quest to bring world peace in preparation for the Messiah to come, many Jews consider Yitzhak's death as the catalyst of the Event as a punishment from HaShem.;;;;;;;;;;;;;x
jewish_dos;Dos;;;;;;;;;;;;;x
jewish_dos_desc;This character is considered a Dos, who looks for past spiritual figures such as Rambam, Haramam, Hara'abi and Harayah's teachings to discover their own spirituality and be close to HaShem through careful observance and intense study of the Tanakh.;;;;;;;;;;;;;x
jewish_netz;Netz;;;;;;;;;;;;;x
jewish_netz_desc;This character is a considered a Netz, who unlike many other Jews, looks to ancient conquerors and mighty warriors such as Yehoshuah, David, Shimshon and Dayan to prove to be the mightiest warrior around. While many other Jews look down upon the followers of the Netz, they proved to be able to defend their homelands time and time again.;;;;;;;;;;;;;x
jewish_tembel;Tembel;;;;;;;;;;;;;x
jewish_tembel_desc;This character is considered a Tembel, followers of the tales of the pre-event folk hero Srulik, who built his own house, his own farm and his own fortunes by his own hands and defended it with his own might and grit. These riveting tales of the ancient figure inspire merchants to this day to strive ever more to find success. If Srulik could build a bridge across the Yarkon himself, then why wouldn't they?;;;;;;;;;;;;;x
jewish_dudu;Dudu;;;;;;;;;;;;;x
jewish_dudu_desc;This character is considered a Dudu, while nobody knows why this term came to be associated with this group of people, the one thing that is common among them is their reverence to mysterious pre-event figures such as Ester and Topaz, who through subterfuge and infiltration found themselves at the top of the world more powerful than ever.;;;;;;;;;;;;;x

old_lore;Old Lore;;;;;;;;;;;;;x
old_lore_desc;Seeking the tales from the ages before the fall, adherents of these antediluvian stories find solace in their friends and family as the seasonal celebrations are centered on them. Village gathering happen too and those who partake find themselves carousing frequently with those they cherish.;;;;;;;;;;;;;x
heroic_tales;Heroic Tales;;;;;;;;;;;;;x
heroic_tales_desc;Remembering the great trials of the past as well as the war for heaven, these storytellers have given their time to studying the legacy of those who fought for the freedom of the faithful. Grandiose tales of the noble midnight lion as he strode southwards to battle the merciless eagle are heard at campfires around the lands with the cheers of soldier and peasant alike following.;;;;;;;;;;;;;x
keeper_of_tales;Talekeeper;;;;;;;;;;;;;x
keeper_of_tales_desc;Favoring the main sacred text that Luther himself toiled to make available to all humans, these brave kin work tirelessly to ensure that legacy remain, as well as any other which may find its value in scripture for the faithful.;;;;;;;;;;;;;x
treaties_of_state;Treaties of State;;;;;;;;;;;;;x
treaties_of_state_desc;Favored among the elite, these are the seekers of old scripts and of ancient wisdom. Hunting tirelessly for more information on how to manage their estates and possessions, as well as improving their own acumen and titular knowledge.;;;;;;;;;;;;;x

cult_nicholas;Cult of Nikolai;;;;;;;;;;;;;x
cult_nicholas_desc;This character is devoted to Tzar Nikolai, who's heart was eaten by Stalin to steal his powers. The devotees of Nikolai are focused on wiping the scourge of Stalinism off of the face of the earth.;;;;;;;;;;;;;x
cult_ivan;Cult of Ivan;;;;;;;;;;;;;x
cult_ivan_desc;This character is devoted to Tzar Ivan, the first Tzar of a united Russia, they are devoted to the arts of realm management and the hopes of one day reforming Great Russia.;;;;;;;;;;;;;x
cult_olga;Cult of Olga;;;;;;;;;;;;;x
cult_olga_desc;This character venerates Olga of Kiev, also a saint in Christianity and seen as an aspect of Katerina by the Katerinists, this Cult is seen as a middle way between Zarism, Orthodoxy and Katerinism.;;;;;;;;;;;;;x
cult_minor_saints;Cult of the Minor Saints;;;;;;;;;;;;;x
cult_minor_saints_desc;This character is devoted to the many minor saints of the Zarist faith, sharing many common saints with Orthodox Christians, which puts them in the middle between Christianity and Zarism.;;;;;;;;;;;;;x
cult_undivided;Tzars Undivided;;;;;;;;;;;;;x
cult_undivided_desc;This character doesn't put any of the Romanov Tzars over the others and are devoted to every Tzar equally. They emphasize the importance of religious unity within Zarism.;;;;;;;;;;;;;x

gentleman_thief;Gentleman Thief;;;;;;;;;;;;;x
gentleman_thief_desc;This Character is suspected to follow the footsteps of the Hooded Robin and Arsene the Lupine, performing several daring acts of theft throughout the great courts of Europe often against those considered evil or corrupt.;;;;;;;;;;;;;x

bhutanese_beuracrat;Bhutanese Beuracrat;;;;;;;;;;;;;x
bhutanese_beuracrat_desc;This person has passed the exam to have the qualifications to be a beauracrat in Bhutan.;;;;;;;;;;;;;x

maaravi_orthodox;Orthodox;;;;;;;;;;;;;x
maaravi_orthodox_desc;This character follows Orthodox Judaism, the most widespread sect in Ma'aravi Judaism. Orthodox Jews blend the conventions of their religion with those of the world around them, essentially maintaing a balance between public and religious life.;;;;;;;;;;;;;x

maaravi_rabbinical;Rabbinical;;;;;;;;;;;;;x
maaravi_rabbinical_desc;This character follows the Rabbinical sect of Ma'aravi Judaism, a sect originating Haredi Judaism, it was founded by those who rejected the isolationist lifestyle of the Haredi community and have resolved to bring their faith with them to wherever they go. Rabbinical Judaism is the most conservative sect within Ma'aravi Judaism.;;;;;;;;;;;;;x

maaravi_reform;Reform;;;;;;;;;;;;;x
maaravi_reform_desc;This character follows Reform Judaism, the least orthodox sect within Ma'aravi Judaism. Reform Jews emphasizes Jewish ethics over strict observance of religious laws such as the Halacha. Reform Judaism is the most liberal sect within Ma'aravi Judaism.;;;;;;;;;;;;;x

hasidic_breslov;Breslover;;;;;;;;;;;;;x
hasidic_breslov_desc;A sect of Hasidic Judaism founded by Rebbe Nachman of Breslov which emphasizes a joyous connection relationship with God by the means of striving to be happy and living life happily and sincerely and that faith is a mean to repentance. Breslover's spiritual approach is very emotional and lively, and often includes singing and dancing.;;;;;;;;;;;;;x

hasidic_lubavitch;Lubavitcher;;;;;;;;;;;;;x
hasidic_lubavitch_desc;Better known as Chabad Hasidics, Lubavitchers are the adherents of the Lubavitch Hasidic dynasty. Their core teachings draw from the Zohar and Kabbalah as well as other works of Jewish mysticism. They argue that while other Hasidics emphasize the role of emotions in religious activities and prayers as in "God desires the heart", they argue that "God desires the mind" and that the mind must command the heart's actions. They value intense study of the Torah over song and dance. Their last Rebbe was hailed as the long awaited Messiah, even though other Jewish groups largely rejected that claim, Lubavitchers eagerly await the return of the Rebbe as the true Messiah of the Jewish people.;;;;;;;;;;;;;x

hasidic_satmar;Satmarer;;;;;;;;;;;;;x
hasidic_satmar_desc;Followers of a fringe sect of Hasidic Judaism founded by Rabbi Joel Teitelbaum, the Satmarer ideology is a strong rejection of modernity, citing it as the source of the decay of Jewish culture before the event. They strictly follow the laws of the Torah as "All that is new is forbidden by the Torah." and often clash with other Hasidic sects and the American federal government.;;;;;;;;;;;;;x

studied_pragmatism;Studying Pragmatism;;;;;;;;;;;;;x
studied_pragmatism_desc;This character is studying the writings of Charles Sanders Peirce, William James and John Dewey on Pragmatism, which advocates finding practical solutions for issues that would work the most effectively.;;;;;;;;;;;;;x

studied_jingoism;Studying Jingoism;;;;;;;;;;;;;x
studied_jingoism_desc;This character is studying examples of American Jingoism, which emphasizes the superiority of the United States in the world and ways to strongarm and force others to accept its terms, including wars.;;;;;;;;;;;;;x

studied_transcendantalism;Studying Transcendentalism;;;;;;;;;;;;;x
studied_transcendantalism_desc;This character is studying writings on Transcendentalism which rejects rationalism in favour of the inherent purity of man and nature being corrupted by society and its institutions and emphasizing that people are at their best when self-reliant and free.;;;;;;;;;;;;;x

studied_foundationalism;Studying Foundationalism;;;;;;;;;;;;;x
studied_foundationalism_desc;This character is studying writings by the Founding Fathers of the United States, collectively known as Foundationalism, which includes a wide variety of ideas and philosophies that founded the United States.;;;;;;;;;;;;;x
