From;To;Type;Through;-1;-1;-1;-1;Comment
4889;4896;major_river;1312;-1;-1;-1;-1;Howrah-Krishnanagar
2423;927;major_river;967;-1;-1;-1;-1;Niger River
2423;1753;major_river;967;-1;-1;-1;-1;Niger River
2423;2424;major_river;967;-1;-1;-1;-1;Niger River
2423;2424;major_river;967;-1;-1;-1;-1;Niger River
2421;1755;major_river;967;-1;-1;-1;-1;Niger River
2400;1754;major_river;966;-1;-1;-1;-1;Niger River
2576;2401;major_river;966;-1;-1;-1;-1;Niger River
2576;914;major_river;966;-1;-1;-1;-1;Niger River
2576;2399;major_river;966;-1;-1;-1;-1;Niger River
2571;2399;major_river;966;-1;-1;-1;-1;Niger River
2571;922;major_river;966;-1;-1;-1;-1;Niger River
2398;922;major_river;1847;-1;-1;-1;-1;Niger River
911;919;major_river;1847;-1;-1;-1;-1;Niger River
911;1768;major_river;1847;-1;-1;-1;-1;Niger River
911;915;major_river;1847;-1;-1;-1;-1;Niger River
1640;1646;major_river;1056;-1;-1;-1;-1;Dniester
2583;391;sea;987;-1;-1;-1;-1;Lofoten
2573;292;sea;959;-1;-1;-1;-1;stockholm
2609;641;sea;1393;-1;-1;-1;-1;Hormozgan-Hormuz
334;2606;sea;1031;-1;-1;-1;-1;Napoli-Ischia
1954;2608;sea;975;-1;-1;-1;-1;Mayo-Achill
2152;33;sea;960;-1;-1;-1;-1;Feroes
2154;33;sea;960;-1;-1;-1;-1;Feroes
2142;264;sea;1000;-1;-1;-1;-1;Denmark
2142;2141;sea;1000;-1;-1;-1;-1;Denmark
2141;264;sea;1000;-1;-1;-1;-1;Denmark
265;266;sea;999;-1;-1;-1;-1;Denmark
2124;746;sea;1111;-1;-1;-1;-1;Aegean
636;2195;sea;992;-1;-1;-1;-1;iranian desert
2039;2534;sea;1010;-1;-1;-1;-1;channel islands
2533;2534;sea;1010;-1;-1;-1;-1;channel islands
2533;2039;sea;1010;-1;-1;-1;-1;channel islands
2533;2535;sea;1010;-1;-1;-1;-1;channel islands
2146;2145;sea;992;-1;-1;-1;-1;outer hebrides
4078;2968;sea;4018;-1;-1;-1;-1;Russky-Vladivostok
3199;3195;sea;3966;-1;-1;-1;-1;Pearl river islands
3199;3198;sea;3966;-1;-1;-1;-1;Pearl river islands
3195;3198;sea;3966;-1;-1;-1;-1;Pearl river islands
3197;3181;sea;3966;-1;-1;-1;-1;Pearl river islands
3196;3181;sea;3966;-1;-1;-1;-1;Pearl river islands
1348;594;major_river;1090;-1;-1;-1;-1;Kiel Canal
1348;566;major_river;1090;-1;-1;-1;-1;Kiel Canal
261;1688;major_river;2490;-1;-1;-1;-1;Kiel Canal
1688;263;major_river;2490;-1;-1;-1;-1;Kiel Canal
263;264;major_river;2490;-1;-1;-1;-1;Kiel Canal
259;261;major_river;1046;-1;-1;-1;-1;Celle-Hamburg			#ELBE"
258;261;major_river;1046;-1;-1;-1;-1;Lüneburg-Hamburg
309;261;major_river;1046;-1;-1;-1;-1;Altmark-Hamburg
309;262;major_river;1046;-1;-1;-1;-1;Altmark-Lübeck
309;260;major_river;1047;-1;-1;-1;-1;Altmark-Mecklenburg
309;1988;major_river;1047;-1;-1;-1;-1;Werben-Havelberg
1982;1988;major_river;1048;-1;-1;-1;-1;Magdeburg-Havelberg
1982;310;major_river;1048;-1;-1;-1;-1;Magdeburg-Zerbst
311;364;major_river;1048;-1;-1;-1;-1;Merseburg-Lausitz
311;310;major_river;1048;-1;-1;-1;-1;Merseburg-Zerbst
312;364;major_river;1049;-1;-1;-1;-1;Meissen-Lausitz
312;1589;major_river;1049;-1;-1;-1;-1;Meissen-Gorlitz
1589;1926;major_river;1049;-1;-1;-1;-1;Gorlitz-Zatec
363;1926;major_river;1049;-1;-1;-1;-1;Litomerice-Zatec
80;92;major_river;1043;-1;-1;-1;-1;Holland-Breda		#RHINE"
82;92;major_river;1043;-1;-1;-1;-1;Sticht-Breda
89;91;major_river;1043;-1;-1;-1;-1;Kleve-Loon
119;89;major_river;1044;-1;-1;-1;-1;Köln-Kleve
119;1983;major_river;1044;-1;-1;-1;-1;Köln-Berg
118;1983;major_river;1045;-1;-1;-1;-1;Trier-Berg
1981;118;major_river;1045;-1;-1;-1;-1;Frankfurt-Trier
97;99;major_river;1041;-1;-1;-1;-1;Rouen-Evreux		#SEINE"
98;99;major_river;1041;-1;-1;-1;-1;Vexin-Evreux
1961;99;major_river;1041;-1;-1;-1;-1;Clermont-Evreux
1961;112;major_river;1042;-1;-1;-1;-1;Clermont-Paris	"
106;1957;major_river;1039;-1;-1;-1;-1;Nantes-Retz		"
107;1959;major_river;1039;-1;-1;-1;-1;Anjou-Saumur		"
107;140;major_river;1040;-1;-1;-1;-1;Anjou-Tours
109;140;major_river;1040;-1;-1;-1;-1;Vendome-Tours
143;149;major_river;1107;-1;-1;-1;-1;Saintonge-Bordeaux		#GARONNE"
216;149;major_river;1107;-1;-1;-1;-1;Perigord-Bordeaux
216;215;major_river;1108;-1;-1;-1;-1;Perigord-Agen
214;215;major_river;1108;-1;-1;-1;-1;Toulouse-Agen
368;370;major_river;1051;-1;-1;-1;-1;Gdansk-Marienburg		#VISTULA"
368;369;major_river;1051;-1;-1;-1;-1;Gdansk-Chelmno
368;1581;major_river;1052;-1;-1;-1;-1;Gdansk-Dobrzyn
1581;429;major_river;1052;-1;-1;-1;-1;Dobrzyn-Naklo
1581;428;major_river;1052;-1;-1;-1;-1;Dobrzyn-Kujawy
528;529;major_river;1053;-1;-1;-1;-1;Czersk-Plock
528;530;major_river;1054;-1;-1;-1;-1;Czersk-Liw
531;530;major_river;1054;-1;-1;-1;-1;Sandomierz-Liw
531;1584;major_river;1054;-1;-1;-1;-1;Sandomierz-Stezyca
531;1585;major_river;1054;-1;-1;-1;-1;Sandomierz-Lublin
531;532;major_river;1055;-1;-1;-1;-1;Sandomierz-Sacz
1596;374;major_river;1080;-1;-1;-1;-1;Riga-Zemigaliens
1594;374;major_river;1080;-1;-1;-1;-1;Jersika-Zemigaliens
1594;1591;major_river;1080;-1;-1;-1;-1;Jersika-Selija
416;1591;major_river;1081;-1;-1;-1;-1;WestDvina-Selija
2483;2269;sea;2299;-1;-1;-1;-1;senegal
3876;3875;sea;3976;-1;-1;-1;-1;okinawa
3875;3874;sea;3976;-1;-1;-1;-1;okinawa
3886;2884;sea;3997;-1;-1;-1;-1;korea
3885;2881;sea;3994;-1;-1;-1;-1;korea
2878;2876;sea;3989;-1;-1;-1;-1;korea
2878;2877;sea;3989;-1;-1;-1;-1;korea
2900;2902;sea;3990;-1;-1;-1;-1;korea
2900;2903;sea;3990;-1;-1;-1;-1;korea
416;934;major_river;1081;-1;-1;-1;-1;WestDvina-Lepiel
419;934;major_river;1081;-1;-1;-1;-1;Polotsk-Lepiel
419;417;major_river;1082;-1;-1;-1;-1;Polotsk-Vitebsk
419;568;major_river;1082;-1;-1;-1;-1;Polotsk-Smolensk
410;568;major_river;1082;-1;-1;-1;-1;Toropets-Smolensk
392;411;major_river;1083;-1;-1;-1;-1;Kexholm-Ingriya		#NEVA & SVIR
392;409;major_river;1083;-1;-1;-1;-1;Kexholm-Ladoga
393;1660;major_river;1084;-1;-1;-1;-1;Olonets-Chlisselbourg
393;404;major_river;1084;-1;-1;-1;-1;Olonets-Zaozerye
1660;409;major_river;1085;-1;-1;-1;-1;Chlisselbourg-Ladoga	#VOLKHOV & LOVAT
1652;409;major_river;1085;-1;-1;-1;-1;Borovichi-Ladoga
1652;414;major_river;1085;-1;-1;-1;-1;Borovichi-Novgorod
1667;1662;major_river;1087;-1;-1;-1;-1;Kholm-Rusa
410;1662;major_river;1087;-1;-1;-1;-1;Toropets-Rusa
410;415;major_river;1087;-1;-1;-1;-1;Toropets-Luki	
1653;554;sea;1076;-1;-1;-1;-1;Slutsk-Chernigov#DNIEPER
1659;553;sea;1076;-1;-1;-1;-1;Drutsk-Lyubech
1659;551;sea;1077;-1;-1;-1;-1;Drutsk-Mstislavl
418;551;sea;1077;-1;-1;-1;-1;Orsha-Mstislavl
417;551;sea;1078;-1;-1;-1;-1;Vitebsk-Mstislavl
568;551;sea;1078;-1;-1;-1;-1;Smolensk-Mstislavl
568;569;sea;1078;-1;-1;-1;-1;Smolensk-Vyazma
1653;1649;major_river;1626;-1;-1;-1;-1;Slutsk-Korosten		#PRIPYAT
1653;552;major_river;1079;-1;-1;-1;-1;Slutsk-Turov
548;552;major_river;1079;-1;-1;-1;-1;Pinsk-Turov
548;535;major_river;1079;-1;-1;-1;-1;Pinsk-Volodymyr
554;555;major_river;1073;-1;-1;-1;-1;Chernigov-Pereyaslavl	#DESNA
554;1675;major_river;1073;-1;-1;-1;-1;Chernigov-Priluk
1656;567;major_river;1074;-1;-1;-1;-1;Starodub-Novgorod Seversky
576;1676;major_river;1074;-1;-1;-1;-1;Bryansk-Kromy
576;1666;major_river;1074;-1;-1;-1;-1;Bryansk-Karachev
933;1666;major_river;1074;-1;-1;-1;-1;Roslavl-Karachev
596;597;major_river;1088;-1;-1;-1;-1;Tana-Azov		#DON
596;599;major_river;1088;-1;-1;-1;-1;Tana-Kuban
596;2666;major_river;1088;-1;-1;-1;-1;Tana-Volgodonsk
594;607;major_river;1088;-1;-1;-1;-1;Sarkel-Sarpa
594;605;major_river;1089;-1;-1;-1;-1;Sarkel-Manych
594;595;major_river;1090;-1;-1;-1;-1;Sarkel-DonPortage
594;593;major_river;1090;-1;-1;-1;-1;Sarkel-Khopyor
566;593;major_river;1091;-1;-1;-1;-1;Sugrov-Khopyor
566;579;major_river;1091;-1;-1;-1;-1;Sugrov-Mordva
1665;579;major_river;1091;-1;-1;-1;-1;Yelets-Mordva
1665;577;major_river;1091;-1;-1;-1;-1;Yelets-Pronsk
619;604;major_river;1092;-1;-1;-1;-1;Saray-Kuma		#VOLGA
619;2665;major_river;1092;-1;-1;-1;-1;Saray-Yustin
619;605;major_river;1093;-1;-1;-1;-1;Saray-Manych
1812;595;major_river;1094;-1;-1;-1;-1;Saqsin-DonPortage
1812;605;major_river;1094;-1;-1;-1;-1;Saqsin-Manych
1812;2665;major_river;1094;-1;-1;-1;-1;Saqsin-Yustin
605;595;major_river;1094;-1;-1;-1;-1;Manych-DonPortage
1814;595;major_river;1094;-1;-1;-1;-1;Uvek-DonPortage
1814;592;major_river;1094;-1;-1;-1;-1;Uvek-Burtasy
1814;609;major_river;1103;-1;-1;-1;-1;Uvek-Syrt
608;609;major_river;1103;-1;-1;-1;-1;LowerVolga-Syrt
616;609;major_river;1095;-1;-1;-1;-1;Pecheneg-Syrt
610;609;major_river;1096;-1;-1;-1;-1;Bolghar-Syrt
610;614;major_river;1096;-1;-1;-1;-1;Bolghar-Ashli
611;614;major_river;1096;-1;-1;-1;-1;Qazan-Ashli
611;589;major_river;1096;-1;-1;-1;-1;Qazan-Kerzhenets
589;2670;major_river;1097;-1;-1;-1;-1;Kerzhenets-Cheboksary
585;584;major_river;1098;-1;-1;-1;-1;Gorodets-NizhnyNovgorod
585;582;major_river;1098;-1;-1;-1;-1;Gorodets-Vladimir
407;582;major_river;1099;-1;-1;-1;-1;Kostroma-Vladimir
407;583;major_river;1099;-1;-1;-1;-1;Kostroma-Suzdal
407;572;major_river;1099;-1;-1;-1;-1;Kostroma-Yaroslavl
407;571;major_river;1100;-1;-1;-1;-1;Kostroma-Uglich
407;408;major_river;1100;-1;-1;-1;-1;Kostroma-Belozero
406;408;major_river;1101;-1;-1;-1;-1;Vologda-Belozero
405;408;major_river;1101;-1;-1;-1;-1;Chud-Belozero
403;408;major_river;1101;-1;-1;-1;-1;Romny-Belozero
403;404;major_river;1101;-1;-1;-1;-1;Romny-Zaozerye
604;2219;major_river;2532;-1;-1;-1;-1;Kuma-Astrakhan
584;582;major_river;1102;-1;-1;-1;-1;NizhnyNovgorod-Vladimir		#OKA
591;581;major_river;1102;-1;-1;-1;-1;Cheremisa-Murom
580;581;major_river;1104;-1;-1;-1;-1;Ryazan-Murom
580;1678;major_river;1104;-1;-1;-1;-1;Ryazan-OrekhovoOulevo
578;1678;major_river;1104;-1;-1;-1;-1;Tula-OrekhovoOulevo
1679;1677;major_river;1673;-1;-1;-1;-1;Serpukhov-NaroFominsk
1679;587;major_river;1673;-1;-1;-1;-1;Serpukhov-Mozhaysk
1650;587;major_river;1673;-1;-1;-1;-1;Vorotynsk-Mozhaysk
1650;1682;major_river;1674;-1;-1;-1;-1;Vorotynsk-Kozelsk
1650;1666;major_river;1674;-1;-1;-1;-1;Vorotynsk-Karachev
1677;1678;major_river;1105;-1;-1;-1;-1;NaroFominsk-OrekhovoOulevo
1677;575;major_river;1105;-1;-1;-1;-1;NaroFominsk-Moskva
1677;1669;major_river;1105;-1;-1;-1;-1;NaroFominsk-Kashin
570;1669;major_river;1106;-1;-1;-1;-1;Tver-Kashin
570;1668;major_river;1106;-1;-1;-1;-1;Tver-Rzheva
2677;1668;major_river;1106;-1;-1;-1;-1;Volokolamsk-Rzheva
1672;1668;major_river;1106;-1;-1;-1;-1;Zoubtsov-Rzheva
410;1668;major_river;1106;-1;-1;-1;-1;Toropets-Rzheva
410;412;major_river;1106;-1;-1;-1;-1;Toropets-Torzhok
610;611;major_river;1628;-1;-1;-1;-1;Bolghar-Qazan		#KAMA
610;1716;major_river;1628;-1;-1;-1;-1;Bolghar-Kremenchuk
613;1716;major_river;1628;-1;-1;-1;-1;Bilyar-Kremenchuk
613;1717;major_river;1628;-1;-1;-1;-1;Bilyar-Alabuga
436;1717;major_river;1628;-1;-1;-1;-1;Naberezhnye-Alabuga
1646;512;major_river;1056;-1;-1;-1;-1;Odessa-Belgorod		#DNIESTER
2149;512;major_river;1056;-1;-1;-1;-1;Tiraspol-Belgorod
2150;541;major_river;1057;-1;-1;-1;-1;Ribnita-Peresechen
2149;541;major_river;1056;-1;-1;-1;-1;Tiraspol-Peresechen
1637;541;major_river;1057;-1;-1;-1;-1;Ushytsia-Peresechen
1637;545;major_river;1057;-1;-1;-1;-1;Ushytsia-Chernovtsy
1637;536;major_river;1627;-1;-1;-1;-1;Ushytsia-Galich
546;536;major_river;1627;-1;-1;-1;-1;Terebovl-Galich
222;223;major_river;2226;-1;-1;-1;-1;Venaissin-Viviers	#RHONE
223;228;major_river;2227;-1;-1;-1;-1;Viviers-Viennois
220;222;major_river;2226;-1;-1;-1;-1;Montpellier-Venaissin
228;224;major_river;2227;-1;-1;-1;-1;Viennois-Forez
321;320;major_river;2229;-1;-1;-1;-1;Parma-Cremona	#PO
321;354;major_river;2229;-1;-1;-1;-1;Parma-Mantua
354;322;major_river;2229;-1;-1;-1;-1;Mantua-Modena
354;353;major_river;2228;-1;-1;-1;-1;Mantua-Ferrara
353;355;major_river;2228;-1;-1;-1;-1;Ferrara-Padova
422;372;major_river;2233;-1;-1;-1;-1;Scalovia-Memel	#NEMAN
421;426;major_river;2234;-1;-1;-1;-1;Zhmud-Yatvyagi
426;420;major_river;2234;-1;-1;-1;-1;Yatvyagi-Aukshayts
2673;420;major_river;2234;-1;-1;-1;-1;Grodno-Aukshayts
2673;1654;major_river;2234;-1;-1;-1;-1;Grodno-Novogrodek
2673;424;major_river;2234;-1;-1;-1;-1;Bialystok-Grodno
1597;426;major_river;2234;-1;-1;-1;-1;Deltuva-Yatvyagi
308;366;major_river;2230;-1;-1;-1;-1;Wolgast-Stettin	#ODER
308;1588;major_river;2231;-1;-1;-1;-1;Wolgast-Neumark
1588;365;major_river;2231;-1;-1;-1;-1;Neumark-Brandenburg
1588;364;major_river;2231;-1;-1;-1;-1;Neumark-Lausitz
364;430;major_river;2231;-1;-1;-1;-1;Lausitz-Lubusz
430;434;major_river;2232;-1;-1;-1;-1;Lubusz-Lower Silesia
649;648;major_river;2236;-1;-1;-1;-1;Basra-Khozistan	#TIGRIS AND EUPHRATES
690;689;major_river;2241;-1;-1;-1;-1;Al Amarah-Ilam
2498;692;major_river;2241;-1;-1;-1;-1;Sakaka-Al Nadjaf
693;694;major_river;2242;-1;-1;-1;-1;Baghdad-Karbala
696;4948;major_river;2239;-1;-1;-1;-1;Sumra-Fallujah
4947;713;major_river;2244;-1;-1;-1;-1;Rawah-Abu Kamal
4947;712;major_river;2243;-1;-1;-1;-1;Rawah-Anbar
694;4950;major_river;2241;-1;-1;-1;-1;Karbala-Hillah
2498;654;major_river;2240;-1;-1;-1;-1;Al Qasidiyah-Samawah
2498;655;major_river;2240;-1;-1;-1;-1;Al Qasidiyah-Nasiriyah
4953;4950;major_river;2238;-1;-1;-1;-1;Kut-Hillah
4953;689;major_river;2238;-1;-1;-1;-1;Kut-Wasit
649;4952;major_river;2236;-1;-1;-1;-1;Basra-Ahvaz
2500;4948;major_river;2242;-1;-1;-1;-1;Ramadi-Fallujah
2343;2266;major_river;2333;-1;-1;-1;-1;Basra-Khozistan	#SENEGAL RIVER
2266;2345;major_river;2333;-1;-1;-1;-1;Kufa-Tigris
2270;2349;major_river;2333;-1;-1;-1;-1;Al Amarah-Al Nadjaf
2349;2271;major_river;2333;-1;-1;-1;-1;Al Amarah-Karbala
2271;2353;major_river;2334;-1;-1;-1;-1;Baghdad-Karbala
2353;2275;major_river;2334;-1;-1;-1;-1;Euphrates-Karbala
2353;2280;major_river;2335;-1;-1;-1;-1;Karbala-Deir
2280;2370;major_river;2335;-1;-1;-1;-1;Karbala-Deir
2370;926;major_river;2335;-1;-1;-1;-1;Karbala-Deir
2370;2285;major_river;2335;-1;-1;-1;-1;Karbala-Deir
2285;2369;major_river;2336;-1;-1;-1;-1;Karbala-Deir
2285;1760;major_river;2336;-1;-1;-1;-1;Karbala-Deir
2284;1761;major_river;2336;-1;-1;-1;-1;Karbala-Deir
2254;2261;major_river;2331;-1;-1;-1;-1;Karbala-Deir #GAMBIA RIVER
2255;2257;major_river;2331;-1;-1;-1;-1;Karbala-Deir
2218;514;sea;1059;-1;-1;-1;-1;Dorostotum-Turnu#Danube
2564;505;sea;1063;-1;-1;-1;-1;Belgrad-Banat
1968;518;sea;1063;-1;-1;-1;-1;Syrmia-Bacs
451;522;sea;1066;-1;-1;-1;-1;Fejer-Pest
2557;444;sea;1066;-1;-1;-1;-1;Fejer-Esztergom
449;445;sea;1067;-1;-1;-1;-1;Österreich-Pressburg
449;1697;sea;1067;-1;-1;-1;-1;Österreich-Krems
1700;361;sea;1068;-1;-1;-1;-1;Regensburg-Niederbayern
315;252;sea;1069;-1;-1;-1;-1;Kempten-Ulm
249;252;sea;1069;-1;-1;-1;-1;Schwaben-Ulm
249;251;sea;1069;-1;-1;-1;-1;Schwaben-Fürstenberg#Danube
1303;1137;sea;1307;-1;-1;-1;-1;Ranikot-Mansura
1138;1333;sea;1308;-1;-1;-1;-1;Bhakkar-Siwistan
1375;1337;sea;1310;-1;-1;-1;-1;Kafirkot-Uch
1191;1340;major_river;1310;-1;-1;-1;-1;Bannu-Karor
1236;1318;major_river;1311;-1;-1;-1;-1;Candradvipa-Samatata
4888;1325;major_river;1316;-1;-1;-1;-1;Tangail-Pabna
4888;4901;major_river;1316;-1;-1;-1;-1;Tangail-Rangpur
1240;1319;major_river;1311;-1;-1;-1;-1;Kumara Mandala-Bikrampur
1240;1325;major_river;1312;-1;-1;-1;-1;Kumara Mandala-Madhupur
1243;1151;major_river;1312;-1;-1;-1;-1;Gauda-Laksmanavati
1152;1153;major_river;1313;-1;-1;-1;-1;Mudgagiri-Kotivarsa
1152;1419;major_river;1313;-1;-1;-1;-1;Mudgagiri-Mithila
1154;1419;major_river;1313;-1;-1;-1;-1;Magadha-Mithila
1154;1162;major_river;1313;-1;-1;-1;-1;Magadha-Kusinagara
1251;1162;major_river;1315;-1;-1;-1;-1;Sasaram-Kusinagara
1251;1166;major_river;1315;-1;-1;-1;-1;Sasaram-Jaunpur
1251;1163;major_river;1315;-1;-1;-1;-1;Sasaram-Varanasi
1281;1163;major_river;1315;-1;-1;-1;-1;Chunar-Varanasi
1328;1163;major_river;1315;-1;-1;-1;-1;Prayaga-Varanasi
1328;1284;major_river;1315;-1;-1;-1;-1;Prayaga-Bharauli
1283;1284;major_river;1315;-1;-1;-1;-1;Asni-Bharauli
1356;1284;major_river;1314;-1;-1;-1;-1;Kanyakubja-Bharauli
1356;1167;major_river;1314;-1;-1;-1;-1;Kanyakubja-Lakhnau
1356;1358;major_river;1314;-1;-1;-1;-1;Kanyakubja-Vodamayutja
1141;1358;major_river;1314;-1;-1;-1;-1;Kol-Vodamayutja
1141;1173;major_river;1314;-1;-1;-1;-1;Kol-Sambhal
1365;1173;major_river;1314;-1;-1;-1;-1;Delhi-Sambhal
1325;1319;major_river;1316;-1;-1;-1;-1;Madhupur-Bikrampur
2615;4901;major_river;1316;-1;-1;-1;-1;Garo-Rangpur
2615;4895;major_river;1316;-1;-1;-1;-1;Garo-Koch Bihar
2615;1321;major_river;1317;-1;-1;-1;-1;Garo-Nalbari
1381;4888;major_river;1316;-1;-1;-1;-1;Pundravardhana-Tangail
1321;1246;major_river;1317;-1;-1;-1;-1;Kamarupanagara-Goalpara
1078;1082;portage;568;-1;-1;-1;-1;Dneiper-Dwina		###PORTAGE
1087;1082;portage;419;-1;-1;-1;-1;Lovat-Dwina
1072;2097;portage;555;-1;-1;-1;-1;ukraine dams		###PORTAGE
1071;2098;portage;1658;-1;-1;-1;-1;ukraine dams
1070;2099;portage;543;-1;-1;-1;-1;ukraine dams
64;1949;sea;968;-1;-1;-1;-1;Gwynedd - Anglesey
26;1950;sea;966;-1;-1;-1;-1;Wessex - Wight
796;797;major_river;1997;-1;-1;-1;-1;Nile
797;790;major_river;2164;-1;-1;-1;-1;Nile
797;789;major_river;2164;-1;-1;-1;-1;Nile
789;798;major_river;2164;-1;-1;-1;-1;Nile
798;799;major_river;1995;-1;-1;-1;-1;Damietta - Rasheed # Nile
797;799;major_river;1995;-1;-1;-1;-1;El-Malhalla - Rasheed # Nile
797;2004;major_river;1995;-1;-1;-1;-1;El-Malhalla - Kharibta # Nile
796;2004;major_river;1996;-1;-1;-1;-1;Cairo - Kharibta # Nile
796;800;major_river;1997;-1;-1;-1;-1;Cairo - Giza # Nile
796;2001;major_river;1998;-1;-1;-1;-1;Cairo - Faiyum # Nile
2002;2001;major_river;1998;-1;-1;-1;-1;Akhmim - Faiyum # Nile
2002;795;major_river;1999;-1;-1;-1;-1;Akhmim - Asyut # Nile
791;795;major_river;1999;-1;-1;-1;-1;Quena - Asyut # Nile
791;2003;major_river;1999;-1;-1;-1;-1;Quena - Esna # Nile
165;164;major_river;2010;-1;-1;-1;-1;Cadiz - Niebla # al-Wadi al-Kabir
165;183;major_river;2011;-1;-1;-1;-1;Cadiz - Aracena # al-Wadi al-Kabir
182;183;major_river;2011;-1;-1;-1;-1;Seville - Aracena # al-Wadi al-Kabir
2013;160;major_river;2008;-1;-1;-1;-1;Almada - Seville # Tago
186;160;major_river;2009;-1;-1;-1;-1;Evora - Lisboa # Tago
186;2012;major_river;2009;-1;-1;-1;-1;Evora - Egitanea # Tago
1195;1112;sea;1404;-1;-1;-1;-1;India-SirLanka
789;788;major_river;2016;-1;-1;-1;-1;Tinnis-Farama # Suez Canal
790;788;major_river;2016;-1;-1;-1;-1;Bilbays-Farama # Suez Canal
2006;788;major_river;2016;-1;-1;-1;-1;Kolzum-Farama # Suez Canal
2161;2000;portage;2003;-1;-1;-1;-1;Upper Lake Nasser-Nile # Aswan dam
4708;4167;major_river;4025;-1;-1;-1;-1;Chao Phraya
4709;4167;major_river;4025;-1;-1;-1;-1;Chao Phraya
4165;4708;major_river;4026;-1;-1;-1;-1;Chao Phraya
2826;2823;major_river;4069;-1;-1;-1;-1;Mekong
2823;2821;major_river;4069;-1;-1;-1;-1;Mekong
2824;2823;major_river;4069;-1;-1;-1;-1;Mekong
2823;2824;major_river;4069;-1;-1;-1;-1;Mekong
2828;2697;major_river;4070;-1;-1;-1;-1;Mekong
2828;2831;major_river;4070;-1;-1;-1;-1;Mekong
2827;2829;major_river;4070;-1;-1;-1;-1;Mekong
2827;2831;major_river;4070;-1;-1;-1;-1;Mekong
2830;2829;major_river;4070;-1;-1;-1;-1;Mekong
2827;2828;major_river;4070;-1;-1;-1;-1;Mekong
2827;2829;major_river;4070;-1;-1;-1;-1;Mekong
