province;red;green;blue;x;x
283;126;210;169;Medelpad;x
284;168;0;42;Herjedalen;x
285;0;3;170;Halsingland;x
286;42;6;43;Gastrikland;x
287;84;9;171;Jarnbaraland;x
288;126;12;44;Varmland;x
289;168;15;172;Vastmanland;x
290;0;18;45;Uppland;x
291;42;21;173;Aland;x
292;84;24;46;Sodermanland;x
293;126;27;174;Ostergotland;x
294;168;30;47;Narke;x
295;0;33;175;Dal;x
296;42;36;48;Viken;x
297;84;39;176;Vastergotland;x
298;126;42;49;Smaland;x
299;43;81;138;Mahirood;x
300;0;48;50;Oland;x
301;42;51;178;Gotland;x
302;84;54;51;Halland;x
303;126;57;179;Skane;x
304;168;60;52;Rugen;x
305;0;63;180;Bornholm;x
306;42;66;53;Rostock;x
307;84;69;181;Werle;x
308;126;72;54;Wolgast;x
309;168;75;182;Altmark;x
310;0;78;55;Anhalt;x
311;42;81;183;Plauen;x
312;84;84;56;Meissen;x
313;126;87;184;Bamberg;x
314;168;90;57;Nurnberg;x
315;0;93;185;Kempten;x
316;42;96;58;Tirol;x
317;84;99;186;Trent;x
318;126;102;59;Brescia;x
319;168;105;187;Verona;x
320;0;108;60;Cremona;x
321;42;111;188;Parma;x
322;84;114;61;Modena;x
323;126;117;189;Lucca;x
324;168;120;62;Corsica;x
325;0;123;190;Arborea;x
326;42;126;63;Cagliari;x
327;84;129;191;Pisa;x
328;126;132;64;Firenze;x
329;168;135;192;Urbino;x
330;0;138;65;Siena;x
331;42;141;193;Piombino;x
332;84;144;66;Orbetello;x
333;126;147;194;Roma;x
334;168;150;67;Napoli;x
335;0;153;195;Benevento;x
336;42;156;68;Salerno;x
337;84;159;196;Consenza;x
338;126;162;69;Reggio;x
339;168;165;197;Messina;x
340;0;168;70;Palermo;x
341;42;171;198;Trapani;x
342;84;174;71;Agrigento;x
343;126;177;199;Siracusa;x
344;168;180;72;Taranto;x
345;0;183;200;Lecce;x
346;42;186;73;Bari;x
347;84;189;201;Apulia;x
348;126;192;74;Foggia;x
349;168;195;202;Spoleto;x
350;0;198;75;Ancona;x
351;42;201;203;Ravenna;x
352;84;204;76;Bologna;x
353;126;207;204;Ferrara;x
354;168;210;77;Mantua;x
355;0;0;205;Padua;x
356;42;3;78;Venezia;x
357;84;6;206;Treviso;x
358;126;9;79;Aquileia;x
359;168;12;207;Innsbruck;x
360;0;15;80;Oberbayern;x
361;42;18;208;Niederbayern;x
362;84;21;81;Domazlice;x #Cheb
363;126;24;209;Litomerice;x #Usti nad Labem
364;168;27;82;Lausitz;x
365;0;30;210;Brandenburg;x
366;42;33;83;Stettin;x
367;84;36;211;Slupsk;x
368;126;39;84;Danzig;x
369;168;42;212;Powisle;x
370;0;45;85;Warmia;x
371;42;48;213;Sambia;x
372;84;51;86;Memel;x
373;126;54;214;Kurs;x
374;168;57;87;Zemigalians;x
375;0;60;215;Lettigalians;x
376;42;63;88;Osel;x
377;84;66;216;Livs;x
378;126;69;89;Reval;x
379;168;72;217;Dorpat;x
380;0;75;90;Narva;x
381;42;78;218;Nyland;x
382;84;81;91;Turku;x
383;126;84;219;Hameenlinna;x
384;168;87;92;Pori;x
385;0;90;220;Osterbotten;x
386;42;93;93;Kemi;x
387;84;96;221;Varzuga;x
388;126;99;94;Karelen;x
389;168;102;222;Finnmark;x
390;0;105;95;Savolaks;x
391;42;108;223;Nordland;x
392;84;111;96;Kexholm;x
393;126;114;224;Onega;x
394;168;117;97;Trans-portage;x
395;0;120;225;North Dvina;x
396;42;123;98;Bjarmia;x
397;84;126;226;Samoyeds;x
398;126;129;99;Ugra;x
399;168;132;227;Syrj;x
400;0;135;0;Zyriane;x
401;42;138;128;Hlynov;x
402;84;141;1;Veliky Ustug;x
403;126;144;129;Romny;x
404;168;147;2;Zaozerye;x
405;0;150;130;Chud;x
406;42;153;3;Vologda;x
407;84;156;131;Kostroma;x
408;126;159;4;Beloozero;x
409;168;162;132;Bezhetsky Verh;x
410;0;165;5;Toropets;x
411;42;168;133;Vodi;x
412;84;171;6;Torzhok;x
413;126;174;134;Pskov;x
414;168;177;7;Novgorod;x
415;0;180;135;Velikiye Luki;x
416;42;183;8;West Dvina;x
417;84;186;136;Vitebsk;x
418;126;189;9;Orsha;x
419;168;192;137;Polotsk;x
420;0;195;10;Aukshayts;x
421;42;198;138;Zhmud;x
422;84;201;11;Scalovia;x
423;126;204;139;Sudovia;x
424;168;207;12;Jacwiez;x
425;0;210;140;Podlasie;x
426;42;0;13;Yatvyagi;x
427;84;3;141;Masuria;x
428;126;6;14;Kujawy;x
429;168;9;142;Gnieznienskie;x
430;0;12;15;Lubusz;x
431;42;15;143;Poznanskie;x
432;84;18;16;Kaliskie;x
433;42;87;63;Rybnik;x
434;168;24;17;Lower Silesia;x
435;0;27;145;Upper Silesia;x
436;42;30;18;Naberezhnye;x #switched from c_boleslav in HF
437;84;33;146;Praha;x
438;126;36;19;Hradec;x #Hradec Kralove
439;168;39;147;Plzen;x
440;0;42;20;Olomouc;x #Opava
441;42;45;148;Brno;x #Ostrava
442;84;48;21;Trencin;x
443;126;51;149;Nitra;x
444;168;54;22;Esztergom;x
445;0;57;150;Pressburg;x
446;42;60;23;Morava;x #Morava
447;84;63;151;Passau;x
448;126;66;24;Salzburg;x
449;168;69;152;Osterreich;x
450;0;72;25;Sopron;x
451;42;75;153;Fejer;x
452;84;78;26;Pecs;x
453;126;81;154;Szekezfehervar;x
454;168;84;27;Vas;x
455;0;87;155;Steiermark;x
456;42;90;28;Karnten;x
457;84;93;156;Krain;x
458;126;96;29;Labin;x
459;168;99;157;Veglia;x
460;0;102;30;Varadzin;x
461;42;105;158;Zagreb;x
462;84;108;31;Krizevci;x
463;126;111;159;Usora;x
464;168;114;32;Senj;x
465;0;117;160;Zadar;x
466;42;120;33;Zachlumia;x
467;84;123;161;Split;x
468;126;126;34;Ragusa;x
469;168;129;162;Zeta;x
470;0;132;35;Dyrrachion;x
471;42;135;163;Ochrid;x
472;84;138;36;Epeiros;x
473;126;141;164;Arta;x
474;168;144;37;Cephalonia;x
475;0;147;165;Hellas;x
476;42;150;38;Achaia;x
477;84;153;166;Methone;x
478;126;156;39;Monemvasia;x
479;168;159;167;Kaneia;x
480;0;162;40;Chandax;x
481;42;165;168;Korinthos;x
482;84;168;41;Atheniai;x
483;126;171;169;Rhodos;x
484;168;174;42;Naxos;x
485;0;177;170;Euboia;x
486;42;180;43;Chios;x
487;84;183;171;Lesbos;x
488;126;186;44;Demetrias;x
489;168;189;172;Thessalia;x
490;0;192;45;Thessalonike;x
491;42;195;173;Chalkidike;x
492;84;198;46;Strymon;x
493;126;201;174;Philippopolis;x
494;168;204;47;Adrianopolis;x
495;0;207;175;Kaliopolis;x
496;42;210;48;Byzantion;x
497;84;0;176;Thrake;x
498;126;3;49;Mesembria;x
499;168;6;177;Tyrnovo;x
500;0;9;50;Serdica;x
501;42;12;178;Naissus;x
502;84;15;51;Kosovo;x
503;126;18;179;Rashka;x
504;168;21;52;Rama;x
505;0;24;180;Belgrade;x
506;42;27;53;Vidin;x
507;84;30;181;Nikopolis;x
508;126;33;54;Dorostotum;x
509;168;36;182;Karvuna;x
510;0;39;55;Constantia;x
511;42;42;183;Galaz;x
512;84;45;56;Belgorod;x
513;126;48;184;Birlad;x
514;168;51;57;Turnu;x
515;0;54;185;Tirgoviste;x
516;42;57;58;Severin;x
517;84;60;186;Temes;x
518;126;63;59;Bacs;x
519;168;66;187;Feher;x
520;0;69;60;Bihar;x
521;42;72;188;Csanad;x
522;84;75;61;Pest;x
523;126;78;189;Heves;x
524;168;81;62;Gemer;x
525;0;84;190;Orava;x
526;126;21;144;Cieszyn;x
527;84;90;191;Krakowskie;x
528;126;93;64;Sieradzko-Leczyckie;x
529;168;96;192;Plock;x
530;0;99;65;Czersk;x
531;42;102;193;Sandomierskie;x
532;84;105;66;Sacz;x
533;126;108;194;Saris;x
534;168;111;67;Peremyshl;x
535;0;114;195;Vladimir Volynsky;x
536;42;117;68;Galich;x
537;84;120;196;Bereg;x
538;126;123;69;Abauj;x
539;168;126;197;Marmaros;x
540;0;129;70;Szekelyfold;x
541;42;132;198;Peresechen;x
542;84;135;71;Olvia;x
543;126;138;199;Oleshye;x
544;168;141;72;Korsun;x
545;0;144;200;Torki;x
546;42;147;73;Terebovl;x
547;84;150;201;Kiev;x
548;126;153;74;Pinsk;x
549;168;156;202;Beresty;x
550;0;159;75;Minsk;x
551;42;162;203;Mstislavl;x
552;84;165;76;Turov;x
553;126;168;204;Lyubech;x
554;168;171;77;Chernigov;x
555;0;174;205;Pereyaslavl;x
556;42;177;78;Chortitza;x
557;84;180;206;Lukomorie;x
558;126;183;79;Lower Dniepr;x
559;168;186;207;Crimea;x
560;0;189;80;Cherson;x
561;42;192;208;Theodosia;x
562;84;195;81;Korchev;x
563;126;198;209;Lower Don;x
564;168;201;82;Desht-i-Kipchak;x
565;0;204;210;Sharukan;x
566;42;207;83;Sugrov;x
567;84;210;211;Novgorod Seversky;x
568;126;0;84;Smolensk;x
569;168;3;212;Vyazma;x
570;0;6;85;Tver;x
571;42;9;213;Uglich;x
572;84;12;86;Yaroslavl;x
573;126;15;214;Pereyaslavl Zalessky;x
574;168;18;87;Rostov;x
575;0;21;215;Moskva;x
576;42;24;88;Bryansk;x
577;84;27;216;Pronsk;x
578;126;30;89;Kolomna;x
579;168;33;217;Mordva;x
580;0;36;90;Ryazan;x
581;42;39;218;Murom;x
582;84;42;91;Vladimir;x
583;126;45;219;Suzdal;x
584;168;48;92;Nizhny Novgorod;x
585;0;51;220;Gorodez;x
586;42;54;93;Galich Mersky;x
587;84;57;221;Mozhaysk;x
588;126;60;94;Merya;x
589;168;63;222;Grassland Cheremisa;x
590;0;66;95;Chuvash;x
591;42;69;223;Mountain Cheremisa;x
592;84;72;96;Burtasy;x
593;126;75;224;Khopyor;x
594;168;78;97;Sarkel;x
595;0;81;225;Don portage;x
596;42;84;98;Tana;x
597;84;87;226;Azov;x
598;126;90;99;Tmutarakan;x
599;168;93;227;Kuban;x
600;0;96;0;Abkhazia;x
601;42;99;128;Imeretia;x
602;84;102;1;Kasogs;x
603;126;105;129;Alania;x
604;168;108;2;Kuma;x
605;0;111;130;Manych;x
606;42;114;3;Yegorlyk;x
607;84;117;131;Sarpa;x
608;126;120;4;Lower Volga;x
609;168;123;132;Syrt;x
610;0;126;5;Bulgar;x
611;42;129;133;Qazan;x
612;84;132;6;Votyaki;x
613;126;135;134;Bilyar;x
614;168;138;7;Ashli;x
615;0;141;135;Bashkirs;x
616;42;144;8;Pecheneg;x
617;84;147;136;Uzens;x
618;126;150;9;Guryev;x
619;168;153;137;Saray;x
620;0;156;10;Itil;x
621;42;159;138;Kangly;x
622;84;162;11;Turkestan;x
623;126;165;139;Aral;x
624;168;168;12;Mangyshlak;x
625;0;171;140;Usturt;x
626;42;174;13;Khiva;x
627;84;177;141;Kara-Kum;x
628;126;180;14;Bukhara;x
629;168;183;142;Konjikala;x
630;0;186;15;Merv;x
631;42;189;143;Dihistan;x
632;84;192;16;Bojnurd;x
633;126;195;144;Gurgan;x
634;168;198;17;Nishapur;x
635;0;201;145;Qohistan;x
636;42;204;18;Lut;x
637;84;207;146;Sistan;x
638;126;210;19;Yazd;x
639;168;0;147;Kerman;x
640;0;3;20;Sirjan;x
641;42;6;148;Hormuz;x
642;84;9;21;Bastak;x
643;126;12;149;Fars;x
644;168;15;22;Shiraz;x
645;0;18;150;Hendjan;x
646;42;21;23;Esfahan;x
647;84;24;151;Avhaz;x
648;126;27;24;Khozistan;x
649;168;30;152;Basra;x
650;0;33;25;Kuwait;x
651;42;36;153;Damman;x
652;84;39;26;Al Hasa;x
653;126;42;154;Qatar;x
654;168;45;27;Rummah;x
655;0;48;155;Kufa;x
656;42;51;28;Tigris;x
657;84;54;156;Luristan;x
658;126;57;29;Hamadan;x
659;168;60;157;Qom;x
660;0;63;30;Qwivir;x
661;42;66;158;Tabaristan;x
662;84;69;31;Alamut;x
663;126;72;159;Rayy;x
664;168;75;32;Qazwin;x
665;0;78;160;Daylam;x
666;42;81;33;Gilan;x
667;84;84;161;Tabriz;x
668;126;87;34;Shirvan;x
669;168;90;162;Shemakha;x
670;0;93;35;Azerbaijan;x
671;42;96;163;Suenik;x
672;84;99;36;Dwin;x
673;126;102;164;Albania;x
674;168;105;37;Derbent;x
675;0;108;165;Semender;x
676;42;111;38;Kakheti;x
677;84;114;166;Guria;x
678;126;117;39;Trapezous;x
679;168;120;167;Kartli;x
680;0;123;40;Tao;x
681;42;126;168;Ani;x
682;84;129;41;Vaspurakan;x
683;126;132;169;Amida;x
684;168;135;42;Nisibin;x
685;0;138;170;Oromieh;x
686;42;141;43;Kurdistan;x
687;84;144;171;Kirkuk;x
688;126;147;44;Kermanshah;x
689;168;150;172;Ilam;x
690;0;153;45;Al Amarah;x
691;42;156;173;Istakhr;x
692;84;159;46;Al Nadjaf;x
693;126;162;174;Baghdad;x
694;168;165;47;Karbala;x
695;0;168;175;Tikrit;x
696;42;171;48;Euphrates;x
697;84;174;176;Mosul;x
698;126;177;49;Al Jazira;x
699;168;180;177;Edessa;x
700;0;183;50;Mardin;x
701;42;186;178;Mush;x
702;84;189;51;Mesopotamia;x
703;126;192;179;Karin;x
704;168;195;52;Theodosiopolis;x
705;0;198;180;Chaldea;x
706;42;201;53;Koloneia;x
707;84;204;181;Melitene;x
708;126;207;54;Tell Bashir;x
709;168;210;182;Asas;x
710;0;0;55;Al Bichri;x
711;42;3;183;Sinjar;x
712;84;6;56;Al Anbar;x
713;126;9;184;Druz;x
714;168;12;57;Az Zarqa;x
715;0;15;185;Zanjan-Abhar;x
716;42;18;58;Jeddah;x
717;84;21;186;Al Jawf;x
718;126;24;59;Medina;x
719;168;27;187;Mecca;x
720;0;30;60;Hijaz;x
721;42;33;188;Tabuk;x
722;84;36;61;Al 'Aqabah;x
723;126;39;189;Madaba;x
724;168;42;62;Amman;x
725;0;45;190;Irbid;x
726;42;48;63;Al Mafraq;x
727;84;51;191;Syria;x
728;126;54;64;Damascus;x
729;168;57;192;Tadmor;x
730;0;60;65;Palmyra;x
731;42;63;193;Homs;x
732;84;66;66;Hama;x
733;126;69;194;Aleppo;x
734;168;72;67;Aintab;x
735;0;75;195;Teluch;x
736;42;78;68;Lykandos;x
737;84;81;196;Kaisereia;x
738;126;84;69;Amisos;x
739;168;87;197;Sinope;x
740;0;90;70;Herakleia;x
741;42;93;198;Nikomedeia;x
742;84;96;71;Prusa;x
743;126;99;199;Kyzikos;x
744;168;102;72;Abydos;x
745;0;105;200;Smyrna;x
746;42;108;73;Ephesos;x
747;84;111;201;Lykia;x
748;126;114;74;Laodikeia;x
749;168;117;202;Dorylaion;x
750;0;120;75;Nikaea;x
751;42;123;203;Paphlagonia;x
752;84;126;76;Galatia;x
753;126;129;204;Ankyra;x
754;168;132;77;Sozopolis;x
755;0;135;205;Attaleia;x
756;42;138;78;Limisol;x
757;84;141;206;Famagusta;x
758;126;144;79;Seleukeia;x
759;168;147;207;Ikonion;x
760;0;150;80;Tyana;x
761;42;153;208;Tarsos;x
762;84;156;81;Adana;x
763;126;159;209;Alexandretta;x
764;168;162;82;Antiocheia;x
765;0;165;210;Archa;x
766;42;168;83;Tortosa;x
767;84;171;211;Tripoli;x
768;126;174;84;Baalbek;x
769;168;177;212;Safed;x
770;0;180;85;Beirut;x
771;42;183;213;Tyrus;x
772;84;186;86;Acre;x
773;126;189;214;Golan;x
774;168;192;87;Jerusalem;x
775;0;195;215;Jaffa;x
776;42;198;88;Hebron;x
777;84;201;216;Kerak;x
778;126;204;89;Monreal;x
779;168;207;217;Beersheb;x
780;0;210;90;Ascalon;x
781;42;0;218;Darum;x
782;84;3;91;Negev;x
783;126;6;219;Maan;x
784;168;9;92;Shahrazur;x
785;0;12;220;Sinai;x
786;42;15;93;Eilat;x
787;84;18;221;El-Arish;x
788;126;21;94;Farama;x
789;168;24;222;Pelusia;x
790;0;27;95;Sarqihya;x
791;42;30;223;Quena;x
792;84;33;96;Nubia;x
793;126;36;224;Makuria;x
794;168;39;97;Aswan;x
795;0;42;225;Asyut;x
796;42;45;98;Cairo;x
797;84;48;226;Manupura;x
798;126;51;99;Delta;x
799;168;54;227;Gabiyaha;x
800;0;57;0;Gizeh;x
801;42;60;128;Buhairya;x
802;84;63;1;Alexandria;x
803;126;66;129;Quattara;x
804;168;69;2;Al Alamayn;x
805;0;72;130;Tobruk;x
806;42;75;3;Cyrenaica;x
807;84;78;131;Senoussi;x
808;126;81;4;Benghazi;x
809;168;84;132;Syrte;x
810;0;87;5;Leptis Magna;x
811;42;90;133;Tripolitana;x
812;84;93;6;Malta;x
813;126;96;134;Tataouine;x
814;168;99;7;Gabes;x
815;0;102;135;Kairwan;x
816;42;105;8;Mahdia;x
817;84;108;136;Tunis;x
818;126;111;9;Medjerda;x
819;168;114;137;Bizerte;x
820;0;117;10;Annaba;x
821;42;120;138;Constantine;x
822;84;123;11;Bejaija;x
823;126;126;139;Biskra;x
824;168;129;12;Tell Atlas;x
825;0;132;140;Beni Yanni;x
826;42;135;13;Menorca;x
827;84;138;141;Mallorca;x
828;126;141;14;Ouled Nail;x
829;168;144;142;Mzab;x
830;0;147;15;Lemdiyya;x
831;42;150;143;Al Djazair;x
832;84;153;16;Orania;x
833;126;156;144;Atlas Mnt;x
834;168;159;17;Tlemcen;x
835;0;162;145;Hanyan;x
836;42;165;18;Snassen;x
837;84;168;146;Figuig;x
838;126;171;19;El Rif;x
839;168;174;147;Cebta;x
840;0;177;20;Fes;x
841;42;180;148;Tangiers;x
842;84;183;21;Infa;x
843;126;186;149;Marrakech;x
844;168;189;22;Massat;x
845;0;192;150;Anti-Atlas;x
846;42;195;23;Ifni;x
847;84;198;151;Tharasset;x
848;0;3;225;Bremen;x
849;126;201;24;Lanzarote;x
850;168;96;42;Kandalax;x
851;84;9;226;Capua;x
852;85;84;11;Zahedan;x
853;127;87;139;Bam;x
854;169;90;12;Zamindawar;x
855;126;135;84;Mahra;x
856;168;138;212;Kathiri;x
857;0;141;85;Bayda;x
858;42;144;213;Aden;x
859;84;147;86;Taizz;x
860;126;150;214;Sanaa;x
861;168;153;87;Asir;x
862;0;156;215;Halaban;x
863;42;159;88;Hajr;x
864;84;162;216;Hail;x
865;126;165;89;Rafha;x
866;168;168;217;Dhofar;x
867;0;171;90;Duqm;x
868;42;174;218;Muscat;x
869;84;177;91;Hajar;x
870;126;180;219;Dhu Zabi;x
871;168;183;92;Busaso;x
872;0;186;220;Berbera;x
873;42;189;93;Harer;x
874;84;192;221;Tadjoura;x
875;126;195;94;Aksum;x
876;168;198;222;Akordat;x
877;0;201;95;Kassala;x
878;42;204;223;Hayya;x
879;84;207;96;Atbara;x
880;126;210;224;Sennar;x
881;168;0;97;Asosa;x
882;168;123;82;Ankober;x
883;126;120;209;Gondar;x
884;126;3;154;Antalo;x
885;84;117;81;Matamma;x
886;168;15;227;Perm;x
887;1;18;0;Yamalia;x
888;43;21;128;Komi;x
889;85;24;1;Ural;x
